state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PR,0,9,56,0,9,56,9,64,9198,65,5626,65,503,64,19,65,7,64,4,64,10,64,456,65,120,64,80,65,469,64,441,65,34,64,19,64,637,65,0.611654707545118,65,5626,9198,0.091521106259098,64,503,5496,0.05579589572934,64,503,9015,0.198019801980198,64,120,606,0.71585557299843,65,456,637,2021/08/19,,0,65,1,65,0,65,4,65,5,65,5,65,2,65,2,65,0,65,0,64,0,64,0,64,1,64,1,64,2,64,2,64,1,64,0,64,11,64
RI,6,6,2,6,6,2,0,13,2439,14,2087,14,120,13,10,14,3,13,0,13,0,13,132,14,27,13,24,14,119,13,114,14,1,13,0,13,161,14,0.855678556785568,14,2087,2439,0.058679706601467,13,120,2045,0.050335570469799,13,120,2384,0.184931506849315,13,27,146,0.819875776397516,14,132,161,2021/08/19,,0,14,2,14,1,14,0,14,4,14,1,14,1,14,1,14,0,14,0,13,0,13,0,13,0,13,1,13,1,13,1,13,0,13,0,13,2,13
SC,23,48,5,23,48,5,5,74,10630,76,8631,76,2086,74,255,76,71,74,3,74,3,74,1102,76,512,74,518,76,2049,74,1998,76,37,74,31,74,1315,76,0.811947318908749,76,8631,10630,0.245440640075303,74,2086,8499,0.19933110367893,74,2086,10465,0.401883830455259,74,512,1274,0.838022813688213,76,1102,1315,2021/08/19,,4,76,22,76,15,76,38,76,57,76,41,76,39,76,33,76,6,71,1,74,5,74,4,74,3,74,15,74,8,74,17,74,12,74,6,69,32,74
SD,0,61,3,0,61,3,19,61,2615,64,1544,64,141,61,34,64,12,61,0,61,1,61,145,64,39,61,37,64,140,61,122,64,1,61,0,61,242,64,0.590439770554493,64,1544,2615,0.09258043335522,61,141,1523,0.055337519623234,61,141,2548,0.168831168831169,61,39,231,0.599173553719008,64,145,242,2021/08/19,,1,64,0,64,2,64,2,64,9,64,10,64,4,64,6,64,0,64,0,61,2,61,2,61,1,61,0,61,2,61,4,61,1,61,0,61,1,61
TN,19,67,54,27,59,54,27,87,20238,140,13247,127,2648,87,281,87,70,87,14,87,3,87,1770,137,733,87,705,87,2588,87,2432,87,60,87,54,87,2422,140,0.692689813846476,127,13247,19124,0.23473096356706,87,2648,11281,0.166206377102686,87,2648,15932,0.345754716981132,87,733,2120,0.748414376321353,137,1770,2365,2021/08/19,,3,87,20,87,26,87,36,87,52,87,57,87,38,87,26,87,23,87,2,87,8,87,10,87,8,87,13,87,11,87,7,87,7,87,4,87,43,87
TX,20,70,417,21,69,417,98,507,62203,507,48996,507,13998,507,1625,507,623,507,39,507,124,507,6746,507,3703,507,3592,507,13694,507,12955,507,304,507,235,507,7258,507,0.787679050849638,507,48996,62203,0.285696791574822,507,13998,48996,0.225037377618443,507,13998,62203,0.510195646183522,507,3703,7258,0.929457150730229,507,6746,7258,2021/08/19,,6,507,103,507,173,507,257,507,274,507,321,507,221,507,156,507,114,507,11,507,43,507,54,507,62,507,85,507,78,507,78,507,58,507,154,507,196,507
UT,0,45,9,1,44,9,1,53,5643,54,3122,54,430,53,67,54,2,53,1,53,1,53,424,54,163,53,161,54,421,53,400,54,9,53,0,53,632,54,0.553251816409711,54,3122,5643,0.139973958333333,53,430,3072,0.077240883779414,53,430,5567,0.265472312703583,53,163,614,0.670886075949367,54,424,632,2021/08/19,,1,54,6,54,12,54,17,54,5,54,14,54,7,54,5,54,0,54,0,53,0,53,0,53,1,53,0,53,0,53,0,53,1,53,0,53,3,53
VA,17,63,20,19,61,20,26,97,17432,100,12414,100,1381,97,144,100,201,97,0,97,14,97,1384,100,338,97,336,100,1370,97,1242,100,11,97,5,97,1946,100,0.712138595686094,100,12414,17432,0.112431816331515,97,1381,12283,0.080370133271256,97,1381,17183,0.179310344827586,97,338,1885,0.71120246659815,100,1384,1946,2021/08/19,,0,100,10,100,14,100,12,100,27,100,29,100,25,100,23,100,4,100,1,97,9,97,12,97,16,97,31,97,41,97,47,97,43,97,1,97,12,97
VI,2,0,0,2,0,0,1,2,168,2,119,2,25,2,1,2,0,2,0,2,0,2,14,2,7,2,7,2,25,2,25,2,0,2,0,2,20,2,0.708333333333333,2,119,168,0.210084033613445,2,25,119,0.148809523809524,2,25,168,0.35,2,7,20,0.7,2,14,20,2021/08/19,,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2
VT,2,14,1,1,15,1,0,16,1262,17,874,17,37,16,7,17,6,16,0,16,1,16,72,17,12,16,11,17,37,16,33,17,0,16,0,16,103,17,0.692551505546751,17,874,1262,0.043735224586288,16,37,846,0.030204081632653,16,37,1225,0.125,16,12,96,0.699029126213592,17,72,103,2021/08/19,,0,17,0,17,1,17,1,17,1,17,2,17,0,17,2,17,0,17,0,16,1,16,1,16,0,16,1,16,2,16,1,16,0,16,0,16,0,16
WA,18,74,2,19,73,2,22,92,12196,94,8991,94,1492,92,116,94,172,92,1,92,9,92,967,94,369,92,352,94,1472,92,1275,94,20,92,14,92,1300,94,0.737208920957691,94,8991,12196,0.167942368302566,92,1492,8884,0.123776339804214,92,1492,12054,0.288056206088993,92,369,1281,0.743846153846154,94,967,1300,2021/08/19,,0,94,9,94,13,94,18,94,24,94,18,94,19,94,14,94,1,94,1,92,20,92,25,92,19,92,22,92,19,92,22,92,26,92,18,92,18,92
