state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PA,19,187,6,24,182,6,24,206,30113,212,24713,212,2892,206,350,212,382,206,9,205,35,205,2783,212,589,206,560,212,2836,206,2550,212,56,205,32,205,3419,212,0.820675455783216,212,24713,30113,0.11814208096736,206,2892,24479,0.097268935826719,206,2892,29732,0.177730838865419,206,589,3314,0.813980696109974,212,2783,3419,2021/04/09,POINT (-77.838886 40.896694)
PR,0,0,68,0,0,68,0,67,9333,68,5479,68,416,67,42,68,20,67,0,67,9,67,469,68,81,67,63,68,395,67,364,68,21,67,15,67,695,68,0.587056680595736,68,5479,9333,0.077669902912621,67,416,5356,0.045444614376229,67,416,9154,0.121987951807229,67,81,664,0.674820143884892,68,469,695,2021/04/09,POINT (-66.414655 18.215692)
RI,4,9,1,4,9,1,6,13,2581,14,2311,14,190,13,13,14,1,13,1,13,0,13,135,14,32,13,32,14,188,13,149,14,2,13,2,13,174,14,0.895389383959706,14,2311,2581,0.083811204234671,13,190,2267,0.075787794176306,13,190,2507,0.206451612903226,13,32,155,0.775862068965517,14,135,174,2021/04/09,POINT (-71.534637 41.572574)
SC,20,47,2,20,47,2,0,67,10059,69,7862,69,543,67,81,69,39,67,0,67,0,67,968,69,134,67,130,69,540,67,507,69,3,67,3,67,1341,69,0.781588627100109,69,7862,10059,0.06986618630983,67,543,7772,0.054881746513038,67,543,9894,0.103076923076923,67,134,1300,0.721849366144668,69,968,1341,2021/04/09,POINT (-80.864614 33.878572)
SD,1,59,3,2,58,3,29,60,2570,63,1466,63,109,60,11,63,19,60,1,60,2,60,118,63,27,60,24,63,106,60,75,63,3,60,2,60,235,63,0.570428015564202,63,1466,2570,0.075589459084605,60,109,1442,0.04354774270875,60,109,2503,0.120535714285714,60,27,224,0.502127659574468,63,118,235,2021/04/09,POINT (-100.230491 44.43614)
TN,11,86,44,30,67,44,19,97,20306,141,13496,128,824,97,97,97,55,97,0,97,6,97,1707,138,260,97,243,97,817,97,743,97,7,97,3,97,2376,141,0.70233139050791,128,13496,19216,0.06728727747836,97,824,12246,0.0484506379726,97,824,17007,0.118451025056948,97,260,2195,0.736093143596378,138,1707,2319,2021/04/09,POINT (-86.343226 35.842998)
TX,96,481,13,117,460,13,71,585,67934,590,47778,590,3503,585,402,590,481,585,20,585,49,585,5610,590,960,585,899,590,3407,585,2906,590,96,585,62,585,7334,590,0.703300262019018,590,47778,67934,0.074219246578245,585,3503,47198,0.052146599976182,585,3503,67176,0.134134413860556,585,960,7157,0.764930460867194,590,5610,7334,2021/04/09,POINT (-99.317341 31.447238)
UT,0,52,1,0,52,1,0,52,5474,53,3190,53,147,52,26,53,2,52,0,52,0,52,381,53,59,52,61,53,145,52,142,53,2,52,0,52,625,53,0.582754841066862,53,3190,5474,0.046740858505564,52,147,3145,0.027227264308205,52,147,5399,0.097199341021417,52,59,607,0.6096,53,381,625,2021/04/09,POINT (-111.678222 39.323779)
VA,15,70,9,19,66,9,27,91,17008,94,12468,94,1004,91,120,94,174,91,5,91,9,91,1353,94,230,91,219,94,987,91,855,94,17,91,12,91,1957,94,0.733066792097836,94,12468,17008,0.081506738106836,91,1004,12318,0.059990439770554,91,1004,16736,0.121886592474828,91,230,1887,0.691364333163005,94,1353,1957,2021/04/09,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,71,2,4,2,0,2,0,2,0,2,0,2,8,2,3,2,3,2,4,2,4,2,0,2,0,2,20,2,0.422619047619048,2,71,168,0.056338028169014,2,4,71,0.023809523809524,2,4,168,0.15,2,3,20,0.4,2,8,20,2021/04/09,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1305,17,856,17,30,16,7,17,9,16,0,16,0,16,70,17,5,16,7,17,30,16,32,17,0,16,0,16,102,17,0.655938697318008,17,856,1305,0.036057692307692,16,30,832,0.023659305993691,16,30,1268,0.052631578947368,16,5,95,0.686274509803922,17,70,102,2021/04/09,POINT (-72.662695 44.075252)
WA,8,84,2,6,86,2,8,92,12484,94,8365,94,568,92,64,94,69,92,0,92,2,92,849,94,122,92,113,94,513,92,415,94,55,92,6,92,1308,94,0.670057673822493,94,8365,12484,0.068640483383686,92,568,8275,0.045980733425079,92,568,12353,0.095461658841941,92,122,1278,0.64908256880734,94,849,1308,2021/04/09,POINT (-120.592492 47.411715)
WI,7,114,21,12,109,21,0,139,12726,142,8268,142,367,139,85,142,62,139,2,139,9,139,890,142,94,139,94,142,360,139,343,142,7,139,2,139,1596,142,0.64969354078265,142,8268,12726,0.045325429171298,139,367,8097,0.029437715569102,139,367,12467,0.060880829015544,139,94,1544,0.557644110275689,142,890,1596,2021/04/09,POINT (-89.732969 44.639954)
