state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,18,184,6,21,181,6,15,202,29220,208,23036,208,2338,202,304,208,378,202,4,201,33,201,2565,208,442,202,422,208,2254,202,1957,208,84,201,27,201,3278,208,0.7883641341546885,208,23036,29220,0.10243154435925521,202,2338,22825,0.0810763949093179,202,2338,28837,0.13938820561337117,202,442,3171,0.7824893227577792,208,2565,3278,2021-03-26
PR,0,0,68,0,0,68,9,67,9431,68,5347,68,228,67,9,68,29,67,0,67,3,67,471,68,39,67,31,68,210,67,188,68,18,67,9,67,709,68,0.5669600254479906,68,5347,9431,0.04361966711306677,67,228,5227,0.024661979448350458,67,228,9245,0.05752212389380531,67,39,678,0.6643159379407616,68,471,709,2021-03-26
RI,3,11,1,3,11,1,7,14,2429,15,2247,15,161,14,4,15,0,14,0,14,0,14,151,15,16,14,18,15,160,14,124,15,1,14,1,14,174,15,0.9250720461095101,15,2247,2429,0.07331511839708561,14,161,2196,0.06845238095238096,14,161,2352,0.10256410256410256,14,16,156,0.867816091954023,15,151,174,2021-03-26
SC,20,47,2,20,47,2,2,67,10061,69,7672,69,495,67,65,69,86,67,3,67,0,67,927,69,124,67,118,69,488,67,452,69,7,67,6,67,1345,69,0.7625484544279892,69,7672,10061,0.06520879989461204,67,495,7591,0.050005051015254064,67,495,9899,0.0950191570881226,67,124,1305,0.6892193308550186,69,927,1345,2021-03-26
SD,0,60,3,1,59,3,23,60,2584,63,1447,63,95,60,15,63,21,60,0,60,4,60,126,63,19,60,18,63,88,60,65,63,7,60,0,60,235,63,0.559984520123839,63,1447,2584,0.06676036542515812,60,95,1423,0.03774334525228447,60,95,2517,0.08482142857142858,60,19,224,0.5361702127659574,63,126,235,2021-03-26
TN,15,89,39,36,68,39,17,104,20283,143,12542,129,914,104,134,104,67,104,4,104,4,104,1622,140,280,104,257,104,898,104,797,104,16,104,13,104,2375,143,0.657716712989669,129,12542,19069,0.07602728331392447,104,914,12022,0.05067080607606165,104,914,18038,0.12121212121212122,104,280,2310,0.6997411561691113,140,1622,2318,2021-03-26
TX,100,483,5,115,468,5,62,583,68396,588,46890,588,3583,583,353,588,471,583,11,583,37,583,5487,588,966,583,903,588,3494,583,2983,588,89,583,57,583,7314,588,0.6855664073922452,588,46890,68396,0.07726145552560647,583,3583,46375,0.0529755304206402,583,3583,67635,0.13538892782060266,583,966,7135,0.7502050861361772,588,5487,7314,2021-03-26
UT,1,51,1,0,52,1,0,52,5467,53,3066,53,138,52,25,53,4,52,1,52,0,52,337,53,54,52,57,53,132,52,127,53,6,52,0,52,620,53,0.5608194622279129,53,3066,5467,0.0456953642384106,52,138,3020,0.02557449962935508,52,138,5396,0.08970099667774087,52,54,602,0.5435483870967742,53,337,620,2021-03-26
VA,14,72,9,21,65,9,25,92,17052,95,12056,95,1012,92,111,95,181,92,2,92,8,92,1325,95,213,92,204,95,987,92,852,95,25,92,14,92,1985,95,0.7070138400187661,95,12056,17052,0.08504916379527691,92,1012,11899,0.06029551954242136,92,1012,16784,0.11116910229645094,92,213,1916,0.6675062972292192,95,1325,1985,2021-03-26
VI,2,0,0,2,0,0,0,2,168,2,89,2,7,2,2,2,0,2,0,2,0,2,10,2,4,2,4,2,7,2,7,2,0,2,0,2,20,2,0.5297619047619048,2,89,168,0.07865168539325842,2,7,89,0.041666666666666664,2,7,168,0.2,2,4,20,0.5,2,10,20,2021-03-26
