state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/21,16573,16554,16592,2.43,2.39,2.46,685679,684833,686525,
CW,2021/06/22,16804,16782,16825,2.45,2.41,2.48,689513,688674,690352,
CW,2021/06/23,16687,16664,16711,2.42,2.38,2.46,692632,691767,693498,
CW,2021/06/24,16365,16346,16384,2.37,2.34,2.4,693142,692337,693948,
CW,2021/06/25,16419,16383,16454,2.38,2.31,2.46,691367,690303,692431,
CW,2021/06/26,16276,16233,16318,2.38,2.29,2.47,686892,685666,688119,
CW,2021/06/27,15983,15923,16044,2.35,2.22,2.47,684418,683129,685708,
CW,2021/06/28,16365,16311,16419,2.4,2.29,2.51,684771,683835,685707,
CW,2021/06/29,16787,16768,16806,2.44,2.39,2.49,690704,689688,691719,
CW,2021/06/30,16821,16799,16842,2.44,2.4,2.48,693003,692234,693773,
CW,2021/07/01,16864,16836,16893,2.44,2.39,2.5,692720,691915,693524,
CW,2021/07/02,16722,16691,16753,2.43,2.37,2.49,690890,690047,691734,
CW,2021/07/03,16622,16599,16645,2.43,2.38,2.48,686188,685368,687007,
CW,2021/07/04,16787,16771,16803,2.47,2.43,2.5,683611,682792,684430,
CW,2021/07/05,17345,17324,17366,2.55,2.51,2.6,682246,681354,683138,
CW,2021/07/06,18094,18056,18131,2.65,2.58,2.73,684714,683770,685658,
CW,2021/07/07,18837,18820,18854,2.74,2.7,2.77,691056,690281,691832,
CW,2021/07/08,19142,19122,19161,2.77,2.72,2.82,693141,692395,693888,
CW,2021/07/09,19385,19364,19406,2.81,2.76,2.86,692464,691755,693172,
CW,2021/07/10,19770,19753,19787,2.88,2.84,2.93,688530,687767,689294,
CW,2021/07/11,20278,20259,20296,2.97,2.92,3.02,685655,684887,686424,
CW,2021/07/12,21420,21406,21434,3.13,3.07,3.18,687936,687037,688835,
