state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,26057,176,17203,165,1051,203,2334,157,216,171,2936,143,0.7190064794816414,157,16645,23150,0.04818926931349183,165,829,17203,0.033618605365160995,176,876,26057,0.06043956043956044,134,176,2912,0.7427884615384616,139,2163,2912,2020-08-12
PR,8543,61,4883,60,557,61,457,60,68,59,646,59,0.571579070584104,60,4883,8543,0.11406921974196191,60,557,4883,0.06519957860236451,61,557,8543,0.1046875,58,67,640,0.6934984520123839,59,448,646,2020-08-12
RI,1674,13,1893,13,88,13,157,13,11,13,168,13,1.1308243727598566,13,1893,1674,0.04648705758055996,13,88,1893,0.052568697729988054,13,88,1674,0.06547619047619048,13,11,168,0.9345238095238095,13,157,168,2020-08-12
SC,10331,81,7585,76,1181,81,923,71,273,75,1224,69,0.7927466555183946,76,7585,9568,0.14568226763348716,76,1105,7585,0.11431613590165521,81,1181,10331,0.20624486442070666,68,251,1217,0.7377450980392157,69,903,1224,2020-08-12
SD,2258,50,779,43,78,53,83,37,12,32,95,28,0.49266113592852584,42,772,1567,0.04878048780487805,43,38,779,0.03454384410983171,50,78,2258,0.06451612903225806,24,6,93,0.6105263157894737,28,58,95,2020-08-12
TN,17921,112,12134,115,1323,123,1577,88,376,119,2007,93,0.6757521058965102,104,11231,16620,0.10392286138124279,115,1261,12134,0.06818815914290498,112,1222,17921,0.18086696562032886,93,363,2007,0.8175220321410057,88,1577,1929,2020-08-12
TX,64938,541,43095,527,7830,554,5299,490,2432,501,6330,461,0.710253532285752,522,43030,60584,0.16450427827380953,526,7075,43008,0.11812517350936179,540,7659,64838,0.33317391997449386,451,2090,6273,0.7921011058451817,460,5014,6330,2020-08-12
UT,5379,52,3000,48,239,53,347,44,74,43,556,40,0.5694760820045558,48,3000,5268,0.07833333333333334,48,235,3000,0.044060234244283326,52,237,5379,0.12410071942446044,39,69,556,0.6079136690647482,39,338,556,2020-08-12
VA,17523,84,9473,76,1320,92,658,72,209,72,1477,74,0.5978420481389262,71,9364,15663,0.11221365987543545,76,1063,9473,0.07201963134166524,84,1262,17523,0.14035087719298245,67,192,1368,0.472953216374269,69,647,1368,2020-08-12
VI,188,2,104,2,6,2,8,2,3,2,20,2,0.5531914893617021,2,104,188,0.057692307692307696,2,6,104,0.031914893617021274,2,6,188,0.15,2,3,20,0.4,2,8,20,2020-08-12
VT,620,12,202,8,12,15,30,7,9,9,48,6,0.5329815303430079,8,202,379,0.039603960396039604,8,8,202,0.012903225806451613,12,8,620,0.16666666666666666,6,8,48,0.625,6,30,48,2020-08-12
WA,9794,81,8327,87,544,95,826,78,122,80,905,66,0.605602735193559,73,5491,9067,0.061486322924231424,86,508,8262,0.035666563881179975,80,347,9729,0.08397790055248619,60,76,905,0.6375690607734806,62,577,905,2020-08-12
WI,11674,129,6785,122,700,138,800,116,178,132,1526,128,0.5953290116330698,121,6704,11261,0.09727339719970524,122,660,6785,0.05439438067500428,129,635,11674,0.11664482306684142,128,178,1526,0.5571030640668524,116,800,1436,2020-08-12
AK,1270,19,790,23,45,24,58,13,9,21,46,8,0.37374658158614404,18,410,1097,0.04556962025316456,23,36,790,0.02047244094488189,19,26,1270,0.09090909090909091,6,4,44,0.5434782608695652,8,25,46,2020-08-12
AL,11996,104,7929,95,1544,109,1154,90,457,91,1161,79,0.7520228932307085,93,7621,10134,0.15691046496733702,92,1225,7807,0.118629695582125,101,1399,11793,0.3022847100175747,71,344,1138,0.9049265341400173,78,1047,1157,2020-08-12
AR,8087,87,4345,77,696,89,565,70,356,72,900,67,0.6633511859219586,76,4335,6535,0.11461449942462601,77,498,4345,0.08606405341906764,87,696,8087,0.3233333333333333,64,291,900,0.6923076923076923,63,540,780,2020-08-12
AZ,9806,75,7224,66,1268,86,910,62,431,68,937,53,0.81250805931657,60,6301,7755,0.14493355481727574,66,1047,7224,0.11156434835814807,75,1094,9806,0.35859124866595515,51,336,937,0.816435432230523,53,765,937,2020-08-12
CA,62459,384,44297,377,6610,397,5294,365,1824,367,7151,364,0.7125713826107939,377,44297,62165,0.14380206334514753,377,6370,44297,0.10211498743175523,384,6378,62459,0.25409033701580197,361,1817,7151,0.7403160397147253,363,5294,7151,2020-08-12
