state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/26,16259,16208,16310,2.38,2.28,2.48,686528,685334,687722,
CW,2021/06/27,15988,15920,16055,2.35,2.22,2.48,684115,682946,685284,
CW,2021/06/28,16383,16327,16440,2.4,2.3,2.51,684790,683942,685638,
CW,2021/06/29,16802,16774,16830,2.44,2.39,2.5,690722,689810,691635,
CW,2021/06/30,16826,16797,16855,2.44,2.39,2.49,693021,692316,693727,
CW,2021/07/01,16870,16836,16904,2.45,2.39,2.5,692737,691998,693476,
CW,2021/07/02,16730,16695,16766,2.43,2.37,2.49,690908,690118,691698,
CW,2021/07/03,16620,16590,16649,2.43,2.38,2.48,686205,685404,687006,
CW,2021/07/04,16788,16764,16811,2.47,2.43,2.51,683628,682826,684430,
CW,2021/07/05,17346,17318,17375,2.55,2.5,2.61,682292,681429,683155,
CW,2021/07/06,18100,18059,18141,2.65,2.58,2.73,684762,683846,685679,
CW,2021/07/07,18841,18818,18864,2.74,2.7,2.77,691099,690327,691872,
CW,2021/07/08,19154,19132,19176,2.77,2.72,2.82,693204,692484,693925,
CW,2021/07/09,19396,19374,19418,2.81,2.76,2.86,692528,691844,693211,
CW,2021/07/10,19773,19752,19794,2.88,2.83,2.93,688594,687856,689331,
CW,2021/07/11,20281,20258,20304,2.97,2.92,3.02,685718,684976,686460,
CW,2021/07/12,21443,21424,21462,3.13,3.08,3.18,687996,687153,688839,
CW,2021/07/13,22344,22325,22363,3.23,3.18,3.28,694354,693504,695204,
CW,2021/07/14,23158,23145,23171,3.35,3.31,3.38,694502,693908,695097,
CW,2021/07/15,23856,23845,23867,3.45,3.42,3.47,695091,694743,695438,
CW,2021/07/16,24655,24645,24666,3.56,3.54,3.59,694465,694184,694746,
