state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-11-08,"489,993","488,720","491,266",69.13,68.65,69.60,"708,824","707,740","709,908"
CW,2020-11-09,"495,528","495,065","495,992",69.81,69.60,70.01,"709,847","709,026","710,668"
CW,2020-11-10,"522,318","522,010","522,626",73.09,72.98,73.21,"714,571","713,955","715,188"
CW,2020-11-11,"533,489","532,339","534,639",74.49,74.10,74.87,"716,193","715,468","716,918"
CW,2020-11-12,"533,783","532,559","535,007",74.63,74.21,75.04,"715,258","714,515","716,000"
CW,2020-11-13,"529,746","528,724","530,768",73.93,73.53,74.33,"716,540","715,466","717,614"
CW,2020-11-14,"510,296","509,448","511,144",71.40,71.11,71.69,"714,722","714,099","715,345"
CW,2020-11-15,"495,703","494,853","496,553",69.71,69.41,70.02,"711,032","710,326","711,739"
CW,2020-11-16,"502,133","501,312","502,953",70.34,70.07,70.62,"713,840","713,322","714,357"
CW,2020-11-17,"524,793","523,993","525,592",73.17,72.89,73.45,"717,206","716,739","717,672"
CW,2020-11-18,"532,192","531,340","533,043",73.97,73.80,74.14,"719,587","719,113","720,061"
CW,2020-11-19,"529,589","528,691","530,488",73.70,73.50,73.90,"718,692","718,109","719,274"
CW,2020-11-20,"524,759","523,864","525,654",73.62,73.45,73.79,"712,899","712,395","713,402"
CW,2020-11-21,"508,379","507,437","509,321",71.60,71.42,71.78,"710,518","709,974","711,062"
CW,2020-11-22,"494,453","493,487","495,418",69.95,69.79,70.12,"707,298","706,867","707,729"
CW,2020-11-23,"500,431","499,477","501,384",70.65,70.50,70.81,"708,805","708,377","709,233"
CW,2020-11-24,"516,479","515,576","517,382",72.88,72.80,72.96,"709,036","708,810","709,263"
CW,2020-11-25,"515,320","514,350","516,290",72.60,72.42,72.78,"710,126","709,610","710,642"
CW,2020-11-26,"486,886","485,980","487,791",68.94,68.85,69.03,"706,763","706,500","707,026"
CW,2020-11-27,"473,127","472,246","474,007",67.41,67.32,67.51,"702,355","702,053","702,658"
CW,2020-11-28,"476,185","475,251","477,119",67.88,67.68,68.08,"701,941","701,414","702,468"
CW,2020-11-29,"481,069","480,219","481,919",68.55,68.39,68.71,"702,256","701,743","702,768"
CW,2020-11-30,"495,969","495,113","496,824",70.41,70.22,70.59,"704,867","704,391","705,344"
CW,2020-12-01,"525,522","524,747","526,297",73.94,73.68,74.21,"710,896","710,523","711,269"
CW,2020-12-02,"536,786","535,985","537,586",75.37,75.09,75.65,"712,437","711,968","712,907"
CW,2020-12-03,"538,248","537,504","538,992",75.45,75.20,75.70,"713,574","713,236","713,912"
CW,2020-12-04,"534,957","534,210","535,704",75.03,74.78,75.28,"713,211","712,826","713,595"
CW,2020-12-05,"518,202","517,494","518,910",73.11,72.87,73.36,"708,970","708,573","709,367"
CW,2020-12-06,"504,758","504,139","505,377",71.62,71.40,71.83,"705,025","704,673","705,376"
CW,2020-12-07,"511,742","510,834","512,651",72.28,71.92,72.65,"708,176","707,276","709,075"
CW,2020-12-08,"526,299","523,852","528,746",73.83,72.73,74.92,"713,073","709,941","716,205"
AK,2020-11-08,854,854,854,60.06,60.06,60.06,"1,422","1,422","1,422"
AL,2020-11-08,"9,838","9,818","9,858",69.49,68.93,70.05,"14,158","14,120","14,196"
AR,2020-11-08,"5,071","5,059","5,083",62.29,61.73,62.85,"8,141","8,120","8,162"
AZ,2020-11-08,"9,173","9,072","9,274",69.81,67.01,72.61,"13,140","12,974","13,306"
CA,2020-11-08,"42,455","42,395","42,515",68.97,68.64,69.30,"61,559","61,472","61,646"
CO,2020-11-08,"6,360","6,353","6,367",62.95,62.56,63.33,"10,104","10,082","10,126"
CT,2020-11-08,"5,712","5,712","5,712",70.24,70.24,70.24,"8,132","8,132","8,132"
DC,2020-11-08,"2,341","2,341","2,341",82.08,82.08,82.08,"2,852","2,852","2,852"
DE,2020-11-08,"1,597","1,597","1,597",64.63,64.63,64.63,"2,471","2,471","2,471"
FL,2020-11-08,"37,236","37,059","37,413",72.89,71.75,74.03,"51,085","50,808","51,362"
GA,2020-11-08,"14,104","14,013","14,195",74.12,72.96,75.29,"19,028","18,989","19,067"
HI,2020-11-08,"1,681","1,628","1,734",67.74,60.46,75.01,"2,464","2,383","2,545"
IA,2020-11-08,"4,986","4,986","4,986",63.01,63.01,63.01,"7,913","7,913","7,913"
ID,2020-11-08,"1,803","1,800","1,806",51.38,50.90,51.87,"3,509","3,498","3,520"
IL,2020-11-08,"19,129","18,996","19,262",63.95,62.41,65.49,"29,911","29,711","30,111"
IN,2020-11-08,"10,408","10,405","10,411",63.50,63.41,63.59,"16,390","16,382","16,398"
