state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-12-06,"498,289","497,964","498,614",71.19,71.11,71.28,"700,092","699,768","700,416"
CW,2020-12-07,"504,357","504,071","504,643",72.04,71.97,72.10,"700,428","700,121","700,734"
CW,2020-12-08,"526,177","525,875","526,479",74.66,74.57,74.74,"705,075","704,748","705,402"
CW,2020-12-09,"534,286","533,876","534,696",75.65,75.51,75.79,"706,524","706,105","706,944"
CW,2020-12-10,"534,597","534,324","534,870",75.49,75.43,75.55,"708,472","708,196","708,748"
CW,2020-12-11,"530,332","530,016","530,647",74.93,74.80,75.05,"707,922","707,631","708,212"
CW,2020-12-12,"514,241","513,821","514,661",72.90,72.73,73.07,"705,509","705,103","705,915"
CW,2020-12-13,"501,801","501,350","502,252",71.51,71.34,71.69,"701,828","701,465","702,191"
CW,2020-12-14,"506,731","506,348","507,114",72.07,71.93,72.20,"703,266","703,044","703,487"
CW,2020-12-15,"527,864","527,574","528,154",74.59,74.48,74.71,"707,766","707,510","708,022"
CW,2020-12-16,"533,915","533,523","534,307",75.20,75.05,75.35,"710,101","709,749","710,454"
CW,2020-12-17,"532,613","532,285","532,940",74.82,74.68,74.96,"711,966","711,614","712,319"
CW,2020-12-18,"530,113","529,957","530,270",74.60,74.54,74.65,"710,754","710,714","710,793"
CW,2020-12-19,"511,657","511,472","511,842",72.28,72.21,72.35,"707,910","707,751","708,068"
CW,2020-12-20,"498,573","498,384","498,763",70.73,70.63,70.83,"704,895","704,593","705,197"
CW,2020-12-21,"503,401","503,274","503,528",71.29,71.23,71.35,"706,218","706,056","706,381"
CW,2020-12-22,"520,856","520,608","521,104",73.45,73.35,73.55,"709,238","708,984","709,492"
CW,2020-12-23,"518,328","518,020","518,636",73.09,72.99,73.19,"709,286","709,213","709,359"
CW,2020-12-24,"492,682","492,466","492,897",70.15,70.04,70.27,"702,392","702,032","702,753"
CW,2020-12-25,"452,198","451,842","452,555",65.01,64.87,65.15,"695,576","695,296","695,855"
CW,2020-12-26,"452,464","452,204","452,723",65.01,64.91,65.12,"695,954","695,734","696,175"
CW,2020-12-27,"470,639","470,473","470,805",67.45,67.37,67.53,"697,747","697,523","697,971"
CW,2020-12-28,"490,701","490,576","490,826",70.07,70.02,70.12,"700,275","700,158","700,392"
CW,2020-12-29,"519,229","519,156","519,302",73.50,73.48,73.53,"706,396","706,349","706,442"
CW,2020-12-30,"528,352","528,258","528,445",74.61,74.57,74.65,"708,154","708,059","708,249"
CW,2020-12-31,"522,928","522,737","523,118",74.08,74.00,74.15,"705,923","705,749","706,097"
CW,2021-01-01,"497,440","497,226","497,654",70.84,70.74,70.94,"702,183","701,912","702,454"
CW,2021-01-02,"490,127","489,608","490,647",69.89,69.66,70.13,"701,249","700,585","701,914"
CW,2021-01-03,"495,152","494,806","495,499",70.70,70.54,70.86,"700,353","699,896","700,810"
CW,2021-01-04,"508,709","508,114","509,303",72.37,72.09,72.64,"702,961","702,160","703,763"
CW,2021-01-05,"527,824","525,589","530,059",74.91,73.87,75.95,"704,579","701,578","707,580"
AL,2020-12-06,"10,376","10,316","10,436",73.38,72.07,74.69,"14,140","14,069","14,211"
AZ,2020-12-06,"10,102","10,095","10,109",74.35,74.12,74.58,"13,587","13,572","13,602"
CA,2020-12-06,"45,857","45,780","45,934",74.72,74.34,75.10,"61,372","61,270","61,474"
CT,2020-12-06,"5,779","5,779","5,779",71.08,71.08,71.08,"8,130","8,130","8,130"
DC,2020-12-06,"2,330","2,330","2,330",81.38,81.38,81.38,"2,863","2,863","2,863"
DE,2020-12-06,"1,702","1,702","1,702",67.54,67.54,67.54,"2,520","2,520","2,520"
GA,2020-12-06,"14,907","14,899","14,915",78.80,78.63,78.96,"18,918","18,904","18,932"
ID,2020-12-06,"1,724","1,724","1,724",55.54,55.54,55.54,"3,104","3,104","3,104"
IN,2020-12-06,"10,969","10,969","10,969",66.54,66.54,66.54,"16,486","16,486","16,486"
KS,2020-12-06,"4,482","4,479","4,485",57.69,57.56,57.82,"7,769","7,766","7,772"
LA,2020-12-06,"8,387","8,384","8,390",66.86,66.86,66.86,"12,545","12,545","12,545"
MD,2020-12-06,"7,535","7,535","7,535",80.08,80.08,80.08,"9,409","9,409","9,409"
MI,2020-12-06,"15,385","15,307","15,463",75.49,74.34,76.63,"20,381","20,295","20,467"
AL,2020-12-07,"10,496","10,495","10,496",74.11,73.99,74.22,"14,163","14,154","14,172"
AZ,2020-12-07,"10,058","10,052","10,065",74.13,73.98,74.29,"13,568","13,559","13,577"
CA,2020-12-07,"46,241","46,204","46,278",75.45,74.97,75.93,"61,286","61,118","61,455"
CT,2020-12-07,"5,808","5,808","5,808",71.49,71.49,71.49,"8,124","8,124","8,124"
DC,2020-12-07,"2,318","2,318","2,318",80.15,80.15,80.15,"2,892","2,892","2,892"
DE,2020-12-07,"1,717","1,717","1,717",68.35,68.35,68.35,"2,512","2,512","2,512"
GA,2020-12-07,"15,053","15,052","15,054",79.79,79.79,79.79,"18,866","18,866","18,866"
ID,2020-12-07,"1,761","1,761","1,761",56.95,56.95,56.95,"3,092","3,092","3,092"
IN,2020-12-07,"10,912","10,876","10,949",67.23,67.23,67.23,"16,231","16,231","16,231"
KS,2020-12-07,"4,488","4,483","4,494",57.63,57.46,57.81,"7,788","7,785","7,791"
LA,2020-12-07,"8,544","8,544","8,544",67.99,67.99,67.99,"12,567","12,567","12,567"
MD,2020-12-07,"7,681","7,681","7,681",80.92,80.92,80.92,"9,492","9,492","9,492"
MI,2020-12-07,"15,341","15,341","15,341",75.06,75.06,75.06,"20,438","20,438","20,438"
AL,2020-12-08,"10,957","10,957","10,957",77.60,77.60,77.60,"14,120","14,120","14,120"
AZ,2020-12-08,"10,680","10,680","10,680",77.02,77.02,77.02,"13,867","13,867","13,867"
CA,2020-12-08,"47,976","47,870","48,081",76.97,76.48,77.47,"62,328","62,216","62,440"
CT,2020-12-08,"6,145","6,145","6,145",75.63,75.63,75.63,"8,125","8,125","8,125"
DC,2020-12-08,"2,373","2,373","2,373",81.60,81.60,81.60,"2,908","2,908","2,908"
DE,2020-12-08,"1,852","1,852","1,852",72.97,72.97,72.97,"2,538","2,538","2,538"
GA,2020-12-08,"15,577","15,577","15,577",82.20,82.20,82.20,"18,950","18,950","18,950"
ID,2020-12-08,"1,827","1,827","1,827",58.69,58.69,58.69,"3,113","3,113","3,113"
IN,2020-12-08,"11,507","11,507","11,507",69.86,69.86,69.86,"16,472","16,472","16,472"
KS,2020-12-08,"4,655","4,655","4,655",59.47,59.47,59.47,"7,828","7,828","7,828"
LA,2020-12-08,"8,976","8,975","8,976",71.17,71.17,71.17,"12,612","12,612","12,612"
MD,2020-12-08,"7,915","7,915","7,915",83.06,83.06,83.06,"9,529","9,529","9,529"
MI,2020-12-08,"16,016","16,016","16,016",78.23,78.23,78.23,"20,473","20,473","20,473"
AL,2020-12-09,"11,131","11,118","11,144",78.70,78.30,79.11,"14,143","14,115","14,171"
AZ,2020-12-09,"10,788","10,787","10,789",78.04,78.04,78.04,"13,824","13,824","13,824"
CA,2020-12-09,"49,081","49,042","49,121",78.33,78.14,78.53,"62,658","62,612","62,704"
CT,2020-12-09,"6,187","6,187","6,187",76.10,76.10,76.10,"8,130","8,130","8,130"
DC,2020-12-09,"2,467","2,467","2,467",84.34,84.34,84.34,"2,925","2,925","2,925"
DE,2020-12-09,"1,842","1,842","1,842",72.01,72.01,72.01,"2,558","2,558","2,558"
GA,2020-12-09,"15,984","15,972","15,996",83.80,83.56,84.05,"19,073","19,051","19,095"
ID,2020-12-09,"1,836","1,836","1,836",58.77,58.77,58.77,"3,124","3,124","3,124"
IN,2020-12-09,"11,620","11,620","11,620",70.48,70.48,70.48,"16,487","16,487","16,487"
KS,2020-12-09,"4,929","4,929","4,929",62.83,62.83,62.83,"7,845","7,845","7,845"
LA,2020-12-09,"9,157","9,157","9,157",72.22,72.22,72.22,"12,679","12,679","12,679"
MD,2020-12-09,"7,957","7,957","7,957",83.62,83.62,83.62,"9,516","9,516","9,516"
MI,2020-12-09,"16,412","16,412","16,412",79.14,79.14,79.14,"20,738","20,738","20,738"
AL,2020-12-10,"11,087","11,087","11,087",78.28,78.28,78.28,"14,163","14,163","14,163"
