state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,24,198,6,26,196,6,33,222,33288,228,25995,228,2016,222,191,228,436,222,7,220,23,220,2789,228,368,222,340,228,1973,222,1569,228,43,221,25,221,3748,228,0.7809120403749099,228,25995,33288,0.07826390776039442,222,2016,25759,0.06126542271926092,222,2016,32906,0.10101564644523744,222,368,3643,0.7441302027748132,228,2789,3748,2021-03-01
PR,0,17,51,0,17,51,2,67,9194,68,5618,68,186,67,222,68,830,67,0,67,14,67,505,68,26,67,25,68,151,67,92,68,35,67,3,67,697,68,0.6110506852294975,68,5618,9194,0.03381203417560444,67,186,5501,0.020646020646020648,67,186,9009,0.03903903903903904,67,26,666,0.7245337159253945,68,505,697,2021-03-01
RI,4,9,2,4,9,2,4,14,2475,15,2342,15,181,14,16,15,0,14,0,14,0,14,143,15,22,14,23,15,181,14,144,15,0,14,0,14,180,15,0.9462626262626262,15,2342,2475,0.07876414273281114,14,181,2298,0.07547956630525438,14,181,2398,0.13496932515337423,14,22,163,0.7944444444444444,15,143,180,2021-03-01
SC,23,62,2,25,60,2,6,85,11494,87,8741,87,634,85,94,87,55,85,1,85,3,85,943,87,158,85,154,87,631,85,588,87,3,85,2,85,1341,87,0.7604837306420741,87,8741,11494,0.0733881236254196,85,634,8639,0.05600706713780919,85,634,11320,0.12144504227517294,85,158,1301,0.703206562266965,87,943,1341,2021-03-01
SD,1,61,3,1,61,3,8,62,2833,65,1665,65,74,62,7,65,9,62,1,62,1,62,122,65,10,62,10,65,71,62,54,65,3,62,2,62,238,65,0.5877162019061066,65,1665,2833,0.045370938074800735,62,74,1631,0.026792179580014484,62,74,2762,0.04405286343612335,62,10,227,0.5126050420168067,65,122,238,2021-03-01
TN,12,86,45,33,65,45,24,98,20417,143,12949,128,696,98,82,98,40,98,0,98,0,98,1664,140,188,98,179,98,684,98,624,98,12,98,8,98,2398,143,0.676046778740733,128,12949,19154,0.06258992805755395,98,696,11120,0.0426157237325496,98,696,16332,0.08822149225715627,98,188,2131,0.710807347287484,140,1664,2341,2021-03-01
TX,107,483,5,142,448,5,98,590,68833,595,51449,595,5600,590,586,595,540,590,19,590,54,590,6260,595,1585,590,1512,595,5486,590,4867,595,114,590,88,590,7881,595,0.7474467188703093,595,51449,68833,0.11019717422960368,590,5600,50818,0.08228517691313036,590,5600,68056,0.20576398805660132,590,1585,7703,0.7943154422027662,595,6260,7881,2021-03-01
UT,0,58,1,0,58,1,1,58,6196,59,3794,59,208,58,35,59,3,58,2,58,0,58,387,59,79,58,78,59,205,58,187,59,3,58,1,58,624,59,0.6123305358295674,59,3794,6196,0.05533386538973131,58,208,3759,0.03395918367346939,58,208,6125,0.13036303630363036,58,79,606,0.6201923076923077,59,387,624,2021-03-01
VA,16,79,9,22,73,9,38,101,18096,104,13315,104,1207,101,123,104,231,101,6,101,16,101,1361,104,244,101,228,104,1182,101,984,104,25,101,18,101,1981,104,0.7357979664014147,104,13315,18096,0.09175218548080578,101,1207,13155,0.06767971290792868,101,1207,17834,0.12774869109947645,101,244,1910,0.6870267541645634,104,1361,1981,2021-03-01
VI,2,0,0,2,0,0,0,2,168,2,98,2,5,2,0,2,0,2,0,2,0,2,7,2,3,2,3,2,5,2,5,2,0,2,0,2,20,2,0.5833333333333334,2,98,168,0.05102040816326531,2,5,98,0.02976190476190476,2,5,168,0.15,2,3,20,0.35,2,7,20,2021-03-01
