state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-09,"521,677","521,196","522,158",73.92,73.72,74.13,"705,689","705,168","706,210"
CW,2021-01-10,"509,827","509,427","510,227",72.45,72.27,72.62,"703,710","703,237","704,183"
CW,2021-01-11,"513,922","513,612","514,231",72.96,72.82,73.10,"704,398","703,990","704,807"
CW,2021-01-12,"531,087","530,847","531,328",75.05,74.94,75.16,"707,602","707,288","707,916"
CW,2021-01-13,"537,759","537,641","537,877",75.73,75.68,75.78,"710,107","709,980","710,235"
CW,2021-01-14,"536,777","536,637","536,916",75.65,75.59,75.70,"709,598","709,447","709,749"
CW,2021-01-15,"535,080","534,996","535,165",75.43,75.41,75.46,"709,331","709,292","709,370"
CW,2021-01-16,"518,704","518,414","518,994",73.42,73.29,73.56,"706,458","706,051","706,865"
CW,2021-01-17,"507,471","507,317","507,625",72.11,72.04,72.19,"703,706","703,482","703,931"
CW,2021-01-18,"510,848","510,636","511,061",72.57,72.48,72.66,"703,975","703,740","704,211"
CW,2021-01-19,"527,516","527,339","527,692",74.60,74.51,74.68,"707,144","706,891","707,397"
CW,2021-01-20,"536,041","535,696","536,386",75.54,75.40,75.69,"709,578","709,218","709,938"
CW,2021-01-21,"533,850","533,643","534,056",75.34,75.24,75.44,"708,572","708,268","708,875"
CW,2021-01-22,"532,236","532,099","532,372",75.18,75.10,75.25,"707,984","707,725","708,242"
CW,2021-01-23,"516,378","516,169","516,587",73.29,73.20,73.38,"704,558","704,299","704,817"
CW,2021-01-24,"504,559","504,406","504,711",71.90,71.87,71.93,"701,332","701,098","701,565"
CW,2021-01-25,"508,526","508,436","508,616",72.34,72.29,72.38,"702,604","702,345","702,862"
CW,2021-01-26,"527,698","527,653","527,743",74.68,74.67,74.70,"706,190","705,953","706,427"
CW,2021-01-27,"532,580","532,211","532,949",75.14,74.98,75.30,"708,389","707,901","708,877"
CW,2021-01-28,"529,837","529,746","529,928",74.89,74.85,74.93,"707,068","706,811","707,325"
CW,2021-01-29,"523,634","523,573","523,695",74.18,74.16,74.20,"705,500","705,253","705,748"
CW,2021-01-30,"504,136","503,982","504,291",71.68,71.62,71.75,"702,869","702,573","703,165"
CW,2021-01-31,"490,397","490,196","490,599",70.15,70.05,70.24,"698,682","698,303","699,061"
CW,2021-02-01,"493,857","493,753","493,962",70.57,70.52,70.62,"699,380","699,102","699,657"
CW,2021-02-02,"514,799","514,703","514,894",73.21,73.17,73.25,"702,807","702,540","703,074"
CW,2021-02-03,"521,625","521,451","521,799",73.97,73.80,74.13,"704,799","704,117","705,481"
CW,2021-02-04,"521,072","520,884","521,259",73.91,73.83,73.99,"704,604","704,266","704,941"
CW,2021-02-05,"517,359","517,085","517,632",73.52,73.40,73.64,"703,274","702,864","703,684"
CW,2021-02-06,"502,119","501,158","503,079",71.68,71.24,72.11,"700,122","698,909","701,336"
CW,2021-02-07,"487,564","486,491","488,637",70.18,69.70,70.66,"694,316","693,004","695,629"
CW,2021-02-08,"489,306","487,224","491,388",70.63,69.67,71.58,"692,380","689,772","694,988"
AL,2021-01-09,"10,874","10,874","10,874",77.83,77.83,77.83,"13,971","13,971","13,971"
AZ,2021-01-09,"11,347","11,340","11,354",78.15,77.95,78.34,"14,520","14,507","14,533"
CT,2021-01-09,"6,193","6,193","6,193",79.79,79.79,79.79,"7,762","7,762","7,762"
DC,2021-01-09,"2,466","2,466","2,466",83.85,83.85,83.85,"2,941","2,941","2,941"
GA,2021-01-09,"16,373","16,373","16,373",85.15,85.15,85.15,"19,229","19,229","19,229"
ID,2021-01-09,"1,718","1,710","1,726",56.00,54.99,57.00,"3,068","3,054","3,082"
IN,2021-01-09,"10,633","10,611","10,655",65.37,64.94,65.81,"16,265","16,237","16,293"
KS,2021-01-09,"4,697","4,695","4,699",60.26,60.11,60.40,"7,795","7,788","7,802"
LA,2021-01-09,"8,975","8,970","8,980",70.34,70.34,70.34,"12,760","12,760","12,760"
MD,2021-01-09,"8,137","8,137","8,137",83.02,83.02,83.02,"9,801","9,801","9,801"
AL,2021-01-10,"10,559","10,546","10,572",75.56,75.22,75.89,"13,975","13,954","13,996"
AZ,2021-01-10,"11,244","11,231","11,256",78.00,78.00,78.00,"14,414","14,414","14,414"
CT,2021-01-10,"5,999","5,999","5,999",77.40,77.40,77.40,"7,751","7,751","7,751"
DC,2021-01-10,"2,382","2,382","2,382",81.32,81.32,81.32,"2,929","2,929","2,929"
GA,2021-01-10,"16,167","16,167","16,167",84.00,84.00,84.00,"19,246","19,246","19,246"
ID,2021-01-10,"1,683","1,683","1,683",54.41,54.41,54.41,"3,093","3,093","3,093"
IN,2021-01-10,"10,451","10,451","10,451",63.68,63.68,63.68,"16,413","16,413","16,413"
KS,2021-01-10,"4,543","4,543","4,543",58.33,58.33,58.33,"7,789","7,789","7,789"
LA,2021-01-10,"8,687","8,678","8,696",68.42,68.42,68.42,"12,696","12,696","12,696"
MD,2021-01-10,"7,992","7,836","8,149",81.77,81.77,81.77,"9,774","9,774","9,774"
AL,2021-01-11,"10,796","10,796","10,796",77.17,77.17,77.17,"13,990","13,990","13,990"
AZ,2021-01-11,"11,270","11,262","11,277",77.85,77.85,77.85,"14,476","14,476","14,476"
CT,2021-01-11,"5,940","5,940","5,940",76.74,76.74,76.74,"7,740","7,740","7,740"
DC,2021-01-11,"2,401","2,401","2,401",79.90,79.90,79.90,"3,005","3,005","3,005"
GA,2021-01-11,"16,364","16,364","16,364",84.93,84.93,84.93,"19,268","19,268","19,268"
ID,2021-01-11,"1,714","1,714","1,714",54.88,54.88,54.88,"3,123","3,123","3,123"
IN,2021-01-11,"10,538","10,531","10,545",64.32,64.32,64.32,"16,383","16,383","16,383"
KS,2021-01-11,"4,610","4,607","4,613",59.13,59.13,59.13,"7,796","7,796","7,796"
LA,2021-01-11,"8,735","8,732","8,738",68.84,68.84,68.84,"12,688","12,688","12,688"
MD,2021-01-11,"7,937","7,937","7,937",82.21,82.21,82.21,"9,654","9,654","9,654"
