state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,14,180,28765,183,23882,206,1165,208,2510,165,221,179,3303,158,0.7495567529984356,183,21561,28765,0.04739971526672808,206,1132,23882,0.03612028506865983,183,1039,28765,0.05933999394489858,151,196,3303,0.7673139158576052,147,2371,3090,2020-08-30
PR,13,65,8067,63,5010,67,603,68,452,63,72,64,627,60,0.5687368290566506,63,4588,8067,0.11956087824351297,67,599,5010,0.07065823726292302,63,570,8067,0.10610932475884244,59,66,622,0.6672025723472669,58,415,622,2020-08-30
RI,1,14,1759,14,2127,14,76,14,138,14,8,14,158,14,1.2092097782831155,14,2127,1759,0.035731076633756464,14,76,2127,0.04320636725412166,14,76,1759,0.05063291139240506,14,8,158,0.8734177215189873,14,138,158,2020-08-30
SC,16,74,10218,81,8332,81,916,81,985,76,233,77,1323,75,0.8154237619886475,81,8332,10218,0.1099375900144023,81,916,8332,0.08964572323350949,81,916,10218,0.1746031746031746,75,231,1323,0.7430083144368859,75,983,1323,2020-08-30
SD,1,49,2219,49,1451,51,92,51,79,36,19,32,89,27,0.6453357368183866,49,1432,2219,0.06340454858718125,51,92,1451,0.04146011716989635,49,92,2219,0.18072289156626506,23,15,83,0.6455696202531646,26,51,79,2020-08-30
TN,6,49,17318,113,11494,112,394,51,1592,114,97,46,1947,117,0.6855949895615866,110,11494,16765,0.07035419699175158,42,290,4122,0.048633238302867685,40,290,5963,0.1690909090909091,44,93,550,0.8363443145589798,113,1574,1882,2020-08-30
TX,284,540,63918,546,46870,554,5364,556,5540,502,1712,500,6853,488,0.7181701555117495,546,45904,63918,0.1144695496034715,553,5355,46781,0.08275094800839888,545,5281,63818,0.2457327839905827,478,1670,6796,0.8022763753100832,488,5498,6853,2020-08-30
UT,3,55,5731,54,3417,55,175,55,343,46,46,45,539,43,0.582271854824638,54,3337,5731,0.051214515657009074,55,175,3417,0.03018670389111848,54,173,5731,0.08348794063079777,42,45,539,0.62152133580705,42,335,539,2020-08-30
VA,20,85,15432,81,10201,82,1121,89,917,79,198,80,1306,74,0.6575298081907724,81,10147,15432,0.10577394373100676,82,1079,10201,0.06700362882322447,81,1034,15432,0.13859111791730475,74,181,1306,0.6875957120980092,74,898,1306,2020-08-30
VI,1,2,188,2,107,2,10,2,12,2,3,2,20,2,0.5691489361702128,2,107,188,0.09345794392523364,2,10,107,0.05319148936170213,2,10,188,0.15,2,3,20,0.6,2,12,20,2020-08-30
VT,0,12,579,10,366,11,3,14,40,8,1,11,54,7,0.616580310880829,10,357,579,0.00546448087431694,11,2,366,0.0034542314335060447,10,2,579,0.0,7,0,54,0.7407407407407407,7,40,54,2020-08-30
WA,5,93,9994,81,8908,96,399,96,892,80,102,79,918,66,0.617370422253352,81,6170,9994,0.045166402535657686,95,399,8834,0.027318548387096773,80,271,9920,0.0718954248366013,61,66,918,0.6840958605664488,62,628,918,2020-08-30
WI,7,135,12550,134,7541,133,539,135,834,127,135,130,1470,128,0.602220092636959,133,7541,12522,0.0700172390929585,133,528,7541,0.04215139442231076,134,529,12550,0.09183673469387756,128,135,1470,0.5685071574642127,127,834,1467,2020-08-30
AK,0,16,1331,20,972,25,45,25,50,14,10,22,46,9,0.45454545454545453,20,605,1331,0.046296296296296294,25,45,972,0.02404207362885049,20,32,1331,0.045454545454545456,7,2,44,0.3695652173913043,9,17,46,2020-08-30
AL,18,108,14567,110,10834,110,1193,108,1243,110,392,108,1421,110,0.7437358412850964,110,10834,14567,0.11150574820076643,106,1193,10699,0.08284146934240677,106,1193,14401,0.27586206896551724,106,392,1421,0.8747361013370866,110,1243,1421,2020-08-30
AR,3,92,8820,92,6202,95,601,95,716,82,253,77,964,73,0.6993197278911565,92,6168,8820,0.09690422444372783,95,601,6202,0.068140589569161,92,601,8820,0.2520746887966805,70,243,964,0.7230290456431535,73,697,964,2020-08-30
AZ,1,79,11676,78,9186,88,841,93,799,64,217,70,1359,54,0.6468824940047961,77,7553,11676,0.08948399738732854,88,822,9186,0.06235011990407674,78,728,11676,0.12141280353200883,52,165,1359,0.4841795437821928,54,658,1359,2020-08-30
CA,40,385,63065,386,45035,387,4877,399,5140,366,1269,369,7154,366,0.7118845635455483,386,44895,63065,0.10438129992657039,386,4691,44941,0.07450289054062639,385,4691,62964,0.17738328207995527,364,1269,7154,0.7191828739331187,364,5140,7147,2020-08-30
CO,4,92,11346,93,6956,96,244,96,666,79,72,77,1204,71,0.6105235325224749,93,6927,11346,0.035077630822311676,96,244,6956,0.02141723955579059,93,243,11346,0.06030150753768844,68,72,1194,0.5671256454388984,70,659,1162,2020-08-30
