state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PA,29,191,6,36,184,6,23,220,30702,226,26272,226,3227,220,280,226,387,220,5,219,47,219,3032,226,691,220,666,226,3126,220,2692,226,101,220,33,220,3724,226,0.855709725750765,226,26272,30702,0.12414880929481,220,3227,25993,0.106406832195733,220,3227,30327,0.191042300248825,220,691,3617,0.814178302900107,226,3032,3724,2021/10/24,,1,224,12,224,17,224,30,224,47,224,56,224,66,224,40,224,11,217,2,216,19,217,28,216,37,217,63,217,81,216,73,217,72,217,12,209,54,220,5217,4326,3619,1001,35,355,3,219,5,219,0,219,0,219,31,3,219,219
PR,1,7,58,1,7,58,1,65,9535,66,6219,66,72,65,0,66,9,65,0,65,6,65,452,66,12,65,8,66,57,65,42,66,15,65,1,65,639,66,0.652228631358154,66,6219,9535,0.011861614497529,65,72,6070,0.007692307692308,65,72,9360,0.019769357495881,65,12,607,0.70735524256651,66,452,639,2021/10/24,,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,65,2,65,0,65,0,65,2,65,1,65,3,65,1,65,0,65,0,65,0,0,1102,0,0,16,0,65,2,65,0,65,0,65,15,1,65,65
RI,6,7,2,7,6,2,0,14,2457,15,2133,15,76,14,6,15,5,14,0,14,0,14,137,15,11,14,8,15,73,14,69,15,3,14,0,14,157,15,0.868131868131868,15,2133,2457,0.036591237361579,14,76,2077,0.031746031746032,14,76,2394,0.075342465753425,14,11,146,0.872611464968153,15,137,157,2021/10/24,,0,15,0,15,1,15,1,15,1,15,1,15,0,15,2,15,0,15,0,14,0,14,1,14,0,14,0,14,1,14,2,14,1,14,0,14,3,14,9,0,0,0,0,3,0,6,0,6,0,6,0,6,0,0,6,6
SC,30,52,5,30,52,5,7,85,11646,87,9418,87,704,85,66,87,40,85,3,85,3,85,1035,87,199,85,199,87,696,85,645,87,8,85,7,85,1357,87,0.808689678859694,87,9418,11646,0.075674513597764,85,704,9303,0.061318700461632,85,704,11481,0.151100987091875,85,199,1317,0.76271186440678,87,1035,1357,2021/10/24,,0,87,4,87,7,87,5,87,13,87,14,87,14,87,9,87,0,82,0,85,3,85,4,85,1,85,5,85,11,85,10,85,4,85,2,80,13,85,4341,2606,2858,955,0,281,1,85,3,85,0,85,0,85,10,0,85,85
SD,2,60,3,2,60,3,33,62,2841,65,1834,65,187,62,28,65,8,62,1,62,1,62,168,65,45,62,47,65,182,62,172,65,5,62,1,62,244,65,0.64554734248504,65,1834,2841,0.10377358490566,62,187,1802,0.067411679884643,62,187,2774,0.1931330472103,62,45,233,0.688524590163934,65,168,244,2021/10/24,,0,65,1,65,4,65,3,65,3,65,7,65,5,65,5,65,0,65,0,62,1,62,1,62,0,62,0,62,3,62,2,62,1,62,0,62,2,62,783,72,683,261,0,141,0,62,0,62,0,62,0,62,4,0,62,62
TN,30,99,10,45,84,10,32,136,17569,139,13068,139,1089,136,84,139,68,136,2,136,2,136,1469,139,309,136,304,139,1080,136,990,139,9,136,6,136,1892,139,0.7438101200979,139,13068,17569,0.085058189486839,136,1089,12803,0.063174382178907,136,1089,17238,0.171762090050028,136,309,1799,0.776427061310782,139,1469,1892,2021/10/24,,0,139,4,139,9,139,10,139,16,139,18,139,10,139,6,139,11,139,0,136,5,136,5,136,5,136,9,136,8,136,20,136,11,136,5,136,15,136,2704,862,1439,733,0,375,0,83,0,84,0,136,0,136,15,2,83,85
TX,16,118,462,20,114,462,58,591,69708,596,52830,596,4442,591,415,596,396,591,14,591,92,591,6029,596,1481,591,1431,596,4304,591,3792,596,138,591,90,591,7018,596,0.757875710105009,596,52830,69708,0.085077857156538,591,4442,52211,0.06443470944907,591,4442,68938,0.216015169194866,591,1481,6856,0.859076660017099,596,6029,7018,2021/10/24,,2,596,30,596,43,596,47,596,58,596,88,596,67,596,50,596,30,596,4,591,45,591,41,591,44,591,63,591,74,591,49,591,48,591,28,591,53,591,14175,1727,7004,1264,0,402,2,170,2,170,0,170,0,170,54,4,170,170
UT,1,49,9,1,49,9,2,58,6249,59,4262,59,536,58,79,59,1,58,5,58,3,58,486,59,191,58,196,59,521,58,503,59,15,58,0,58,623,59,0.682029124659946,59,4262,6249,0.127649440342939,58,536,4199,0.086829742426697,58,536,6173,0.311582381729201,58,191,613,0.780096308186196,59,486,623,2021/10/24,,0,59,12,59,7,59,15,59,7,59,17,59,10,59,11,59,0,59,0,58,0,58,0,58,1,58,0,58,0,58,0,58,0,58,0,58,4,58,515,268,97,184,0,2,0,57,0,57,0,57,0,57,3,0,57,57
VA,18,67,20,22,63,20,30,102,18067,105,13633,105,1160,102,102,105,185,102,7,102,13,102,1422,105,287,102,284,105,1136,102,982,105,24,102,10,102,1921,105,0.754580173797531,105,13633,18067,0.086155674390969,102,1160,13464,0.065051592642441,102,1160,17832,0.153722549544724,102,287,1867,0.740239458615304,105,1422,1921,2021/10/24,,1,105,6,105,4,105,13,105,17,105,21,105,25,105,13,105,2,105,1,102,12,102,14,102,20,102,20,102,35,102,49,102,34,102,0,102,34,102,2763,3683,1039,495,8,121,7,97,0,97,0,97,0,97,23,7,97,97
VI,2,0,0,2,0,0,0,2,168,2,112,2,5,2,1,2,0,2,0,2,0,2,10,2,1,2,1,2,5,2,5,2,0,2,0,2,20,2,0.666666666666667,2,112,168,0.044642857142857,2,5,112,0.029761904761905,2,5,168,0.05,2,1,20,0.5,2,10,20,2021/10/24,,0,2,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,184,17,108,13,0,4,0,2,0,2,0,2,0,2,0,0,2,2
