state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,25524,178,17327,171,1169,206,2378,161,277,175,2892,146,0.6989561407276945,158,16271,23279,0.054596871933975874,171,946,17327,0.03859112991694092,178,985,25524,0.0779401530967293,136,224,2874,0.7607192254495159,142,2200,2892,2020-08-07
PR,7821,59,4231,58,475,59,436,58,72,58,614,56,0.5505530253741054,58,4231,7685,0.11108484991727724,58,470,4231,0.060733921493415166,59,475,7821,0.11348684210526316,55,69,608,0.6856677524429967,56,421,614,2020-08-07
RI,1744,13,1829,13,92,13,131,13,9,13,164,13,1.0487385321100917,13,1829,1744,0.05030071077091307,13,92,1829,0.052752293577981654,13,92,1744,0.054878048780487805,13,9,164,0.7987804878048781,13,131,164,2020-08-07
SC,10635,81,7720,74,1351,81,920,70,347,75,1215,67,0.7864710676446618,74,7720,9816,0.16373056994818652,74,1264,7720,0.12703338034790784,81,1351,10635,0.25925925925925924,67,315,1215,0.731687242798354,67,889,1215,2020-08-07
SD,2226,49,792,43,80,52,81,36,13,31,93,28,0.5071059431524548,42,785,1548,0.05303030303030303,43,42,792,0.03593890386343217,49,80,2226,0.06451612903225806,24,6,93,0.5747126436781609,27,50,87,2020-08-07
TN,17890,112,11101,113,1388,111,1447,85,431,107,1994,91,0.6467800037919484,102,10234,15823,0.11346261420846541,103,1217,10726,0.07669990933816863,99,1269,16545,0.21443736730360935,83,404,1884,0.7926292629262927,84,1441,1818,2020-08-07
TX,59621,541,38940,521,8428,557,4475,481,2543,490,5367,453,0.6909422101578684,516,38690,55996,0.1913573892005971,520,7435,38854,0.13413753129147696,540,7984,59521,0.400187617260788,441,2133,5330,0.7788336128190796,451,4180,5367,2020-08-07
UT,5251,51,2776,47,246,52,314,43,80,42,542,39,0.5315970892378399,47,2776,5222,0.08645533141210375,47,240,2776,0.04608645972195772,51,242,5251,0.14206642066420663,38,77,542,0.5498154981549815,38,298,542,2020-08-07
VA,16881,83,8951,76,1351,91,735,74,188,73,1346,73,0.5868538354068259,70,8821,15031,0.11920455814992738,76,1067,8951,0.07623955926781589,83,1287,16881,0.13285024154589373,67,165,1242,0.5821371610845295,70,730,1254,2020-08-07
VI,188,2,92,2,8,2,10,2,4,2,20,2,0.48936170212765956,2,92,188,0.08695652173913043,2,8,92,0.0425531914893617,2,8,188,0.2,2,4,20,0.5,2,10,20,2020-08-07
VT,575,12,173,9,14,15,24,7,1,9,48,6,0.5242424242424243,7,173,330,0.07514450867052024,9,13,173,0.019130434782608695,12,11,575,0.020833333333333332,6,1,48,0.5,6,24,48,2020-08-07
WA,9118,80,7555,85,527,95,770,75,111,80,877,63,0.5779401530967293,71,4983,8622,0.06117269934553225,84,458,7487,0.03756906077348066,79,340,9050,0.07753705815279362,58,68,877,0.6417910447761194,59,559,871,2020-08-07
WI,11919,135,7153,133,674,138,801,125,167,132,1559,129,0.5953022394342482,132,7071,11878,0.09380679435202013,133,671,7153,0.05629666918365635,135,671,11919,0.10711994868505452,129,167,1559,0.5137908915971777,125,801,1559,2020-08-07
AK,1280,19,756,23,53,24,49,14,10,21,45,9,0.33785004516711836,18,374,1107,0.06481481481481481,23,49,756,0.02578125,19,33,1280,0.11627906976744186,7,5,43,0.4888888888888889,9,22,45,2020-08-07
AL,12594,106,7943,93,1805,110,1127,88,495,89,1167,75,0.7482007484886287,91,7797,10421,0.19798234552332913,92,1570,7930,0.14211906843653127,105,1788,12581,0.36496980155306297,69,423,1159,0.9031705227077977,75,1054,1167,2020-08-07
AR,7881,85,4471,79,1586,88,678,75,356,71,923,70,0.6587383660806618,77,4459,6769,0.12569894878103333,79,562,4471,0.2012434970181449,85,1586,7881,0.31704668838219324,65,292,921,0.7128927410617552,69,658,923,2020-08-07
AZ,9489,77,6862,66,1599,88,928,62,500,68,954,53,0.8245398773006135,60,6048,7335,0.1877003788982804,66,1288,6862,0.14606386342080305,77,1386,9489,0.389937106918239,51,372,954,0.80083857442348,53,764,954,2020-08-07
CA,60082,376,41467,371,7054,395,5158,361,1875,363,7106,360,0.6917392319754445,371,41467,59946,0.16249065521981335,371,6738,41467,0.1121467327985087,376,6738,60082,0.2625949901491697,358,1866,7106,0.7258654658035463,359,5158,7106,2020-08-07
CO,9069,74,5063,69,421,92,526,62,104,73,942,55,0.5901006318745612,66,5043,8546,0.0738692474817302,69,374,5063,0.04179071562465542,74,379,9069,0.08798283261802575,52,82,932,0.5755555555555556,54,518,900,2020-08-07
CT,8111,30,5574,29,177,31,495,28,27,28,1045,29,0.7030776992936428,29,5574,7928,0.031754574811625406,29,177,5574,0.021822216742695105,30,177,8111,0.02583732057416268,28,27,1045,0.47368421052631576,28,495,1045,2020-08-07
DC,3440,12,2447,13,254,13,226,11,20,10,379,11,0.7113372093023256,12,2447,3440,0.10380057212913772,13,254,2447,0.07383720930232558,12,254,3440,0.052770448548812667,10,20,379,0.5963060686015831,11,226,379,2020-08-07
DE,2456,11,1450,8,68,12,99,7,10,7,142,6,0.6736007924715206,7,1360,2019,0.04206896551724138,8,61,1450,0.02768729641693811,11,68,2456,0.07042253521126761,6,10,142,0.6971830985915493,6,99,142,2020-08-07
FL,74450,258,39400,244,8465,260,4642,243,1979,255,5717,242,0.5660512894188636,244,39400,69605,0.1931725888324873,244,7611,39400,0.1135795836131632,258,8456,74450,0.31957857769973663,240,1820,5695,0.8086408955746021,242,4623,5717,2020-08-07
GA,13808,114,7546,93,3883,142,1045,84,619,92,1137,76,0.757625383828045,92,7402,9770,0.25099390405512856,93,1894,7546,0.20292584009269987,114,2802,13808,0.4283201407211961,70,487,1137,0.8645558487247141,75,983,1137,2020-08-07
HI,1683,15,1653,23,178,21,84,13,28,13,96,11,0.6600719424460432,13,1101,1668,0.12630662020905922,14,145,1148,0.0754604872251931,15,127,1683,0.13541666666666666,11,13,96,0.46875,11,45,96,2020-08-07
IA,8336,120,4710,120,333,120,431,120,83,120,706,119,0.5650191938579654,120,4710,8336,0.07070063694267516,120,333,4710,0.03994721689059501,120,333,8336,0.11756373937677053,119,83,706,0.6104815864022662,119,431,706,2020-08-07
MS,7539,92,4201,87,1443,96,542,63,421,66,575,62,0.6391784181483753,85,4170,6524,0.22375624851225898,87,940,4201,0.1911394084096034,92,1441,7539,0.7050359712230215,60,392,556,0.960431654676259,61,534,556,2020-08-07
MT,2779,64,1737,52,82,39,97,27,26,53,192,46,0.7350933090578061,50,1615,2197,0.06197398622800306,32,81,1307,0.04791537025513379,35,77,1607,0.12698412698412698,43,24,189,0.6771653543307087,21,86,127,2020-08-07
NC,18324,109,12909,102,1424,120,1290,100,366,108,1733,96,0.7320223747188743,101,12694,17341,0.08366256100395074,102,1080,12909,0.06681611897862103,108,1222,18289,0.17541834968263129,96,304,1733,0.727062896710906,96,1260,1733,2020-08-07
ND,2168,47,1658,47,128,47,105,38,25,37,99,32,0.764760147601476,47,1658,2168,0.07720144752714113,47,128,1658,0.05904059040590406,47,128,2168,0.10309278350515463,29,10,97,0.5257731958762887,31,51,97,2020-08-07
