state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PA,19,183,7,25,177,7,30,203,30026,209,22307,209,2685,203,294,209,381,203,7,202,18,201,2670,209,494,203,469,209,2639,203,2349,209,46,201,28,201,3565,209,0.742922800239792,209,22307,30026,0.121410807144472,203,2685,22115,0.090562601187264,203,2685,29648,0.142857142857143,203,494,3458,0.748948106591865,209,2670,3565,2021/04/01,POINT (-77.838886 40.896694)
PR,0,0,68,0,0,68,0,67,9186,68,4980,68,288,67,18,68,21,67,4,67,6,67,453,68,56,67,40,68,250,67,231,68,38,67,14,67,692,68,0.5421293272371,68,4980,9186,0.059308072487644,67,288,4856,0.031985784095957,67,288,9004,0.084720121028744,67,56,661,0.654624277456647,68,453,692,2021/04/01,POINT (-66.414655 18.215692)
RI,3,10,1,3,10,1,5,13,2491,14,2158,14,188,13,7,14,0,13,0,13,0,13,139,14,25,13,29,14,185,13,152,14,3,13,3,13,178,14,0.866318747490968,14,2158,2491,0.088846880907372,13,188,2116,0.077814569536424,13,188,2416,0.157232704402516,13,25,159,0.780898876404494,14,139,178,2021/04/01,POINT (-71.534637 41.572574)
SC,20,48,2,20,48,2,3,68,10047,70,7105,70,498,68,61,70,45,68,1,68,4,68,874,70,134,68,133,70,494,68,462,70,4,68,3,68,1336,70,0.707176271523838,70,7105,10047,0.070899772209567,68,498,7024,0.050394656952034,68,498,9882,0.103395061728395,68,134,1296,0.654191616766467,70,874,1336,2021/04/01,POINT (-80.864614 33.878572)
SD,1,59,3,2,58,3,26,60,2569,63,1268,63,92,60,8,63,13,60,1,60,6,60,125,63,21,60,18,63,85,60,67,63,7,60,1,60,235,63,0.493577267419229,63,1268,2569,0.074014481094127,60,92,1243,0.036770583533173,60,92,2502,0.09375,60,21,224,0.531914893617021,63,125,235,2021/04/01,POINT (-100.230491 44.43614)
TN,13,83,45,31,65,45,16,96,20309,141,12529,127,766,96,94,96,47,96,1,96,5,96,1634,138,233,96,223,96,750,96,691,96,16,96,12,96,2382,141,0.656174714570022,127,12529,19094,0.074002511834605,96,766,10351,0.047696139476961,96,766,16060,0.117262204328133,96,233,1987,0.702795698924731,138,1634,2325,2021/04/01,POINT (-86.343226 35.842998)
TX,92,492,5,115,469,5,60,584,67022,589,44368,589,3255,584,301,589,378,584,14,584,32,584,5408,589,935,584,884,589,3159,584,2751,589,96,584,62,584,7249,589,0.661991584852735,589,44368,67022,0.074112021857924,584,3255,43920,0.049132817099126,584,3255,66249,0.132248939179632,584,935,7070,0.746033935715271,589,5408,7249,2021/04/01,POINT (-99.317341 31.447238)
UT,0,52,1,0,52,1,0,52,5466,53,2821,53,139,52,28,53,4,52,1,52,0,52,341,53,48,52,46,53,135,52,125,53,4,52,0,52,624,53,0.516099524332236,53,2821,5466,0.049982020855807,52,139,2781,0.025764596848934,52,139,5395,0.079207920792079,52,48,606,0.546474358974359,53,341,624,2021/04/01,POINT (-111.678222 39.323779)
VA,16,68,9,20,64,9,24,90,16894,93,11488,93,1049,90,105,93,181,90,5,90,12,90,1265,93,243,90,229,93,1028,90,853,93,21,90,11,90,1961,93,0.680004735409021,93,11488,16894,0.09248809733733,90,1049,11342,0.063109132475033,90,1049,16622,0.128503437334744,90,243,1891,0.645079041305456,93,1265,1961,2021/04/01,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,71,2,4,2,0,2,0,2,0,2,0,2,8,2,4,2,4,2,4,2,4,2,0,2,0,2,20,2,0.422619047619048,2,71,168,0.056338028169014,2,4,71,0.023809523809524,2,4,168,0.2,2,4,20,0.4,2,8,20,2021/04/01,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1304,17,771,17,24,16,4,17,2,16,0,16,0,16,56,17,4,16,4,17,24,16,24,17,0,16,0,16,104,17,0.591257668711656,17,771,1304,0.031914893617021,16,24,752,0.018942383583268,16,24,1267,0.041237113402062,16,4,97,0.538461538461538,17,56,104,2021/04/01,POINT (-72.662695 44.075252)
WA,10,82,2,9,83,2,11,92,12893,94,8103,94,450,92,39,94,51,92,0,92,0,92,882,94,129,92,118,94,450,92,384,94,0,92,0,92,1407,94,0.6284805708524,94,8103,12893,0.056151734464687,92,450,8014,0.035263694067863,92,450,12761,0.093681917211329,92,129,1377,0.626865671641791,94,882,1407,2021/04/01,POINT (-120.592492 47.411715)
WI,9,112,21,10,111,21,2,139,12689,142,7244,141,308,138,62,142,32,139,2,139,7,139,795,141,82,138,80,141,300,138,273,141,8,138,2,138,1593,142,0.579473642108631,141,7244,12501,0.043398619134846,138,308,7097,0.02515517804639,138,308,12244,0.053212199870214,138,82,1541,0.499058380414313,141,795,1593,2021/04/01,POINT (-89.732969 44.639954)
AK,1,19,0,1,19,0,0,20,1443,20,827,20,37,20,3,20,0,20,0,20,0,20,95,20,14,20,14,20,37,20,37,20,0,20,0,20,127,20,0.573111573111573,20,827,1443,0.044740024183797,20,37,827,0.025641025641026,20,37,1443,0.110236220472441,20,14,127,0.748031496062992,20,95,127,2021/04/01,POINT (-151.631889 63.631126)
AL,28,66,13,29,64,14,3,102,14872,107,9987,107,391,102,45,104,80,102,0,102,9,102,1235,107,140,102,119,104,377,102,314,104,14,102,2,102,1620,107,0.671530392684239,107,9987,14872,0.040598068736372,102,391,9631,0.027162209100382,102,391,14395,0.08816120906801,102,140,1588,0.762345679012346,107,1235,1620,2021/04/01,POINT (-86.844516 32.756889)
AR,14,71,2,18,67,2,0,85,7603,87,4701,87,166,85,15,87,37,85,0,85,5,85,605,87,53,85,44,87,164,85,121,87,2,85,0,85,1012,87,0.618308562409575,87,4701,7603,0.035409556313993,85,166,4688,0.021951864586088,85,166,7562,0.053266331658291,85,53,995,0.597826086956522,87,605,1012,2021/04/01,POINT (-92.439162 34.899825)
AZ,27,71,3,27,71,3,5,98,15141,101,9821,101,514,98,59,101,113,98,0,98,2,98,1026,101,114,98,86,101,502,98,333,101,12,98,8,98,2167,101,0.648636153490522,101,9821,15141,0.053352709155076,98,514,9634,0.034666486814595,98,514,14827,0.054545454545455,98,114,2090,0.473465620673742,101,1026,2167,2021/04/01,POINT (-111.664616 34.293239)
CA,67,272,36,80,259,36,25,367,59815,375,42157,375,2348,367,224,375,316,367,6,367,14,367,4798,375,530,367,491,375,2296,367,1964,375,52,367,37,367,7052,375,0.704789768452729,375,42157,59815,0.056365076697794,367,2348,41657,0.039814155390511,367,2348,58974,0.077090909090909,367,530,6875,0.680374361883154,375,4798,7052,2021/04/01,POINT (-119.662127 37.211164)
CO,3,79,13,6,76,13,6,93,11102,95,7063,95,417,93,69,95,44,93,2,93,6,93,793,95,121,93,120,95,398,93,343,95,19,93,6,93,1288,95,0.636191677175284,95,7063,11102,0.059639588100686,93,417,6992,0.037926330150068,93,417,10995,0.096414342629482,93,121,1255,0.615683229813665,95,793,1288,2021/04/01,POINT (-105.547832 38.998552)
CT,4,28,1,4,28,1,17,32,7881,33,5811,33,568,32,89,33,35,32,0,32,0,32,587,33,123,32,119,33,561,32,508,33,7,32,3,32,1057,33,0.737342976779596,33,5811,7881,0.098696785403997,32,568,5755,0.072885923264468,32,568,7793,0.118725868725869,32,123,1036,0.555345316934721,33,587,1057,2021/04/01,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,2,12,3456,14,2387,14,183,13,10,14,47,13,1,13,12,13,252,14,51,12,48,13,156,13,130,14,27,13,8,13,329,14,0.69068287037037,14,2387,3456,0.078507078507079,13,183,2331,0.054971462901772,13,183,3329,0.16504854368932,12,51,309,0.765957446808511,14,252,329,2021/04/01,POINT (-77.016275 38.904785)
