state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,4,20,0,3,21,0,3,24,1626,24,979,24,142,24,16,24,1,24,0,24,0,24,99,24,21,24,21,24,129,24,122,24,13,24,12,24,130,24,0.602091020910209,24,979,1626,0.14504596527068436,24,142,979,0.08733087330873308,24,142,1626,0.16153846153846155,24,21,130,0.7615384615384615,24,99,130,2020-12-14
AL,36,74,5,41,67,7,15,112,14314,111,11236,111,2677,112,398,112,103,112,6,112,8,112,1214,111,641,112,610,112,2654,112,2411,112,23,112,15,112,1341,111,0.784965767779796,111,11236,14314,0.22236398432516177,108,2440,10973,0.17446017446017445,108,2440,13986,0.43670411985018726,108,583,1335,0.9052945563012678,111,1214,1341,2020-12-14
AR,38,69,0,43,64,0,11,107,9300,107,6894,107,1157,107,146,107,276,107,2,107,25,107,832,107,337,107,311,107,1123,107,989,107,34,107,26,107,1018,107,0.7412903225806452,107,6894,9300,0.16782709602552945,107,1157,6894,0.12440860215053763,107,1157,9300,0.33104125736738704,107,337,1018,0.8172888015717092,107,832,1018,2020-12-14
AZ,39,79,0,44,74,0,79,118,16210,118,12740,118,4023,118,458,118,312,118,4,118,7,118,1597,118,907,118,817,118,3988,118,3373,118,35,118,23,118,2161,118,0.7859346082665022,118,12740,16210,0.31577708006279437,118,4023,12740,0.24818013571869216,118,4023,16210,0.4197130957889866,118,907,2161,0.7390097177232763,118,1597,2161,2020-12-14
CA,139,261,8,155,245,8,130,408,67153,408,52700,408,17080,407,2233,408,658,408,26,407,19,407,6778,407,3508,407,3413,407,16917,407,15991,407,163,407,126,407,7820,407,0.7847750658943011,408,52700,67153,0.3240986717267552,407,17080,52700,0.25434455646061976,407,17080,67153,0.44859335038363174,407,3508,7820,0.8667519181585678,407,6778,7820,2020-12-14
CO,12,78,11,16,74,11,26,101,11666,101,8256,101,1573,101,215,101,96,101,6,101,8,101,979,101,460,101,439,101,1546,101,1398,101,27,101,18,101,1526,101,0.7076975827190125,101,8256,11666,0.1905281007751938,101,1573,8256,0.13483627635864906,101,1573,11666,0.30144167758846657,101,460,1526,0.6415465268676278,101,979,1526,2020-12-14
CT,2,37,0,3,36,0,46,39,8633,39,6499,39,1397,39,160,39,76,39,3,39,2,39,666,39,258,39,243,39,1383,39,1192,39,14,39,9,39,1101,39,0.7528089887640449,39,6499,8633,0.21495614709955377,39,1397,6499,0.16182091972663037,39,1397,8633,0.23433242506811988,39,258,1101,0.6049046321525886,39,666,1101,2020-12-14
DC,0,12,1,0,12,1,7,13,3525,13,2827,13,316,13,32,13,77,13,2,13,5,13,297,13,65,13,57,13,293,13,247,13,23,13,11,13,344,13,0.8019858156028369,13,2827,3525,0.11177927131234525,13,316,2827,0.08964539007092198,13,316,3525,0.18895348837209303,13,65,344,0.8633720930232558,13,297,344,2020-12-14
DE,1,14,0,3,12,0,6,15,3241,15,2323,15,477,15,53,15,28,15,1,15,0,15,167,15,60,15,60,15,461,15,436,15,16,15,10,15,193,15,0.716754088244369,15,2323,3241,0.2053379250968575,15,477,2323,0.14717679728478864,15,477,3241,0.31088082901554404,15,60,193,0.8652849740932642,15,167,193,2020-12-14
FL,11,246,6,22,236,5,87,263,57424,263,46433,263,5788,263,822,263,363,263,10,263,10,263,5157,263,1151,263,1068,263,5757,263,5108,263,31,263,23,263,6132,263,0.8085991919754806,263,46433,57424,0.12465272543234338,263,5788,46433,0.1007940930621343,263,5788,57424,0.18770384866275278,263,1151,6132,0.8409980430528375,263,5157,6132,2020-12-14
