state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,1,0,68,1,0,68,9,68,9572,69,5419,69,709,68,50,69,67,68,2,68,11,68,473,69,91,68,93,69,672,68,520,69,37,68,5,68,678,69,0.5661303802758044,69,5419,9572,0.13364750235626768,68,709,5305,0.075546084176878,68,709,9385,0.14064914992272023,68,91,647,0.6976401179941003,69,473,678,2020-11-30
RI,3,11,1,3,11,1,5,14,2307,15,2062,14,449,14,35,15,1,14,0,14,0,14,148,15,51,14,55,15,440,14,407,15,9,14,9,14,173,15,0.8938014737754659,14,2062,2307,0.22394014962593517,13,449,2005,0.20071524362986143,14,449,2237,0.32075471698113206,14,51,159,0.8554913294797688,15,148,173,2020-11-30
SC,23,62,2,28,57,2,8,85,11479,87,9262,87,1032,85,128,87,108,85,0,85,2,85,1029,87,236,85,222,87,1021,85,886,87,11,85,8,85,1306,87,0.806864709469466,87,9262,11479,0.1127992130287463,85,1032,9149,0.0912708941363757,85,1032,11307,0.1875993640699523,85,236,1258,0.7879019908116386,87,1029,1306,2020-11-30
SD,11,50,3,13,48,3,101,61,2889,64,1793,64,512,61,47,64,17,61,1,61,2,61,192,64,110,61,113,64,510,61,486,64,2,61,2,61,235,64,0.6206299757701627,64,1793,2889,0.2956120092378753,61,512,1732,0.1844380403458213,61,512,2776,0.502283105022831,61,110,219,0.8170212765957446,64,192,235,2020-11-30
TN,23,85,37,34,74,37,44,108,20240,145,13646,130,2610,108,311,108,130,108,1,108,3,108,1791,142,656,108,620,108,2585,108,2390,108,25,108,22,108,2127,145,0.716889939584975,130,13646,19035,0.1986452545855849,108,2610,13139,0.14546062531349271,108,2610,17943,0.3233119763430261,108,656,2029,0.8652173913043478,142,1791,2070,2020-11-30
TX,145,435,8,179,401,8,145,588,70119,586,50275,588,9666,588,1089,588,606,588,19,588,59,588,6433,588,2691,588,2570,588,9570,588,8804,588,96,588,71,588,7653,586,0.7169953935452588,586,50275,70119,0.19226255594231725,588,9666,50275,0.13785136696187908,586,9666,70119,0.3516268130145041,586,2691,7653,0.8405853913497975,586,6433,7653,2020-11-30
UT,7,51,1,7,51,1,6,58,6199,59,3788,59,621,58,96,59,9,58,6,58,0,58,488,59,207,58,206,59,605,58,592,59,16,58,3,58,655,59,0.611066301016293,59,3788,6199,0.16613162118780098,58,621,3738,0.1015867822672992,58,621,6113,0.3209302325581395,58,207,645,0.7450381679389313,59,488,655,2020-11-30
VA,27,79,3,36,70,3,48,106,19198,109,13861,109,1816,106,182,109,271,106,6,106,10,106,1470,109,417,106,372,109,1794,106,1421,109,22,106,14,106,2099,109,0.7220022919054068,109,13861,19198,0.13259345794392524,106,1816,13696,0.09591718164052183,106,1816,18933,0.20511559272011806,106,417,2033,0.7003334921391139,109,1470,2099,2020-11-30
VI,1,1,0,2,0,0,0,2,168,2,94,2,3,2,0,2,0,2,0,2,0,2,10,2,1,2,1,2,3,2,2,2,0,2,0,2,20,2,0.5595238095238095,2,94,168,0.031914893617021274,2,3,94,0.017857142857142856,2,3,168,0.05,2,1,20,0.5,2,10,20,2020-11-30
VT,1,15,1,1,15,1,0,16,1285,17,787,17,33,16,7,17,12,16,0,16,0,16,62,17,4,16,3,17,33,16,31,17,0,16,0,16,110,17,0.6124513618677043,17,787,1285,0.04302477183833116,16,33,767,0.026442307692307692,16,33,1248,0.038834951456310676,16,4,103,0.5636363636363636,17,62,110,2020-11-30
