state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PR,1,14,51,1,14,51,1,65,9280,66,5905,66,98,65,5,66,10,65,1,65,4,65,450,66,19,65,11,66,82,65,62,66,16,65,2,65,661,66,0.636314655172414,66,5905,9280,0.016934508380854,65,98,5787,0.010782264275498,65,98,9089,0.030110935023772,65,19,631,0.680786686838124,66,450,661,2021/07/19,,0,66,0,66,0,66,0,66,1,66,3,66,1,66,0,66,0,66,0,65,0,65,1,65,0,65,2,65,4,65,0,65,3,65,0,65,2,65
RI,4,9,2,4,9,2,0,14,2555,15,2402,15,72,14,6,15,0,14,0,14,0,14,132,15,4,14,4,15,72,14,35,15,0,14,0,14,159,15,0.940117416829746,15,2402,2555,0.03063829787234,14,72,2350,0.028892455858748,14,72,2492,0.027586206896552,14,4,145,0.830188679245283,15,132,159,2021/07/19,,0,15,0,15,1,15,1,15,0,15,2,15,1,15,1,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,1,14
SC,20,61,5,20,61,5,3,84,11357,86,8929,86,367,84,53,86,26,84,0,84,1,84,899,86,99,84,100,86,360,84,337,86,7,84,3,84,1278,86,0.786211147310029,86,8929,11357,0.041581690460005,84,367,8826,0.032788349861521,84,367,11193,0.080032336297494,84,99,1237,0.703442879499218,86,899,1278,2021/07/19,,1,86,2,86,6,86,7,86,5,86,9,86,14,86,6,86,3,81,0,84,1,84,3,84,2,84,4,84,4,84,4,84,7,84,1,79,2,84
SD,1,61,3,1,61,3,6,62,2822,65,1671,65,31,62,4,65,10,62,0,62,0,62,123,65,12,62,9,65,30,62,19,65,1,62,0,62,229,65,0.592133238837704,65,1671,2822,0.018937080024435,62,31,1637,0.011252268602541,62,31,2755,0.055045871559633,62,12,218,0.537117903930131,65,123,229,2021/07/19,,0,65,0,65,0,65,0,65,1,65,1,65,2,65,0,65,0,65,0,62,2,62,0,62,1,62,0,62,2,62,3,62,2,62,0,62,0,62
TN,6,87,49,26,67,49,2,94,20164,142,13294,129,624,94,80,94,43,94,1,94,0,94,1657,139,201,94,192,94,614,94,552,94,10,94,9,94,2403,142,0.69554753309266,129,13294,19113,0.058608058608059,94,624,10647,0.04002822503047,94,624,15589,0.097007722007722,94,201,2072,0.699746621621622,139,1657,2368,2021/07/19,,0,94,5,94,5,94,10,94,15,94,11,94,16,94,6,94,12,94,0,94,4,94,4,94,2,94,9,94,8,94,7,94,2,94,7,94,6,94
TX,99,419,75,113,405,75,46,588,69594,593,52693,593,4383,588,679,593,399,588,12,588,65,588,6081,593,1234,588,1186,593,4289,588,3886,593,94,588,58,588,6890,593,0.757148604764778,593,52693,69594,0.084181615641686,588,4383,52066,0.063661055353019,588,4383,68849,0.183276399821773,588,1234,6733,0.882583454281568,593,6081,6890,2021/07/19,,5,593,56,593,81,593,112,593,120,593,109,593,81,593,59,592,56,593,6,588,44,588,51,588,48,588,74,588,58,588,68,588,35,588,15,588,30,588
UT,0,49,9,1,48,9,0,57,5827,58,3652,58,318,57,45,58,1,57,4,57,0,57,427,58,137,57,139,58,309,57,300,58,9,57,0,57,634,58,0.626737600823752,58,3652,5827,0.088530066815145,57,318,3592,0.055313967646547,57,318,5749,0.222402597402597,57,137,616,0.673501577287066,58,427,634,2021/07/19,,0,58,2,58,12,58,5,58,10,58,11,58,2,58,3,58,0,58,0,57,1,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,2,57
VA,16,67,20,17,66,20,20,100,17868,103,13181,103,408,100,39,103,93,100,2,100,13,100,1329,103,91,100,76,103,399,100,292,103,9,100,4,100,1910,103,0.737687486008507,103,13181,17868,0.03129314312011,100,408,13038,0.023175234308435,100,408,17605,0.049136069114471,100,91,1852,0.695811518324607,103,1329,1910,2021/07/19,,0,103,3,103,6,103,4,103,2,103,12,103,7,103,5,103,0,103,0,100,4,100,11,100,8,100,6,100,22,100,26,100,16,100,0,100,3,100
VI,2,0,0,2,0,0,0,2,168,2,108,2,17,2,4,2,0,2,0,2,0,2,10,2,3,2,3,2,17,2,17,2,0,2,0,2,20,2,0.642857142857143,2,108,168,0.157407407407407,2,17,108,0.101190476190476,2,17,168,0.15,2,3,20,0.5,2,10,20,2021/07/19,,0,2,0,1,0,1,1,1,0,1,0,1,0,1,0,1,3,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2
VT,1,15,1,1,15,1,0,16,1261,17,891,17,1,16,2,17,2,16,0,16,0,16,75,17,1,16,1,17,1,16,3,17,0,16,0,16,105,17,0.706582077716098,17,891,1261,0.001162790697674,16,1,860,0.000817661488144,16,1,1223,0.010309278350515,16,1,97,0.714285714285714,17,75,105,2021/07/19,,0,17,0,17,0,17,0,17,0,17,1,17,1,17,0,17,0,17,0,16,0,16,0,16,0,16,0,16,0,16,1,16,1,16,0,16,0,16
WA,12,90,2,11,91,2,4,102,13373,103,10167,103,573,102,60,104,127,102,1,102,6,102,983,103,142,102,114,104,563,102,340,104,10,102,2,102,1292,103,0.760263216929634,103,10167,13373,0.056963912913809,101,573,10059,0.043291024478694,101,573,13236,0.11216429699842,101,142,1266,0.760835913312694,103,983,1292,2021/07/19,,0,104,8,104,7,104,7,104,4,104,14,104,8,104,12,104,0,104,1,102,14,102,15,102,8,102,16,102,18,102,25,102,11,102,19,102,3,102
WI,7,119,24,13,113,24,1,147,13087,150,8641,150,172,147,48,150,40,147,2,147,5,147,810,150,41,147,39,150,163,147,147,150,9,147,2,147,1526,150,0.660273553908459,150,8641,13087,0.020323762259246,147,172,8463,0.013408169628937,147,172,12828,0.027815468113976,147,41,1474,0.530799475753604,150,810,1526,2021/07/19,,0,150,1,148,5,148,2,148,11,148,9,148,7,148,6,148,7,150,0,147,2,145,3,145,3,145,6,145,9,145,8,145,9,145,0,147,0,147
WV,11,48,4,13,46,4,2,59,6407,63,4832,63,116,59,12,63,68,59,0,59,2,59,543,63,40,59,40,63,112,59,102,63,4,59,2,59,667,63,0.754175120961448,63,4832,6407,0.02446741193841,59,116,4741,0.018688577412599,59,116,6207,0.064205457463884,59,40,623,0.814092953523238,63,543,667,2021/07/19,,0,63,2,63,0,63,1,63,3,63,2,63,2,63,2,63,0,63,0,59,7,59,8,59,7,59,17,59,11,59,11,59,7,59,0,59,1,59
AK,0,22,2,0,22,2,1,24,1668,24,1147,24,90,24,15,24,1,24,1,24,0,24,95,24,22,24,22,24,89,24,88,24,1,24,1,24,132,24,0.687649880095923,24,1147,1668,0.07846556233653,24,90,1147,0.053956834532374,24,90,1668,0.166666666666667,24,22,132,0.71969696969697,24,95,132,2021/07/19,,0,24,1,24,1,24,2,24,1,24,5,24,3,24,2,24,0,24,0,24,0,24,0,24,1,24,0,24,0,24,0,24,0,24,0,24,0,24
AL,25,75,17,28,72,17,22,113,15435,117,11771,117,819,113,180,115,81,113,11,113,15,113,1438,117,223,113,221,115,788,113,726,115,31,113,21,113,1679,117,0.76261742792355,117,11771,15435,0.071835803876853,113,819,11401,0.054592720970537,113,819,15002,0.135892748324193,113,223,1641,0.85646217986897,117,1438,1679,2021/07/19,,0,115,10,115,21,115,21,115,30,115,32,115,46,115,20,115,0,115,1,113,4,113,15,113,11,113,10,113,15,113,17,113,8,113,0,113,5,113
AR,19,86,2,20,85,2,5,105,9037,107,6769,107,847,105,150,107,72,105,3,105,17,105,735,107,273,105,278,107,829,105,787,107,18,105,10,105,1010,107,0.749031758326878,107,6769,9037,0.12551867219917,105,847,6748,0.094132029339853,105,847,8998,0.273547094188377,105,273,998,0.727722772277228,107,735,1010,2021/07/19,,3,107,18,107,9,107,10,107,27,107,27,107,28,107,15,107,13,107,2,105,2,105,3,105,8,105,14,105,13,105,12,105,14,105,4,105,8,105
AZ,25,91,3,27,89,3,5,116,17042,119,12076,119,888,116,104,119,108,116,2,116,2,116,1172,119,253,116,191,119,866,116,650,119,22,116,10,116,2253,119,0.708602276728084,119,12076,17042,0.074785245073269,116,888,11874,0.053008595988539,116,888,16752,0.11563071297989,116,253,2188,0.520195295162006,119,1172,2253,2021/07/19,,0,119,6,119,11,119,13,119,23,119,17,119,16,119,17,119,1,119,1,116,14,116,11,116,13,116,10,116,21,116,27,116,11,116,0,116,5,116
CA,65,314,35,85,293,36,34,406,64381,414,50428,414,3048,405,438,414,412,406,14,405,14,405,5062,413,615,405,594,413,2981,405,2690,413,67,405,49,405,6918,413,0.783274568583899,414,50428,64381,0.061215882388383,405,3048,49791,0.047955442974244,405,3048,63559,0.091178650852483,405,615,6745,0.731714368314542,413,5062,6918,2021/07/19,,1,413,47,413,71,413,68,413,103,413,63,413,47,413,37,413,1,413,7,405,24,405,56,405,43,405,62,405,87,405,83,405,49,405,1,405,28,405
CO,7,79,20,6,80,20,5,104,11671,106,8096,106,407,104,61,106,54,104,5,104,12,104,891,106,105,104,102,106,322,104,272,106,85,104,6,104,1346,106,0.69368520263902,106,8096,11671,0.050849575212394,104,407,8004,0.03518326417704,104,407,11568,0.079726651480638,104,105,1317,0.661961367013373,106,891,1346,2021/07/19,,0,106,5,106,7,105,7,105,12,105,16,106,9,105,5,105,0,106,2,104,7,103,7,103,6,103,8,103,9,104,11,103,4,103,0,104,4,104
CT,0,35,4,0,35,4,5,38,8171,39,6542,39,128,38,24,39,29,38,1,38,0,38,560,39,28,38,24,39,126,38,91,39,2,38,1,38,1052,39,0.800636397013829,39,6542,8171,0.019777503090235,38,128,6472,0.015835704565137,38,128,8083,0.027184466019417,38,28,1030,0.532319391634981,39,560,1052,2021/07/19,,1,39,6,39,2,39,3,39,2,39,3,39,4,39,3,39,0,39,0,38,0,38,0,38,1,38,2,38,7,38,6,38,13,38,0,38,0,38
DC,0,13,1,0,13,1,0,12,3463,14,2685,14,51,13,5,14,40,13,0,13,1,13,260,14,10,12,6,13,48,13,27,14,3,13,1,13,347,14,0.775339301183945,14,2685,3463,0.019585253456221,13,51,2604,0.015255758300927,13,51,3343,0.03003003003003,12,10,333,0.749279538904899,14,260,347,2021/07/19,,0,14,0,14,3,14,1,14,1,14,0,14,0,14,0,14,0,14,0,13,2,13,14,13,2,13,5,13,8,13,4,13,5,13,0,13,0,12
DE,1,13,1,1,13,1,1,14,3328,15,2514,15,44,14,1,15,32,14,0,14,0,14,155,15,6,14,6,15,43,14,27,15,1,14,1,14,187,15,0.755408653846154,15,2514,3328,0.017628205128205,14,44,2496,0.01333737496211,14,44,3299,0.032967032967033,14,6,182,0.828877005347594,15,155,187,2021/07/19,,0,15,1,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,4,14,2,14,3,14,4,14,2,14,9,14,8,14,0,14,0,14
FL,7,199,59,7,199,59,91,259,58790,265,48624,265,6750,259,1177,265,247,259,28,259,18,259,5488,265,1402,259,1383,265,6664,259,6357,265,86,259,81,259,6431,265,0.827079435278109,265,48624,58790,0.141110065851364,259,6750,47835,0.116757766553657,259,6750,57812,0.224715499278731,259,1402,6239,0.853366505986627,265,5488,6431,2021/07/19,,8,265,68,264,132,264,171,265,222,265,224,265,172,264,144,264,36,265,5,259,12,259,27,259,34,259,50,259,55,259,36,259,28,259,0,259,34,259
GA,24,126,18,28,121,19,6,165,22620,168,18474,168,1394,165,362,168,109,165,0,165,19,165,2113,168,329,165,297,168,1376,165,1143,168,18,165,4,165,2605,168,0.816710875331565,168,18474,22620,0.07635009310987,165,1394,18258,0.062416047282171,165,1394,22334,0.128767123287671,165,329,2555,0.811132437619962,168,2113,2605,2021/07/19,,1,168,41,168,21,168,49,168,48,168,53,168,33,168,16,168,12,168,0,165,8,165,10,165,11,165,17,165,15,165,18,165,3,165,27,165,4,165
HI,1,21,4,2,20,4,2,26,2627,26,1894,26,80,26,8,26,7,26,0,26,1,26,157,26,21,26,19,26,76,26,70,26,4,26,1,26,219,26,0.720974495622383,26,1894,2627,0.042238648363252,26,80,1894,0.030452988199467,26,80,2627,0.095890410958904,26,21,219,0.71689497716895,26,157,219,2021/07/19,,0,26,2,26,1,26,2,26,0,26,0,26,1,26,2,26,0,26,0,26,1,26,0,26,0,26,0,26,2,26,1,26,2,26,1,26,0,26
IA,1,32,94,2,31,94,0,125,8115,127,5208,127,226,125,23,127,47,125,1,125,3,125,448,127,55,125,47,127,218,125,123,127,8,125,2,125,663,127,0.64177449168207,127,5208,8115,0.044003115264798,125,226,5136,0.028186580194562,125,226,8018,0.085403726708075,125,55,644,0.675716440422323,127,448,663,2021/07/19,,0,127,1,127,1,127,4,127,4,127,7,127,2,127,4,127,0,127,1,125,7,125,6,125,7,125,7,125,10,125,6,125,3,125,0,125,1,125
ID,4,39,10,4,39,10,0,52,3766,53,2370,53,134,52,19,53,2,52,0,52,1,52,225,53,43,52,42,53,132,52,124,53,2,52,1,52,304,53,0.62931492299522,53,2370,3766,0.05746140651801,52,134,2332,0.035963499731616,52,134,3726,0.146258503401361,52,43,294,0.740131578947368,53,225,304,2021/07/19,,0,53,0,52,1,52,1,52,2,52,7,52,4,52,4,52,0,53,0,52,0,51,0,51,0,51,0,51,2,51,0,51,0,51,0,52,0,52
IL,11,164,27,12,163,27,64,197,31291,202,22677,202,715,197,97,202,242,197,1,197,27,197,2073,202,140,197,120,202,692,197,535,202,23,197,7,197,3348,202,0.724713176312678,202,22677,31291,0.031861325252885,197,715,22441,0.023108496816522,197,715,30941,0.042630937880633,197,140,3284,0.619175627240143,202,2073,3348,2021/07/19,,2,202,8,201,13,201,9,201,18,201,15,201,19,201,10,200,3,202,5,197,20,196,23,196,23,196,35,196,56,196,40,196,38,196,2,197,2,197
IN,14,149,3,14,149,3,0,164,18918,166,12524,166,592,164,67,166,73,164,5,164,7,164,1538,166,167,164,148,166,567,164,396,166,25,164,8,164,2248,166,0.662015012157733,166,12524,18918,0.047707309211056,164,592,12409,0.031529612270984,164,592,18776,0.075909090909091,164,167,2200,0.684163701067616,166,1538,2248,2021/07/19,,1,166,3,166,6,166,9,166,10,166,18,166,12,166,7,166,1,166,0,164,7,164,11,164,9,164,7,164,17,164,12,164,9,164,1,164,4,164
KS,12,128,8,13,127,8,0,145,8991,148,5637,148,375,145,53,148,57,145,1,145,1,145,642,148,122,145,116,148,373,145,342,148,2,145,1,145,868,148,0.62696029362696,148,5637,8991,0.067252510760402,145,375,5576,0.042073375967688,145,375,8913,0.144037780401417,145,122,847,0.73963133640553,148,642,868,2021/07/19,,0,148,2,145,5,145,9,145,11,145,8,145,8,145,10,145,0,148,0,145,2,142,5,142,5,141,10,142,15,142,9,142,11,142,0,145,6,145
KY,1,24,93,4,112,2,6,116,14354,118,8964,118,477,116,348,118,77,116,0,116,4,116,1165,118,132,116,130,118,470,116,382,118,7,116,2,116,1837,118,0.6244949143096,118,8964,14354,0.05392267691612,116,477,8846,0.033596281166361,116,477,14198,0.073701842546064,116,132,1791,0.634186173108329,118,1165,1837,2021/07/19,,1,118,4,118,7,118,6,118,18,118,37,118,21,118,11,118,16,118,1,116,4,116,10,116,10,116,8,116,16,116,15,116,20,116,1,116,17,116
LA,39,179,6,40,178,6,4,218,14291,224,9934,224,995,224,202,219,9,219,4,219,2,219,1301,224,266,224,260,224,978,224,1089,224,17,224,14,224,1854,224,0.695122804562312,224,9934,14291,0.100161063015905,224,995,9934,0.069624239031558,224,995,14291,0.143473570658037,224,266,1854,0.701725997842503,224,1301,1854,2021/07/19,,4,219,22,219,21,219,25,219,38,219,43,219,26,219,27,219,0,219,0,219,0,219,1,219,4,219,0,219,1,219,1,219,2,219,0,219,7,218
MA,11,89,1,10,90,1,3,100,19277,101,16398,101,161,100,25,101,67,100,1,100,2,100,998,101,33,100,30,101,158,100,106,101,3,100,1,100,1371,101,0.850651034912071,101,16398,19277,0.009894905045787,100,161,16271,0.008410384997127,100,161,19143,0.02453531598513,100,33,1345,0.727935813274982,101,998,1371,2021/07/19,,1,101,3,101,0,101,1,101,3,101,7,101,4,101,6,101,0,101,1,100,5,100,8,100,7,100,6,100,13,100,19,100,8,100,0,100,4,100
