state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,16,178,28087,181,21204,202,1007,203,2564,172,182,177,3351,159,0.6835546694200164,181,19199,28087,0.046076212035465004,202,977,21204,0.03236372699113469,181,909,28087,0.048045359594151,152,161,3351,0.7215756490599821,154,2418,3351,2020-09-04
PR,12,68,8947,67,5016,68,525,68,452,67,78,65,672,67,0.5407399128199396,67,4838,8947,0.10466507177033493,68,525,5016,0.057784732312506984,67,517,8947,0.11550151975683891,64,76,658,0.6731634182908546,66,449,667,2020-09-04
RI,2,13,1885,13,1803,13,72,13,112,13,5,13,146,13,0.956498673740053,13,1803,1885,0.03993344425956739,13,72,1803,0.03819628647214854,13,72,1885,0.03424657534246575,13,5,146,0.7671232876712328,13,112,146,2020-09-04
SC,9,74,10155,81,7563,81,780,81,919,76,214,77,1313,75,0.7447562776957164,81,7563,10155,0.10313367711225704,81,780,7563,0.07680945347119646,81,780,10155,0.16222391469916222,75,213,1313,0.6968773800456969,75,915,1313,2020-09-04
SD,1,48,2220,48,1290,50,73,51,67,36,22,33,93,28,0.5752252252252252,48,1277,2220,0.056589147286821705,50,73,1290,0.03288288288288288,48,73,2220,0.1839080459770115,24,16,87,0.5301204819277109,27,44,83,2020-09-04
TN,0,22,19545,123,11496,119,60,23,1514,114,4,19,2359,119,0.6151211942854086,119,11496,18689,0.047115384615384615,22,49,1040,0.03540462427745665,22,49,1384,0.2222222222222222,18,4,18,0.6710992907801419,114,1514,2256,2020-09-04
TX,110,534,64557,541,44811,549,4908,552,4916,501,1526,509,6230,473,0.6833027465862079,539,43935,64298,0.10909375489121928,548,4879,44723,0.07459236390151575,540,4808,64457,0.21790513194107172,463,1346,6177,0.757717041800643,472,4713,6220,2020-09-04
UT,3,53,5231,52,2800,53,162,53,318,46,39,44,543,42,0.5224622443127509,52,2733,5231,0.05785714285714286,53,162,2800,0.030586885872682087,52,160,5231,0.0718232044198895,41,39,543,0.572744014732965,41,311,543,2020-09-04
VA,14,86,16486,87,10135,88,1112,95,768,78,182,80,1297,76,0.6114885357272838,87,10081,16486,0.10587533552042946,87,1065,10059,0.06228627259404006,86,1020,16376,0.13107170393215112,76,170,1297,0.5875096376252892,76,762,1297,2020-09-04
VI,0,1,56,1,44,1,2,1,6,1,2,1,12,1,0.7857142857142857,1,44,56,0.045454545454545456,1,2,44,0.03571428571428571,1,2,56,0.16666666666666666,1,2,12,0.5,1,6,12,2020-09-04
VT,0,16,648,15,349,15,1,17,29,13,0,14,58,13,0.5385802469135802,15,349,648,0.0,15,0,349,0.0,15,0,648,0.0,12,0,58,0.5,13,29,58,2020-09-04
WA,5,90,10054,79,8150,93,360,93,776,76,87,77,910,63,0.5778794509647901,79,5810,10054,0.04455997029335314,92,360,8079,0.026845637583892617,78,268,9983,0.06373626373626373,58,58,910,0.6344444444444445,58,571,900,2020-09-04
WI,1,134,12319,131,6858,132,524,135,776,128,123,130,1497,128,0.5559704521470898,131,6849,12319,0.07509477981918927,132,515,6858,0.04164299050247585,131,513,12319,0.08216432865731463,128,123,1497,0.5191146881287726,127,774,1491,2020-09-04
AK,0,16,1084,17,818,23,49,23,51,13,17,20,46,8,0.4547970479704797,17,493,1084,0.05990220048899755,23,49,818,0.035977859778597784,17,39,1084,0.11363636363636363,6,5,44,0.4782608695652174,8,22,46,2020-09-04
AL,11,111,14772,109,9623,109,1057,111,1174,109,345,111,1446,109,0.6514351475764961,109,9623,14772,0.10915162266513617,108,1046,9583,0.07102118413905487,108,1046,14728,0.23651452282157676,108,342,1446,0.8118948824343015,109,1174,1446,2020-09-04
AR,1,88,8475,89,5324,90,497,90,625,79,228,75,925,72,0.6272566371681416,89,5316,8475,0.09335086401202104,90,497,5324,0.05864306784660767,89,497,8475,0.24,69,222,925,0.6605405405405406,72,611,925,2020-09-04
AZ,1,78,11836,79,8787,87,655,88,800,64,167,70,1362,56,0.6256336600202771,78,7405,11836,0.07431432798452259,87,653,8787,0.048918553565393715,79,579,11836,0.08590308370044053,54,117,1362,0.4919236417033774,56,670,1362,2020-09-04
CA,30,380,61792,381,42199,382,4328,381,4936,364,1225,366,7082,363,0.6808001035732781,381,42068,61792,0.1027955252594827,381,4328,42103,0.07015610056572272,380,4328,61691,0.17297373623270262,361,1225,7082,0.6969782547303022,362,4936,7082,2020-09-04
CO,7,82,9401,83,5688,85,203,85,595,69,57,68,1055,63,0.6028082118923519,83,5667,9401,0.03568917018284107,85,203,5688,0.02138070418040634,83,201,9401,0.05454545454545454,60,57,1045,0.5824284304047384,61,590,1013,2020-09-04
CT,5,29,8046,29,5852,29,194,30,506,27,23,28,1040,28,0.7273179219487944,29,5852,8046,0.03315105946684894,29,194,5852,0.02411135968182948,29,194,8046,0.022115384615384617,27,23,1040,0.48653846153846153,27,506,1040,2020-09-04
DC,7,12,3155,13,2325,13,126,13,235,11,23,11,341,11,0.7369255150554676,13,2325,3155,0.05419354838709677,13,126,2325,0.03993660855784469,13,126,3155,0.06744868035190615,11,23,341,0.6891495601173021,11,235,341,2020-09-04
DE,0,11,2474,11,1794,12,96,12,100,7,12,7,142,6,0.6887631366208569,11,1704,2474,0.05351170568561873,12,96,1794,0.038803556992724336,11,96,2474,0.08450704225352113,6,12,142,0.704225352112676,6,100,142,2020-09-04
FL,56,245,74054,253,40773,253,4356,255,4191,239,953,250,5589,239,0.5610288731323686,252,40591,72351,0.10411301596644838,253,4245,40773,0.058727415129500096,253,4349,74054,0.16184659601221485,237,901,5567,0.7498658078368223,239,4191,5589,2020-09-04
GA,17,122,17266,129,12985,129,2459,139,1466,99,591,109,1842,96,0.749635079114848,127,12839,17127,0.17358490566037735,129,2254,12985,0.13077725008687593,129,2258,17266,0.2856338028169014,91,507,1775,0.7794759825327511,93,1428,1832,2020-09-04
HI,1,17,1757,16,1279,18,245,22,99,15,42,15,96,13,0.6687535571997724,16,1175,1757,0.15480844409695074,18,198,1279,0.09675583380762663,16,170,1757,0.3125,13,30,96,0.59375,13,57,96,2020-09-04
IA,0,122,8247,122,4486,122,371,122,419,122,93,121,699,121,0.5439553777131078,122,4486,8247,0.08270173874275524,122,371,4486,0.04498605553534619,122,371,8247,0.13304721030042918,120,93,699,0.5994277539341917,121,419,699,2020-09-04
MS,3,90,7674,95,4897,99,657,100,532,69,194,70,547,65,0.6262705238467553,95,4806,7674,0.13416377373902388,99,657,4897,0.0856137607505864,95,657,7674,0.33455882352941174,63,182,544,0.9396709323583181,65,514,547,2020-09-04
