state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PR,0,8,57,0,8,57,0,64,9411,65,6083,65,83,64,5,65,20,64,0,64,4,64,468,65,10,64,7,65,75,64,45,65,8,64,1,64,666,65,0.646371267665498,65,6083,9411,0.013935527199463,64,83,5956,0.008988520684427,64,83,9234,0.015748031496063,64,10,635,0.702702702702703,65,468,666,2021/11/08,,0,65,0,65,0,65,0,65,0,65,2,65,3,65,0,65,0,65,0,64,0,64,2,64,2,64,3,64,4,64,5,64,4,64,0,64,2,64,0,32,1080,0,0,16,3,64,8,64,0,64,0,64,30,1,64,64
RI,6,7,2,7,6,2,0,14,2431,15,2157,15,94,14,12,15,5,14,0,14,0,14,135,15,16,14,13,15,93,14,86,15,1,14,0,14,149,15,0.887289181406828,15,2157,2431,0.044613194114855,14,94,2107,0.039595619208088,14,94,2374,0.113475177304965,14,16,141,0.906040268456376,15,135,149,2021/11/08,,0,15,2,15,2,15,0,15,1,15,2,15,2,15,3,15,0,15,1,14,0,14,0,14,0,14,3,14,0,14,1,14,0,14,0,14,3,14,4,0,0,0,0,3,0,5,0,5,0,5,0,5,0,0,5,5
SC,29,54,5,29,54,5,3,86,11684,88,9173,88,467,86,46,88,44,86,4,86,3,86,996,88,128,86,127,88,451,86,416,88,16,86,11,86,1332,88,0.785090722355358,88,9173,11684,0.051375137513751,86,467,9090,0.040541713690425,86,467,11519,0.099147947327653,86,128,1291,0.747747747747748,88,996,1332,2021/11/08,,1,88,5,88,6,88,4,88,10,88,4,88,6,88,9,88,1,83,0,86,2,86,4,86,1,86,10,86,7,86,12,86,7,86,1,81,13,86,4645,2477,2345,286,0,190,2,86,4,86,0,86,0,86,13,1,86,86
SD,2,60,3,2,60,3,38,62,2792,65,1883,65,243,62,40,65,15,62,0,62,1,62,161,65,63,62,66,65,242,62,226,65,1,62,1,62,248,65,0.674426934097421,65,1883,2792,0.131635969664139,62,243,1846,0.089174311926606,62,243,2725,0.265822784810127,62,63,237,0.649193548387097,65,161,248,2021/11/08,,0,65,3,65,1,65,2,65,5,65,10,65,9,65,10,65,0,65,1,62,0,62,0,62,0,62,3,62,3,62,4,62,0,62,4,62,2,62,735,109,553,264,0,245,0,62,0,62,0,62,0,62,1,0,62,62
TN,26,105,9,39,92,9,7,137,18295,140,13386,140,788,137,74,140,75,137,0,137,2,137,1494,140,216,137,209,140,782,137,691,140,6,137,5,137,2069,140,0.731675321125991,140,13386,18295,0.059964995053649,137,788,13141,0.043855743544078,137,788,17968,0.109311740890688,137,216,1976,0.72208796520058,140,1494,2069,2021/11/08,,0,140,3,140,2,140,9,140,9,140,15,140,17,140,6,140,13,140,0,137,5,137,4,137,5,137,16,137,12,137,14,137,5,137,14,137,16,137,332,86,341,303,0,122,3,81,1,81,0,137,0,137,18,3,81,84
TX,14,104,479,16,102,479,71,592,68893,597,51954,597,3342,592,342,597,353,592,9,592,80,592,5860,597,988,592,939,597,3231,592,2711,597,111,592,64,592,6869,597,0.754125963450568,597,51954,68893,0.065066292856726,592,3342,51363,0.049043922339785,592,3342,68143,0.147286821705426,592,988,6708,0.853108167127675,597,5860,6869,2021/11/08,,5,597,29,596,35,596,42,596,52,596,65,595,57,595,43,596,14,597,2,592,31,591,42,591,21,591,64,591,60,590,65,590,46,591,22,592,32,592,1453,315,564,141,0,50,3,152,11,152,0,152,0,152,91,4,152,152
UT,1,47,9,1,47,9,4,56,5876,57,3867,57,550,56,84,57,2,56,7,56,2,56,484,57,203,56,205,57,530,56,509,57,20,56,0,56,628,57,0.658100748808713,57,3867,5876,0.144470711846598,56,550,3807,0.094827586206897,56,550,5800,0.328478964401294,56,203,618,0.770700636942675,57,484,628,2021/11/08,,1,57,10,57,13,57,11,57,13,57,16,57,12,57,7,56,1,57,0,56,0,56,0,56,2,56,0,56,0,56,0,56,0,56,0,56,8,56,477,268,89,170,0,39,0,55,1,55,0,55,0,55,1,0,55,55
VA,20,66,20,22,64,20,27,103,17712,106,13546,106,900,103,86,106,148,103,2,103,8,103,1376,106,196,103,191,106,884,103,765,106,16,103,9,103,1893,106,0.764792231255646,106,13546,17712,0.067224380041828,103,900,13388,0.051472690877895,103,900,17485,0.106175514626219,103,196,1846,0.72688853671421,106,1376,1893,2021/11/08,,0,106,2,106,8,106,6,106,20,106,8,106,23,106,13,106,6,106,0,103,12,103,13,103,10,103,21,103,24,103,35,103,33,103,0,103,16,103,2790,3318,875,515,10,35,3,98,0,98,0,98,0,98,34,7,98,98
VI,2,0,0,2,0,0,0,2,168,2,102,2,0,2,0,2,0,2,0,2,0,2,7,2,0,2,0,2,0,2,0,2,0,2,0,2,20,2,0.607142857142857,2,102,168,0,2,0,102,0,2,0,168,0,2,0,20,0.35,2,7,20,2021/11/08,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,180,17,96,17,0,3,0,2,0,2,0,2,0,2,0,0,2,2
VT,9,7,1,8,8,1,0,16,1239,17,960,17,54,16,10,17,4,16,0,16,1,16,81,17,13,16,14,17,54,16,57,17,0,16,0,16,100,17,0.774818401937046,17,960,1239,0.057569296375267,16,54,938,0.044701986754967,16,54,1208,0.138297872340426,16,13,94,0.81,17,81,100,2021/11/08,,0,17,0,17,2,17,0,17,0,17,7,17,1,17,0,17,0,17,0,16,1,16,0,16,0,16,0,16,2,16,0,16,1,16,0,16,0,16,,,,,,,0,16,0,16,0,16,0,16,0,0,16,16
