state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,28273,179,18111,169,1087,205,2528,161,206,175,3055,148,0.7035405383558322,159,17407,24742,0.051736513720943074,169,937,18111,0.0351572171329537,179,994,28273,0.05608396195473926,140,171,3049,0.7845541929068611,144,2367,3017,2020-08-18
PR,8616,65,5430,67,606,68,473,66,68,64,649,64,0.5926183844011143,64,5106,8616,0.11160220994475138,67,606,5430,0.06894150417827298,65,594,8616,0.1015625,62,65,640,0.699537750385208,64,454,649,2020-08-18
RI,1749,13,1905,13,92,13,130,13,9,13,151,13,1.0891938250428816,13,1905,1749,0.048293963254593175,13,92,1905,0.052601486563750716,13,92,1749,0.059602649006622516,13,9,151,0.8609271523178808,13,130,151,2020-08-18
SC,10296,81,8381,81,1039,81,979,75,249,76,1319,73,0.814005439005439,81,8381,10296,0.12397088652905382,81,1039,8381,0.10091297591297592,81,1039,10296,0.18119787717968158,73,239,1319,0.7285822592873389,73,961,1319,2020-08-18
SD,2235,49,904,45,74,52,93,37,18,32,93,27,0.5737282678686413,43,891,1553,0.04535398230088496,45,41,904,0.033109619686800894,49,74,2235,0.08602150537634409,23,8,93,0.6559139784946236,27,61,93,2020-08-18
TN,17989,113,12452,116,1194,116,1566,108,345,112,2001,113,0.6890731241798879,105,11553,16766,0.09338205440519691,111,1150,12315,0.06397247492418941,105,1097,17148,0.16865594187856772,105,325,1927,0.8076923076923077,107,1554,1924,2020-08-18
TX,64200,535,43238,521,6813,548,5414,487,2073,496,6523,458,0.7118465291054124,517,43192,60676,0.1444100097136778,521,6244,43238,0.10403426791277258,535,6679,64200,0.27497680173213734,447,1778,6466,0.7876743829526291,457,5138,6523,2020-08-18
UT,5410,52,3079,48,159,53,343,44,55,43,551,40,0.5811627029067573,48,3079,5298,0.050341019811627155,48,155,3079,0.028835489833641405,52,156,5410,0.09437386569872959,39,52,551,0.5934664246823956,39,327,551,2020-08-18
VA,15406,78,8049,69,1155,85,846,71,208,72,1415,73,0.5943254978290163,64,7939,13358,0.1120636103863834,69,902,8049,0.07179021160586785,78,1106,15406,0.14187643020594964,67,186,1311,0.6373374139250191,68,833,1307,2020-08-18
VI,188,2,103,2,14,2,8,2,3,2,20,2,0.5478723404255319,2,103,188,0.13592233009708737,2,14,103,0.07446808510638298,2,14,188,0.15,2,3,20,0.4,2,8,20,2020-08-18
VT,626,12,196,7,7,15,25,8,5,10,48,7,0.5283018867924528,7,196,371,0.015306122448979591,7,3,196,0.004792332268370607,12,3,626,0.08333333333333333,7,4,48,0.5208333333333334,7,25,48,2020-08-18
WA,9841,81,5985,77,335,82,603,67,97,68,900,66,0.6314760508308895,76,5814,9207,0.051481795088907704,76,304,5905,0.03432025407232865,80,335,9761,0.09222222222222222,61,83,900,0.6366666666666667,62,573,900,2020-08-18
WI,12185,132,7282,128,618,135,812,121,141,128,1500,126,0.6080784181172891,127,7196,11834,0.08239494644328481,128,600,7282,0.04833812064013131,132,589,12185,0.094,126,141,1500,0.5588437715072264,121,812,1453,2020-08-18
AK,1280,23,775,23,42,28,59,14,10,21,46,9,0.37037037037037035,18,410,1107,0.04258064516129032,23,33,775,0.01953125,23,25,1280,0.06818181818181818,7,3,44,0.5869565217391305,9,27,46,2020-08-18
AL,13237,109,8521,95,1442,111,1200,93,424,96,1287,83,0.7743547800799709,95,8521,11004,0.13941459974138945,94,1186,8507,0.10716176359373818,108,1417,13223,0.2705238467552776,79,346,1279,0.8834498834498834,83,1137,1287,2020-08-18
AR,8329,86,5187,82,726,89,707,74,324,73,928,70,0.6927404232520761,80,5172,7466,0.11509543088490456,82,597,5187,0.08716532596950415,86,726,8329,0.27370689655172414,67,254,928,0.7494600431965442,69,694,926,2020-08-18
AZ,11936,78,7407,68,1147,89,874,63,304,70,1384,54,0.6517811833959201,62,6422,9853,0.12866207641420277,68,953,7407,0.08160187667560322,78,974,11936,0.16618497109826588,52,230,1384,0.5476369092273068,53,730,1333,2020-08-18
CA,62988,381,45262,371,6171,396,5375,359,1667,365,7221,362,0.7267501605651895,371,45262,62280,0.1302858910344218,371,5897,45262,0.0943671810503588,381,5944,62988,0.22988505747126436,359,1660,7221,0.7485029940119761,357,5375,7181,2020-08-18
CO,9059,77,5483,74,363,94,558,65,116,78,933,57,0.6386613620407208,71,5458,8546,0.056538391391573954,74,310,5483,0.03488243735511646,77,316,9059,0.10075839653304441,54,93,923,0.6109865470852018,56,545,892,2020-08-18
CT,8073,30,5841,29,180,31,491,28,25,29,1048,29,0.7403041825095057,29,5841,7890,0.030816640986132512,29,180,5841,0.022296544035674472,30,180,8073,0.02385496183206107,28,25,1048,0.4685114503816794,28,491,1048,2020-08-18
DC,3318,13,2664,13,131,13,239,11,31,11,344,11,0.8028933092224232,13,2664,3318,0.049174174174174176,13,131,2664,0.03948161543098252,13,131,3318,0.09011627906976744,11,31,344,0.6947674418604651,11,239,344,2020-08-18
DE,2460,11,1546,8,78,12,93,7,11,7,139,6,0.7197231833910035,7,1456,2023,0.045278137128072445,8,70,1546,0.03170731707317073,11,78,2460,0.07913669064748201,6,11,139,0.6690647482014388,6,93,139,2020-08-18
FL,75238,258,41641,245,6410,261,4608,244,1449,256,5726,244,0.5912059516710679,245,41641,70434,0.14149516101918783,245,5892,41641,0.08506339881442888,258,6400,75238,0.2373772791023843,242,1354,5704,0.8047502619629759,244,4608,5726,2020-08-18
GA,14255,118,8260,95,3379,143,1125,86,630,92,1228,79,0.8035801147971593,95,8260,10279,0.2116222760290557,95,1748,8260,0.173482988425114,118,2473,14255,0.39326765188834156,73,479,1218,0.8859934853420195,79,1088,1228,2020-08-18
HI,1606,14,1765,24,245,21,85,13,33,13,80,11,0.7347447073474471,14,1180,1606,0.1595238095238095,16,201,1260,0.11519302615193026,14,185,1606,0.2125,11,17,80,0.5625,11,45,80,2020-08-18
IA,8227,119,5140,119,350,119,444,119,93,118,683,118,0.6247720918925489,119,5140,8227,0.06809338521400778,119,350,5140,0.0425428467242008,119,350,8227,0.13616398243045388,117,93,683,0.6500732064421669,118,444,683,2020-08-18
MS,7723,93,4452,89,902,97,553,63,250,68,565,60,0.6563292082898464,86,4402,6707,0.16576819407008087,89,738,4452,0.1167939919720316,93,902,7723,0.41238938053097346,60,233,565,0.9469026548672567,60,535,565,2020-08-18
MT,3167,67,1860,50,68,43,96,25,20,45,228,47,0.7579462102689487,50,1860,2454,0.047829286239882265,33,65,1359,0.03505154639175258,41,68,1940,0.11560693641618497,38,20,173,0.6333333333333333,23,95,150,2020-08-18
NC,20140,107,15869,102,1357,118,1341,99,286,110,1807,97,0.8080479363603492,101,15643,19359,0.07309849391896149,102,1160,15869,0.06341390629662787,106,1275,20106,0.14499169894853348,97,262,1807,0.7278797996661102,96,1308,1797,2020-08-18
ND,2512,47,1774,48,91,48,67,44,19,48,103,42,0.7034235668789809,47,1767,2512,0.05129650507328072,48,91,1774,0.03622611464968153,47,91,2512,0.0970873786407767,42,10,103,0.5048543689320388,42,52,103,2020-08-18
NE,4681,84,2273,74,169,84,326,61,47,55,620,61,0.6354721210423088,73,2268,3569,0.05846153846153846,71,133,2275,0.033276084156290256,81,155,4658,0.07617504051863858,52,47,617,0.5555555555555556,57,325,585,2020-08-18
NH,3273,30,2208,30,42,30,157,27,10,27,275,26,0.6746104491292392,30,2208,3273,0.019021739130434784,30,42,2208,0.012832263978001834,30,42,3273,0.03636363636363636,26,10,275,0.5563636363636364,26,153,275,2020-08-18
NJ,7119,31,4965,30,349,34,288,27,8,29,680,27,0.7430555555555556,29,4922,6624,0.05840886203423968,30,290,4965,0.04129793510324484,31,294,7119,0.011764705882352941,27,8,680,0.4235294117647059,27,288,680,2020-08-18
NM,3220,45,1848,42,92,44,243,40,32,41,342,40,0.6266531027466938,42,1848,2949,0.04350282485875706,41,77,1770,0.02966784908094163,44,92,3101,0.0935672514619883,40,32,342,0.696319018404908,38,227,326,2020-08-18
NV,8539,61,6131,60,948,61,661,58,254,57,848,58,0.7191788856304986,60,6131,8525,0.15462404175501548,60,948,6131,0.111020025764141,61,948,8539,0.29952830188679247,57,254,848,0.7794811320754716,58,661,848,2020-08-18
NY,42548,144,27711,125,1679,159,2740,119,233,125,4747,112,0.7032905029365751,123,27422,38991,0.04514452744397532,125,1251,27711,0.0343846949327818,144,1463,42548,0.04092920353982301,104,185,4520,0.5626204238921002,108,2628,4671,2020-08-18
OH,30914,207,20627,200,1501,208,2709,193,390,190,4134,174,0.687062820598228,200,20627,30022,0.07223541959567557,200,1490,20627,0.04872427449198208,206,1501,30806,0.09484435797665369,169,390,4112,0.6573647173016258,172,2709,4121,2020-08-18
OK,9066,120,5667,117,522,123,716,116,207,120,1124,117,0.6319839411174306,117,5667,8967,0.0779954120345862,117,442,5667,0.04963600264725347,120,450,9066,0.17882562277580072,117,201,1124,0.6672879776328052,115,716,1073,2020-08-18
OR,4263,50,2757,37,184,51,294,36,35,41,480,33,0.7138788192646297,37,2757,3862,0.04461371055495103,37,123,2757,0.04316209242317617,50,184,4263,0.050955414012738856,32,24,471,0.6041666666666666,33,290,480,2020-08-18
ID,3888,46,2027,46,191,48,195,40,44,46,280,41,0.5069731404958677,45,1963,3872,0.09422792303897386,46,191,2027,0.04912551440329218,46,191,3888,0.14642857142857144,41,41,280,0.6836363636363636,37,188,275,2020-08-18
