state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,26,179,6,30,175,6,24,205,29168,211,23171,211,1501,205,126,211,291,205,5,203,37,203,2763,211,368,205,321,211,1431,205,1187,211,70,204,27,204,3630,211,0.794397970378497,211,23171,29168,0.065300617767337,205,1501,22986,0.052136158388329,205,1501,28790,0.104397163120567,205,368,3525,0.761157024793388,211,2763,3630,2021/05/20,,1,207,9,207,14,208,15,206,17,206,22,207,18,206,13,207,18,195,2,200,20,200,23,200,24,200,39,199,60,200,62,200,57,198,5,189
PR,0,13,53,0,13,53,9,65,9046,66,5474,66,234,65,12,66,7,65,4,65,7,65,451,66,46,65,32,66,212,65,175,66,22,65,6,65,672,66,0.605129338934336,66,5474,9046,0.043624161073826,65,234,5364,0.026357287677405,65,234,8878,0.071762870514821,65,46,641,0.671130952380952,66,451,672,2021/05/20,,0,66,3,66,2,66,0,66,3,66,1,66,2,66,1,66,0,66,0,65,1,65,1,65,1,65,0,65,0,65,1,65,2,65,1,65
RI,4,9,1,4,9,1,6,13,2533,14,2183,14,120,13,4,14,0,13,0,13,0,13,125,14,16,13,14,14,117,13,75,14,3,13,3,13,170,14,0.861823924200553,14,2183,2533,0.056100981767181,13,120,2139,0.048701298701299,13,120,2464,0.105960264900662,13,16,151,0.735294117647059,14,125,170,2021/05/20,,1,14,0,14,0,14,1,14,1,14,0,14,0,14,1,14,0,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
SC,18,49,2,18,49,2,1,67,9230,69,6902,69,252,67,24,69,22,67,0,67,3,67,773,69,71,67,56,69,245,67,208,69,7,67,2,67,1187,69,0.747778981581798,69,6902,9230,0.037015276145711,67,252,6808,0.027783902976847,67,252,9070,0.06195462478185,67,71,1146,0.651221566975569,69,773,1187,2021/05/20,,0,69,1,69,1,69,2,69,6,69,6,69,4,69,4,69,0,64,0,67,1,67,2,67,2,67,2,67,4,67,4,67,7,67,0,62
SD,1,59,3,1,59,3,6,60,2585,63,1359,63,37,60,0,63,13,60,0,60,3,60,123,63,18,60,14,63,37,60,33,63,0,60,0,60,233,63,0.525725338491296,63,1359,2585,0.027840481565087,60,37,1329,0.014694201747419,60,37,2518,0.081081081081081,60,18,222,0.527896995708154,63,123,233,2021/05/20,,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,60,0,60,0,60,0,60,0,60,7,60,4,60,2,60,0,60
TN,10,92,40,30,72,40,17,102,20235,142,13063,128,581,102,55,102,40,102,1,102,1,102,1675,139,223,102,198,102,575,102,510,102,6,102,5,102,2387,142,0.682283505693095,128,13063,19146,0.050645048814505,102,581,11472,0.034297520661157,102,581,16940,0.101455868971793,102,223,2198,0.712159863945578,139,1675,2352,2021/05/20,,0,102,2,102,6,102,7,102,9,102,5,102,12,102,8,102,6,102,0,102,5,102,7,102,3,102,5,102,4,102,8,102,1,102,7,102
TX,99,478,13,123,454,13,54,585,66330,590,46151,590,2543,585,232,590,344,585,7,585,36,585,5077,590,733,585,655,590,2478,585,1999,590,65,585,48,585,6901,590,0.695778682345846,590,46151,66330,0.055758984366435,585,2543,45607,0.038784163006345,585,2543,65568,0.108947681331748,585,733,6728,0.735690479640632,590,5077,6901,2021/05/20,,4,590,18,590,26,590,26,590,45,590,46,590,33,590,15,589,19,590,4,584,27,584,36,584,38,584,57,585,69,584,47,584,43,585,23,585
UT,1,51,1,4,48,1,0,52,5492,53,2937,53,136,52,26,53,3,52,1,52,0,52,341,53,53,52,53,53,130,52,125,53,6,52,1,52,631,53,0.534777858703569,53,2937,5492,0.046993780234969,52,136,2894,0.025115420129271,52,136,5415,0.086460032626427,52,53,613,0.54041204437401,53,341,631,2021/05/20,,0,53,5,53,2,53,7,53,5,53,2,53,2,53,3,53,0,53,0,52,0,52,1,52,1,52,0,52,1,52,0,52,0,52,0,52
VA,14,71,9,21,64,9,23,91,17016,94,11537,94,528,91,55,94,110,91,2,91,21,91,1216,94,145,91,132,94,522,91,403,94,6,91,5,91,1926,94,0.678008932769158,94,11537,17016,0.046323916476575,91,528,11398,0.031509220027451,91,528,16757,0.077540106951872,91,145,1870,0.631360332294912,94,1216,1926,2021/05/20,,0,94,6,94,6,94,9,94,5,94,13,94,3,94,13,94,0,94,1,91,10,91,8,91,4,91,12,91,28,91,19,91,26,91,2,91
VI,2,0,0,2,0,0,0,2,168,2,86,2,3,2,0,2,0,2,0,2,0,2,6,2,0,2,0,2,3,2,3,2,0,2,0,2,20,2,0.511904761904762,2,86,168,0.034883720930233,2,3,86,0.017857142857143,2,3,168,0,2,0,20,0.3,2,6,20,2021/05/20,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
