state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2020-12-10,"67,694","67,673","67,715",78.94,78.88,79.01,"85,633","85,523","85,743"
CW,2020-12-11,"67,544","67,522","67,565",78.80,78.73,78.87,"85,604","85,494","85,715"
CW,2020-12-12,"66,690","66,658","66,722",77.84,77.74,77.93,"85,566","85,454","85,677"
CW,2020-12-13,"65,558","65,522","65,594",76.78,76.66,76.89,"85,281","85,168","85,394"
CW,2020-12-14,"65,698","65,680","65,717",77.15,77.09,77.22,"85,045","84,934","85,156"
CW,2020-12-15,"67,556","67,544","67,569",78.75,78.69,78.81,"85,684","85,573","85,795"
CW,2020-12-16,"67,952","67,937","67,967",78.90,78.85,78.96,"86,008","85,898","86,119"
CW,2020-12-17,"67,992","67,953","68,031",78.78,78.64,78.92,"86,198","86,080","86,316"
CW,2020-12-18,"67,651","67,647","67,656",78.43,78.39,78.48,"86,137","86,026","86,248"
CW,2020-12-19,"66,636","66,597","66,674",77.39,77.26,77.52,"85,993","85,891","86,094"
CW,2020-12-20,"65,612","65,580","65,643",76.22,76.10,76.35,"85,965","85,867","86,064"
CW,2020-12-21,"65,875","65,846","65,903",76.55,76.46,76.65,"85,941","85,849","86,032"
CW,2020-12-22,"67,498","67,471","67,525",78.14,78.03,78.24,"86,271","86,177","86,365"
CW,2020-12-23,"67,242","67,189","67,294",77.90,77.72,78.08,"86,218","86,117","86,319"
CW,2020-12-24,"65,902","65,857","65,947",76.56,76.41,76.72,"85,961","85,864","86,058"
CW,2020-12-25,"63,935","63,880","63,990",74.53,74.35,74.72,"85,666","85,567","85,764"
CW,2020-12-26,"63,824","63,778","63,870",74.42,74.26,74.57,"85,653","85,562","85,744"
CW,2020-12-27,"64,754","64,708","64,799",75.28,75.12,75.44,"85,909","85,817","86,001"
CW,2020-12-28,"65,688","65,625","65,751",76.39,76.18,76.60,"85,879","85,779","85,978"
CW,2020-12-29,"67,885","67,838","67,932",78.66,78.51,78.81,"86,193","86,110","86,275"
CW,2020-12-30,"68,432","68,367","68,497",79.17,79.04,79.29,"86,326","86,244","86,409"
CW,2020-12-31,"67,951","67,896","68,007",78.76,78.68,78.85,"86,162","86,080","86,243"
CW,2021-01-01,"66,817","66,747","66,888",77.65,77.43,77.87,"86,049","85,956","86,142"
CW,2021-01-02,"65,922","65,835","66,008",76.69,76.41,76.97,"85,955","85,842","86,069"
CW,2021-01-03,"66,601","66,539","66,663",77.09,76.92,77.26,"86,394","86,305","86,482"
CW,2021-01-04,"67,752","67,666","67,839",78.07,77.79,78.36,"86,779","86,661","86,896"
CW,2021-01-05,"69,495","69,405","69,585",79.71,79.43,79.98,"87,190","87,076","87,304"
CW,2021-01-06,"70,228","70,161","70,294",80.23,80.05,80.41,"87,532","87,441","87,623"
CW,2021-01-07,"70,238","70,160","70,316",79.96,79.74,80.17,"87,842","87,744","87,941"
CW,2021-01-08,"70,422","70,198","70,647",79.74,79.00,80.48,"88,318","88,068","88,569"
CW,2021-01-09,"69,881","69,459","70,303",79.34,77.86,80.81,"88,082","87,576","88,588"
CT,2020-12-10,651,651,651,59.07,59.07,59.07,"1,102","1,102","1,102"
DC,2020-12-10,281,281,281,83.63,83.63,83.63,336,336,336
ID,2020-12-10,218,218,218,75.69,75.69,75.69,288,288,288
MD,2020-12-10,"1,012","1,012","1,012",79.50,79.50,79.50,"1,273","1,273","1,273"
CT,2020-12-11,649,649,649,58.63,58.63,58.63,"1,107","1,107","1,107"
DC,2020-12-11,285,285,285,85.07,85.07,85.07,335,335,335
ID,2020-12-11,222,222,222,76.82,76.82,76.82,289,289,289
MD,2020-12-11,"1,038","1,038","1,038",81.73,81.73,81.73,"1,270","1,270","1,270"
CT,2020-12-12,655,655,655,58.85,58.85,58.85,"1,113","1,113","1,113"
DC,2020-12-12,281,281,281,81.92,81.92,81.92,343,343,343
ID,2020-12-12,211,211,211,72.76,72.76,72.76,290,290,290
MD,2020-12-12,"1,017","1,017","1,017",81.29,81.29,81.29,"1,251","1,251","1,251"
CT,2020-12-13,645,645,645,57.90,57.90,57.90,"1,114","1,114","1,114"
DC,2020-12-13,278,278,278,81.52,81.52,81.52,341,341,341
ID,2020-12-13,216,216,216,73.72,73.72,73.72,293,293,293
MD,2020-12-13,988,988,988,79.87,79.87,79.87,"1,237","1,237","1,237"
CT,2020-12-14,624,624,624,56.01,56.01,56.01,"1,114","1,114","1,114"
DC,2020-12-14,283,283,283,86.54,86.54,86.54,327,327,327
ID,2020-12-14,234,234,234,79.32,79.32,79.32,295,295,295
MD,2020-12-14,"1,026","1,026","1,026",81.69,81.69,81.69,"1,256","1,256","1,256"
CT,2020-12-15,652,652,652,59.27,59.27,59.27,"1,100","1,100","1,100"
DC,2020-12-15,289,289,289,85.00,85.00,85.00,340,340,340
ID,2020-12-15,235,235,235,79.12,79.12,79.12,297,297,297
MD,2020-12-15,"1,023","1,023","1,023",80.17,80.17,80.17,"1,276","1,276","1,276"
CT,2020-12-16,596,596,596,54.38,54.38,54.38,"1,096","1,096","1,096"
DC,2020-12-16,300,300,300,86.71,86.71,86.71,346,346,346
ID,2020-12-16,234,234,235,79.76,79.76,79.76,294,294,294
MD,2020-12-16,"1,019","1,019","1,019",80.62,80.62,80.62,"1,264","1,257","1,271"
CT,2020-12-17,666,666,666,60.49,60.49,60.49,"1,101","1,101","1,101"
DC,2020-12-17,296,296,296,86.05,86.05,86.05,344,344,344
ID,2020-12-17,245,245,245,83.62,83.62,83.62,293,293,293
MD,2020-12-17,"1,026","1,026","1,026",79.91,79.91,79.91,"1,284","1,284","1,284"
CT,2020-12-18,673,673,673,61.13,61.13,61.13,"1,101","1,101","1,101"
DC,2020-12-18,291,291,291,85.84,85.84,85.84,339,339,339
ID,2020-12-18,244,244,244,81.88,81.88,81.88,298,298,298
