state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,27091,177,19225,170,1093,204,2571,165,248,177,3313,157,0.7376923404799455,156,17307,23461,0.04910273081924577,170,944,19225,0.035546860581004765,177,963,27091,0.0683398850922286,150,226,3307,0.7618751940391183,149,2454,3221,2020-08-22
PR,8603,66,5083,67,547,68,454,66,69,64,643,64,0.5585260955480646,65,4805,8603,0.1076136140074759,67,547,5083,0.061722654887829825,66,531,8603,0.10832025117739404,63,69,637,0.6734059097978227,63,433,643,2020-08-22
RI,1804,13,1982,13,92,13,144,13,13,13,163,13,1.098669623059867,13,1982,1804,0.04641775983854692,13,92,1982,0.050997782705099776,13,92,1804,0.07975460122699386,13,13,163,0.8834355828220859,13,144,163,2020-08-22
SC,10279,81,8272,81,1065,81,993,75,261,77,1316,73,0.8047475435353634,81,8272,10279,0.12874758220502902,81,1065,8272,0.10360930051561436,81,1065,10279,0.189209726443769,73,249,1316,0.7401215805471124,73,974,1316,2020-08-22
SD,2200,48,836,44,75,51,83,36,15,32,94,27,0.5396201702685003,42,824,1527,0.03349282296650718,44,28,836,0.03409090909090909,48,75,2200,0.08602150537634409,23,8,93,0.6309523809523809,26,53,84,2020-08-22
TN,17921,112,11287,115,1133,118,2417,111,334,114,1987,114,0.6288178224937119,104,10500,16698,0.09780474745671962,113,1096,11206,0.06043508608655188,107,1039,17192,0.16675351745700887,109,320,1919,1.2466110531803962,109,2391,1918,2020-08-22
TX,64323,540,41675,526,6161,552,5168,489,1919,498,6391,462,0.6861396913335972,522,41613,60648,0.13542891421715658,526,5644,41675,0.09386999984453462,540,6038,64323,0.26207767603410165,452,1660,6334,0.7696761070255046,462,4919,6391,2020-08-22
UT,5416,52,2799,48,151,53,326,44,41,43,538,41,0.5295119182746879,48,2799,5286,0.052161486245087534,48,146,2799,0.027141802067946825,52,147,5416,0.0762081784386617,40,41,538,0.5947955390334573,40,320,538,2020-08-22
VA,15383,78,8816,75,1081,85,910,76,224,76,1410,73,0.6093312814773363,70,8711,14296,0.10174682395644283,75,897,8816,0.06708704413963466,78,1032,15383,0.14468085106382977,71,204,1410,0.6375886524822695,73,899,1410,2020-08-22
VI,188,2,96,2,10,2,10,2,4,2,20,2,0.5106382978723404,2,96,188,0.10416666666666667,2,10,96,0.05319148936170213,2,10,188,0.2,2,4,20,0.5,2,10,20,2020-08-22
VT,590,11,206,7,9,14,37,8,9,10,48,7,0.569060773480663,7,206,362,0.02912621359223301,7,6,206,0.011864406779661017,11,7,590,0.1875,7,9,48,0.7708333333333334,7,37,48,2020-08-22
WA,9795,82,8338,89,459,96,832,79,99,81,906,66,0.6111599297012302,75,5564,9104,0.05066505441354292,88,419,8270,0.032589698776601214,81,317,9727,0.0772626931567329,61,70,906,0.65625,61,588,896,2020-08-22
WI,12003,129,7190,126,645,136,777,119,153,131,1493,129,0.6078715956629386,125,7120,11713,0.08553546592489569,126,615,7190,0.050154128134633005,129,602,12003,0.10247823174815807,129,153,1493,0.548728813559322,119,777,1416,2020-08-22
AK,1331,20,788,24,47,25,63,14,12,22,46,9,0.3747841105354059,19,434,1158,0.048223350253807105,24,38,788,0.02404207362885049,20,32,1331,0.11363636363636363,7,5,44,0.6739130434782609,9,31,46,2020-08-22
AL,12356,105,7864,92,1435,110,1125,91,443,95,1218,81,0.7711315944302805,92,7864,10198,0.1444798978940651,91,1132,7835,0.10804224207961008,104,1330,12310,0.28653530377668307,77,349,1218,0.867816091954023,81,1057,1218,2020-08-22
AR,8396,86,4837,79,568,88,695,72,249,73,923,70,0.6684654766846547,78,4831,7227,0.10295637792019847,79,498,4837,0.06765126250595521,86,568,8396,0.2611050920910076,67,241,923,0.7566964285714286,68,678,896,2020-08-22
AZ,11606,76,7030,66,970,87,853,62,275,69,1346,52,0.6430759480299989,60,6088,9467,0.11379800853485064,66,800,7030,0.07125624676891264,76,827,11606,0.15453194650817237,51,208,1346,0.5215453194650818,52,702,1346,2020-08-22
CA,62697,381,44195,374,5665,383,5231,364,1501,366,7204,363,0.7109305879514196,374,44195,62165,0.1267111664215409,374,5600,44195,0.08973316107628754,381,5626,62697,0.2068295391449195,360,1490,7204,0.7261243753470294,362,5231,7204,2020-08-22
CO,9270,80,5422,75,271,97,542,65,93,77,937,57,0.6228090405904059,72,5401,8672,0.036517890077462194,75,198,5422,0.02243797195253506,80,208,9270,0.07227615965480043,54,67,927,0.5993303571428571,56,537,896,2020-08-22
CT,8067,30,5757,29,178,31,489,28,26,29,1048,29,0.7302130898021308,29,5757,7884,0.030745179781136008,29,177,5757,0.022065203917193504,30,178,8067,0.02480916030534351,28,26,1048,0.4666030534351145,28,489,1048,2020-08-22
DC,3321,13,2648,13,130,13,244,11,30,11,342,11,0.7973501957241794,13,2648,3321,0.04909365558912387,13,130,2648,0.039144835892803376,13,130,3321,0.08771929824561403,11,30,342,0.7134502923976608,11,244,342,2020-08-22
DE,2343,10,1595,8,75,11,111,7,15,7,139,6,0.7363013698630136,7,1505,2044,0.04326018808777429,8,69,1595,0.03201024327784891,10,75,2343,0.1079136690647482,6,15,139,0.7985611510791367,6,111,139,2020-08-22
FL,75048,257,41359,244,6109,260,4507,243,1367,255,5730,243,0.5886396629757195,244,41359,70262,0.1368505041224401,244,5660,41359,0.08129463809828376,257,6101,75048,0.22389628591450594,241,1278,5708,0.7865619546247818,243,4507,5730,2020-08-22
GA,14161,114,7805,91,3128,138,1090,82,569,92,1176,77,0.783398574726488,91,7805,9963,0.2025624599615631,91,1581,7805,0.166584280771132,114,2359,14161,0.3792517006802721,73,446,1176,0.8971088435374149,76,1055,1176,2020-08-22
HI,1741,15,1333,16,279,21,113,14,48,14,89,12,0.730040206777714,15,1271,1741,0.16879219804951237,16,225,1333,0.11602527283170591,15,202,1741,0.3258426966292135,12,29,89,0.7078651685393258,12,63,89,2020-08-22
IA,8286,119,5156,119,355,119,493,119,101,118,715,118,0.6222544050205165,119,5156,8286,0.06885182311869667,119,355,5156,0.04284335022930244,119,355,8286,0.14125874125874127,117,101,715,0.6895104895104895,118,493,715,2020-08-22
MS,7759,94,4296,88,1167,97,538,67,221,67,561,62,0.6306708314740443,85,4240,6723,0.15619180633147114,88,671,4296,0.15001933238819434,94,1164,7759,0.36541889483065954,61,205,561,0.9215686274509803,62,517,561,2020-08-22
MT,2810,64,1741,54,87,48,116,30,24,48,197,43,0.7107843137254902,51,1595,2244,0.05862533692722372,40,87,1484,0.04257528556593977,43,82,1926,0.13609467455621302,37,23,169,0.6474358974358975,23,101,156,2020-08-22
NC,18177,106,13100,100,1493,117,1258,97,333,108,1710,93,0.7465483234714004,99,12869,17238,0.08938931297709923,100,1171,13100,0.07168439032453579,105,1301,18149,0.15146198830409358,93,259,1710,0.7194117647058823,92,1223,1700,2020-08-22
ND,2505,46,1736,47,100,47,77,43,21,47,103,42,0.6914171656686626,46,1732,2505,0.0576036866359447,47,100,1736,0.03992015968063872,46,100,2505,0.0970873786407767,42,10,103,0.5242718446601942,42,54,103,2020-08-22
NE,4437,79,2109,70,207,81,325,56,59,53,606,56,0.6305064429127959,69,2104,3337,0.07366920152091255,69,155,2104,0.042760180995475114,78,189,4420,0.0978441127694859,49,59,603,0.5691768826619965,52,325,571,2020-08-22
NH,3276,30,2174,29,32,30,154,27,10,28,275,26,0.6687173177483852,29,2174,3251,0.014719411223551058,29,32,2174,0.009768009768009768,30,32,3276,0.03636363636363636,26,10,275,0.5454545454545454,26,150,275,2020-08-22
NJ,18445,73,12816,72,358,34,284,27,19,28,681,27,0.7121997436326144,71,12779,17943,0.06272764063132336,30,310,4942,0.04433775769556622,31,314,7082,0.02643171806167401,27,18,681,0.4170337738619677,27,284,681,2020-08-22
NM,3248,46,2062,43,108,45,242,41,27,42,344,41,0.6517067003792667,43,2062,3164,0.05281868969019807,42,104,1969,0.03451581975071908,45,108,3129,0.07848837209302326,41,27,344,0.7099697885196374,39,235,331,2020-08-22
NV,8431,61,6046,60,892,61,613,58,215,57,841,58,0.7183081858144232,60,6046,8417,0.14753556070129012,60,892,6046,0.10580002372197841,61,892,8431,0.2556480380499406,57,215,841,0.7288941736028538,58,613,841,2020-08-22
