state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,1,0,68,1,0,68,4,68,9338,69,4795,69,408,68,23,69,44,68,0,68,12,68,419,69,69,68,61,69,382,68,299,69,26,68,6,68,664,69,0.5134932533733133,69,4795,9338,0.08727272727272728,68,408,4675,0.044570679484378414,68,408,9154,0.10900473933649289,68,69,633,0.6310240963855421,69,419,664,2021-01-07
RI,6,8,1,6,8,1,20,14,2565,15,2281,15,454,14,27,15,0,14,1,14,0,14,146,15,51,14,53,15,449,14,412,15,5,14,5,14,169,15,0.8892787524366472,15,2281,2565,0.20331392745185847,14,454,2233,0.18174539631705364,14,454,2498,0.32075471698113206,14,51,159,0.863905325443787,15,146,169,2021-01-07
SC,27,41,2,25,43,2,8,68,10066,70,8308,70,2366,68,263,70,130,68,3,68,2,68,1100,70,484,68,471,70,2349,68,2253,70,17,68,15,68,1340,70,0.8253526723624081,70,8308,10066,0.28874786429094457,68,2366,8194,0.23911066195048003,68,2366,9895,0.3723076923076923,68,484,1300,0.8208955223880597,70,1100,1340,2021-01-07
SD,2,58,3,2,58,3,40,60,2589,63,1439,63,237,60,21,63,9,60,0,60,0,60,151,63,57,60,51,63,236,60,209,63,1,60,0,60,246,63,0.555813055233681,63,1439,2589,0.16820440028388928,60,237,1409,0.09468637634838194,60,237,2503,0.2425531914893617,60,57,235,0.6138211382113821,63,151,246,2021-01-07
TN,25,70,48,37,58,48,59,95,19883,143,12995,128,2655,95,237,95,98,95,2,95,6,95,1703,140,649,95,627,95,2626,95,2498,95,29,95,27,95,2099,143,0.6997092397157011,128,12995,18572,0.2363150867823765,95,2655,11235,0.16654121189311252,95,2655,15942,0.35542168674698793,95,649,1826,0.8339862879529872,140,1703,2042,2021-01-07
TX,153,375,63,178,350,63,252,586,67870,591,49905,591,14400,586,1654,591,569,586,29,586,32,586,7018,591,3558,586,3513,591,14231,586,13770,591,169,586,131,586,7988,589,0.7353027847355238,591,49905,67870,0.2920596288408884,586,14400,49305,0.21473307485833582,586,14400,67060,0.4567980485299782,584,3558,7789,0.8785678517776665,589,7018,7988,2021-01-07
UT,1,51,1,3,49,1,1,52,5519,53,2942,53,593,52,70,53,16,52,1,52,2,52,436,53,179,52,170,53,574,52,533,53,19,52,0,52,644,53,0.5330675847073745,53,2942,5519,0.20420110192837465,52,593,2904,0.10924834193072955,52,593,5428,0.28594249201277955,52,179,626,0.6770186335403726,53,436,644,2021-01-07
VA,27,62,8,34,55,8,62,94,17406,97,12708,97,3003,94,275,97,283,94,0,94,10,94,1500,97,542,94,502,97,2979,94,2600,97,24,94,7,94,2024,97,0.7300930713547052,97,12708,17406,0.2387881679389313,94,3003,12576,0.17517354022049816,94,3003,17143,0.2772378516624041,94,542,1955,0.741106719367589,97,1500,2024,2021-01-07
VI,0,1,0,0,1,0,0,1,56,1,39,1,0,1,0,1,0,1,0,1,0,1,5,1,0,1,0,1,0,1,0,1,0,1,0,1,12,1,0.6964285714285714,1,39,56,0.0,1,0,39,0.0,1,0,56,0.0,1,0,12,0.4166666666666667,1,5,12,2021-01-07
VT,1,15,1,1,15,1,0,16,1298,17,806,17,52,16,7,17,4,16,0,16,1,16,71,17,12,16,10,17,51,16,49,17,1,16,0,16,111,17,0.6209553158705701,17,806,1298,0.06624203821656051,16,52,785,0.041237113402061855,16,52,1261,0.11538461538461539,16,12,104,0.6396396396396397,17,71,111,2021-01-07
WA,9,85,2,13,81,2,30,94,12899,96,8738,96,1047,94,94,96,82,94,1,94,15,94,950,96,228,94,217,96,1032,94,941,96,15,94,12,94,1353,96,0.6774168540196914,96,8738,12899,0.12119458270633175,94,1047,8639,0.08202757756189283,94,1047,12764,0.17129977460555973,94,228,1331,0.7021433850702143,96,950,1353,2021-01-07
WI,37,99,7,44,92,7,5,140,13474,143,8045,143,1155,140,204,143,70,140,2,140,4,140,927,143,251,140,246,143,1149,140,1106,143,6,140,3,140,1629,143,0.5970758497847707,143,8045,13474,0.14633219308247813,140,1155,7893,0.08746024534302589,140,1155,13206,0.15916296766011415,140,251,1577,0.569060773480663,143,927,1629,2021-01-07
WV,22,33,4,23,32,4,11,55,5878,59,4350,59,821,55,81,59,44,55,0,55,0,55,529,59,205,55,209,59,816,55,786,59,5,55,2,55,657,59,0.7400476352500851,59,4350,5878,0.19290413533834586,55,821,4256,0.14451681042070058,55,821,5681,0.33828382838283827,55,205,606,0.8051750380517504,59,529,657,2021-01-07
AK,1,21,0,1,21,0,1,22,1430,22,763,22,69,22,8,22,2,22,0,22,0,22,68,22,13,22,12,22,68,22,65,22,1,22,0,22,118,22,0.5335664335664335,22,763,1430,0.09043250327653997,22,69,763,0.04825174825174825,22,69,1430,0.11016949152542373,22,13,118,0.576271186440678,22,68,118,2021-01-07
AL,40,63,6,40,62,7,18,104,15136,108,11634,108,3206,104,352,106,109,104,2,104,7,104,1606,108,864,104,854,106,3176,104,3087,106,30,104,24,104,1701,108,0.7686310782241015,108,11634,15136,0.28462357954545453,103,3206,11264,0.21869031377899045,103,3206,14660,0.5192307692307693,103,864,1664,0.9441504997060552,108,1606,1701,2021-01-07
