state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,27,195,6,33,189,6,33,222,31422,228,25938,228,2488,222,235,228,378,222,8,220,31,220,2938,228,513,222,476,228,2431,222,2009,228,57,221,29,221,3817,228,0.825472598816116,228,25938,31422,0.096816872908398,222,2488,25698,0.080154639175258,222,2488,31040,0.13823767178658,222,513,3711,0.769714435420487,228,2938,3817,2021/05/03,POINT (-77.838886 40.896694),1,225,11,224,23,225,20,224,37,224,62,225,35,224,27,225,22,214,0,217,27,218,29,217,21,218,47,217,83,218,96,218,61,217,14,208
PR,1,19,52,2,18,52,11,71,9620,72,5915,72,413,71,18,72,19,71,0,71,9,71,500,72,86,71,52,72,378,71,333,72,35,71,6,71,689,72,0.614864864864865,72,5915,9620,0.07140387275242,71,413,5784,0.043731469716222,71,413,9444,0.130699088145897,71,86,658,0.725689404934688,72,500,689,2021/05/03,POINT (-66.414655 18.215692),0,72,1,72,3,72,4,72,3,72,3,72,2,72,2,72,0,72,0,71,2,71,1,71,2,71,3,71,3,71,4,71,4,71,0,71
RI,5,8,2,5,8,2,6,14,2782,15,2454,15,176,14,11,15,1,14,0,14,0,14,160,15,26,14,28,15,176,14,138,15,0,14,0,14,203,15,0.882099209202013,15,2454,2782,0.073120066472788,14,176,2407,0.065040650406504,14,176,2706,0.141304347826087,14,26,184,0.788177339901478,15,160,203,2021/05/03,POINT (-71.534637 41.572574),0,15,2,15,1,15,0,15,5,15,2,15,0,15,1,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,1,14,0,14,0,14
SC,19,66,2,19,66,2,0,85,10182,87,7768,87,318,85,38,87,39,85,0,85,0,85,747,87,82,85,72,87,316,85,282,87,2,85,1,85,1122,87,0.762914947947358,87,7768,10182,0.041492693110647,85,318,7664,0.031746031746032,85,318,10017,0.075855689176688,85,82,1081,0.665775401069519,87,747,1122,2021/05/03,POINT (-80.864614 33.878572),1,87,2,87,8,87,7,87,7,87,5,87,4,87,4,87,0,82,0,85,2,85,2,85,3,85,6,85,3,85,14,85,7,85,2,80
SD,1,61,3,1,61,3,12,62,2830,65,1717,65,81,62,8,65,9,62,1,62,3,62,145,65,22,62,19,65,76,62,71,65,5,62,1,62,236,65,0.606713780918728,65,1717,2830,0.048128342245989,62,81,1683,0.029315960912052,62,81,2763,0.097777777777778,62,22,225,0.614406779661017,65,145,236,2021/05/03,POINT (-100.230491 44.43614),0,65,2,65,2,65,0,65,0,65,1,65,0,65,2,65,1,65,0,62,0,62,3,62,1,62,1,62,1,62,2,62,1,62,0,62
TN,11,90,42,31,70,42,15,101,20392,143,13222,129,751,101,60,101,42,101,3,101,4,101,1672,140,264,101,237,101,740,101,658,101,11,101,8,101,2399,143,0.686251102922095,129,13222,19267,0.06293999329534,101,751,11932,0.043290292829145,101,751,17348,0.120713305898491,101,264,2187,0.713919726729291,140,1672,2342,2021/05/03,POINT (-86.343226 35.842998),1,101,7,101,6,101,5,101,7,101,12,101,8,101,6,101,8,101,0,101,6,101,4,101,6,101,4,101,7,101,4,101,4,101,7,101
TX,104,477,13,131,450,13,56,589,68028,594,50566,594,3037,589,328,594,445,589,10,589,54,589,5590,594,906,589,845,594,2944,589,2509,594,93,589,50,589,7276,594,0.7433115775857,594,50566,68028,0.060822718897701,589,3037,49932,0.045149780718055,589,3037,67265,0.127569698676429,589,906,7102,0.768279274326553,594,5590,7276,2021/05/03,POINT (-99.317341 31.447238),2,594,28,594,46,594,50,594,61,594,58,594,38,594,28,594,17,594,3,588,51,588,38,588,54,588,74,589,76,588,68,588,51,589,30,589
UT,1,58,1,1,58,1,1,59,6243,60,3837,60,140,59,23,60,4,59,2,59,0,59,393,60,60,59,59,60,133,59,127,60,7,59,0,59,627,60,0.614608361364728,60,3837,6243,0.036968576709797,59,140,3787,0.022701475595914,59,140,6167,0.098522167487685,59,60,609,0.626794258373206,60,393,627,2021/05/03,POINT (-111.678222 39.323779),1,60,2,60,6,60,5,60,3,60,3,60,0,60,3,60,0,60,1,59,1,59,0,59,1,59,0,59,0,59,0,59,1,59,0,59
VA,14,81,9,22,73,9,27,101,17988,104,13340,104,819,101,79,104,210,101,3,101,15,101,1310,104,215,101,194,104,801,101,640,104,18,101,6,101,1951,104,0.741605514787636,104,13340,17988,0.062097202213966,101,819,13189,0.046192893401015,101,819,17730,0.113456464379947,101,215,1895,0.671450538185546,104,1310,1951,2021/05/03,POINT (-78.666382 37.510861),1,104,7,104,5,104,10,104,15,104,15,104,12,104,11,104,3,104,1,101,9,101,12,101,15,101,29,101,45,101,59,101,40,101,0,101
VI,1,1,0,1,1,0,0,2,168,2,76,2,4,2,0,2,0,2,0,2,0,2,5,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.452380952380952,2,76,168,0.052631578947368,2,4,76,0.023809523809524,2,4,168,0.05,2,1,20,0.25,2,5,20,2021/05/03,POINT (-64.840836 18.060868),0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
