state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,13,189,30322,190,25898,213,1162,217,2977,181,191,188,135,180,1065,197,544,191,84,197,57,191,3648,168,0.7672890963654552,189,23011,29990,0.04286045254459804,213,1110,25898,0.03146230459732208,190,954,30322,0.048793859649122806,160,178,3648,0.781370923161968,162,2827,3618,2020-09-13
PR,5,68,9569,68,5195,68,449,68,480,68,67,67,45,67,402,67,237,67,47,67,5,67,703,68,0.5428989445083081,68,5195,9569,0.08642925890279114,68,449,5195,0.046922353432960605,68,449,9569,0.0953058321479374,67,67,703,0.6827880512091038,68,480,703,2020-09-13
RI,3,13,1989,13,1904,13,87,13,138,13,7,13,7,13,85,13,83,13,2,13,2,13,168,13,0.9572649572649573,13,1904,1989,0.04569327731092437,13,87,1904,0.043740573152337855,13,87,1989,0.041666666666666664,13,7,168,0.8214285714285714,13,138,168,2020-09-13
SC,5,76,10328,82,8339,82,784,82,935,77,216,78,193,78,780,80,639,80,3,80,0,80,1317,76,0.8074167312161116,82,8339,10328,0.09401606907303034,82,784,8339,0.07591014717273431,82,784,10328,0.1624905087319666,76,214,1317,0.7076689445709947,76,932,1317,2020-09-13
SD,1,55,2311,55,1493,58,139,58,90,40,21,37,21,35,105,50,94,47,32,50,30,47,94,33,0.63392470791865,55,1465,2311,0.09310113864701942,58,139,1493,0.060147122457810474,55,139,2311,0.13829787234042554,29,13,94,0.6428571428571429,30,54,84,2020-09-13
TN,11,114,17988,117,12937,117,1118,118,1611,117,291,113,264,113,1035,116,830,115,10,116,8,115,2009,119,0.7370232291367939,114,12850,17435,0.08296838920296203,109,1042,12559,0.06242885387334492,106,1042,16691,0.1478396668401874,108,284,1921,0.8253073770491803,116,1611,1952,2020-09-13
TX,77,556,62621,562,46659,564,4140,563,5611,549,1284,550,1150,550,4087,555,3256,555,53,555,38,555,6845,546,0.7441593075805241,562,46600,62621,0.08888316372536391,563,4140,46578,0.06613367444835305,561,4136,62540,0.1872899926953981,545,1282,6845,0.8194302410518627,546,5609,6845,2020-09-13
UT,4,56,5729,55,3632,56,191,56,355,46,55,45,55,45,162,52,117,51,10,52,4,51,548,43,0.6250654564496422,55,3581,5729,0.052588105726872246,56,191,3632,0.033339151684412635,55,191,5729,0.10036496350364964,42,55,548,0.6240875912408759,42,342,548,2020-09-13
VA,17,94,16875,90,11384,91,1044,97,1040,87,175,87,132,86,861,89,561,87,10,89,4,87,1395,83,0.6714074074074075,90,11330,16875,0.0884486113568017,90,1000,11306,0.05696391291380853,89,955,16765,0.11612903225806452,82,162,1395,0.7304659498207885,83,1019,1395,2020-09-13
VI,0,2,188,2,95,2,3,2,10,2,0,2,0,2,3,2,3,2,0,2,0,2,20,2,0.5053191489361702,2,95,188,0.031578947368421054,2,3,95,0.015957446808510637,2,3,188,0.0,2,0,20,0.5,2,10,20,2020-09-13
