state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,18,183,28440,185,22963,207,1103,209,2729,175,197,180,3348,162,0.734774964838256,185,20897,28440,0.0465966990375822,207,1070,22963,0.03481012658227848,185,990,28440,0.05316606929510155,155,178,3348,0.7700358851674641,157,2575,3344,2020-08-31
PR,5,67,9253,67,5136,67,561,68,489,66,77,66,729,66,0.5550632227385712,67,5136,9253,0.10864485981308411,67,558,5136,0.060304766021830755,67,558,9253,0.1056241426611797,66,77,729,0.6707818930041153,66,489,729,2020-08-31
RI,1,14,1745,14,1914,14,73,14,130,14,9,14,145,14,1.0968481375358166,14,1914,1745,0.03814002089864159,14,73,1914,0.04183381088825215,14,73,1745,0.06206896551724138,14,9,145,0.896551724137931,14,130,145,2020-08-31
SC,17,74,10232,81,8297,81,895,81,981,76,217,77,1326,75,0.8108874120406567,81,8297,10232,0.10787031457153187,81,895,8297,0.08747068021892103,81,895,10232,0.16289592760180996,75,216,1326,0.7383107088989442,75,979,1326,2020-08-31
SD,1,53,2301,53,1431,55,98,55,84,40,18,36,94,31,0.6149500217296827,53,1415,2301,0.06848357791754019,55,98,1431,0.042590178183398525,53,98,2301,0.14772727272727273,27,13,88,0.5476190476190477,30,46,84,2020-08-31
TN,3,46,18735,123,12615,120,274,47,1594,113,71,42,2121,117,0.6938180618193818,120,12615,18182,0.06631366616238023,46,263,3966,0.04937112821475502,46,263,5327,0.1417004048582996,40,70,494,0.775330396475771,112,1584,2043,2020-08-31
TX,99,532,65661,544,48159,555,5179,558,5233,488,1652,497,6351,456,0.7186000822405995,544,47184,65661,0.10725355188983421,554,5156,48073,0.07750034319183662,543,5081,65561,0.22388059701492538,445,1410,6298,0.7814517398834829,456,4963,6351,2020-08-31
UT,3,54,5580,54,3488,55,171,55,354,46,45,45,539,43,0.6096774193548387,54,3402,5580,0.04902522935779816,55,171,3488,0.03046594982078853,54,170,5580,0.08348794063079777,42,45,539,0.6456400742115028,42,348,539,2020-08-31
VA,14,91,16341,87,10695,88,1152,95,894,79,179,80,1296,76,0.6511841380576464,87,10641,16341,0.1043412750729824,87,1108,10619,0.06555357032838395,86,1064,16231,0.12808641975308643,76,166,1296,0.6820987654320988,76,884,1296,2020-08-31
VI,0,2,188,2,102,2,8,2,11,2,2,2,20,2,0.5425531914893617,2,102,188,0.0784313725490196,2,8,102,0.0425531914893617,2,8,188,0.1,2,2,20,0.55,2,11,20,2020-08-31
VT,0,13,596,11,406,12,1,15,34,9,0,11,54,8,0.6526845637583892,11,389,596,0.0024630541871921183,12,1,406,0.0016778523489932886,11,1,596,0.0,7,0,54,0.6296296296296297,8,34,54,2020-08-31
WA,4,93,10018,81,9077,96,407,96,890,78,112,80,917,66,0.6261728888001598,81,6273,10018,0.0452021323856064,95,407,9004,0.02875816993464052,80,286,9945,0.0861504907306434,61,79,917,0.704772475027747,60,635,901,2020-08-31
WI,1,136,12212,133,7548,133,503,136,842,127,138,131,1489,129,0.6180805764821488,133,7548,12212,0.0638579756226815,133,482,7548,0.039469374385849985,133,482,12212,0.09267965077233042,129,138,1489,0.5654801880456682,127,842,1489,2020-08-31
AK,0,16,1260,20,968,25,45,25,54,14,12,22,46,9,0.4714285714285714,20,594,1260,0.04648760330578512,25,45,968,0.03015873015873016,20,38,1260,0.06818181818181818,7,3,44,0.5,9,23,46,2020-08-31
AL,20,108,14782,109,10982,109,1088,108,1261,109,367,108,1402,107,0.7429305912596401,109,10982,14782,0.10045366169799093,105,1085,10801,0.07468337004405286,105,1085,14528,0.24818577648766327,103,342,1378,0.862339514978602,107,1209,1402,2020-08-31
