state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
DC,2020-09-02,"2,320","2,320","2,320",83.33,83.33,83.33,"2,784","2,784","2,784"
AL,2020-09-03,"10,269","10,254","10,284",73.04,72.66,73.42,"14,059","14,035","14,083"
DC,2020-09-03,"2,279","2,279","2,279",81.39,81.39,81.39,"2,800","2,800","2,800"
AL,2020-09-04,"10,048","10,045","10,052",71.53,71.37,71.69,"14,048","14,036","14,060"
DC,2020-09-04,"2,224","2,224","2,224",79.66,79.66,79.66,"2,792","2,792","2,792"
AL,2020-09-05,"9,300","9,274","9,326",64.95,64.33,65.56,"14,319","14,281","14,357"
DC,2020-09-05,"1,937","1,937","1,937",75.96,75.96,75.96,"2,550","2,550","2,550"
AL,2020-09-06,"8,888","8,863","8,913",63.23,62.62,63.85,"14,056","14,018","14,094"
DC,2020-09-06,"1,912","1,912","1,912",75.99,75.99,75.99,"2,516","2,516","2,516"
AL,2020-09-07,"8,957","8,928","8,985",63.94,63.22,64.65,"14,009","13,965","14,053"
DC,2020-09-07,"1,904","1,904","1,904",75.08,75.08,75.08,"2,536","2,536","2,536"
AL,2020-09-08,"9,287","9,264","9,310",66.23,65.63,66.82,"14,023","13,985","14,061"
DC,2020-09-08,"2,199","2,199","2,199",78.48,78.48,78.48,"2,802","2,802","2,802"
AL,2020-09-09,"9,944","9,920","9,969",71.12,70.50,71.74,"13,983","13,945","14,021"
DC,2020-09-09,"2,291","2,291","2,291",80.44,80.44,80.44,"2,848","2,848","2,848"
AL,2020-09-10,"10,032","10,018","10,045",71.99,71.69,72.29,"13,934","13,918","13,950"
DC,2020-09-10,"2,347","2,347","2,347",82.82,82.82,82.82,"2,834","2,834","2,834"
AL,2020-09-11,"9,966","9,869","10,064",71.01,69.31,72.71,"14,035","13,999","14,071"
DC,2020-09-11,"2,356","2,183","2,529",82.55,62.43,102.67,"2,854","2,617","3,091"
AL,2020-09-12,"9,590","9,571","9,609",68.23,67.69,68.77,"14,055","14,019","14,091"
DC,2020-09-12,"2,278","2,278","2,278",81.68,81.68,81.68,"2,789","2,789","2,789"
AL,2020-09-13,"9,291","9,269","9,314",66.26,65.71,66.82,"14,022","13,988","14,056"
DC,2020-09-13,"2,224","2,224","2,224",79.77,79.77,79.77,"2,788","2,788","2,788"
AL,2020-09-14,"9,589","9,573","9,605",68.35,67.93,68.78,"14,029","14,001","14,057"
DC,2020-09-14,"2,247","2,247","2,247",78.98,78.98,78.98,"2,845","2,845","2,845"
AL,2020-09-15,"9,967","9,951","9,983",70.95,70.58,71.32,"14,048","14,028","14,068"
DC,2020-09-15,"2,341","2,341","2,341",82.14,82.14,82.14,"2,850","2,850","2,850"
AL,2020-09-16,"10,176","9,927","10,424",72.22,66.68,77.75,"14,091","13,788","14,394"
DC,2020-09-16,"2,375","2,375","2,375",83.27,83.27,83.27,"2,852","2,852","2,852"
AL,2020-09-17,"10,190","9,957","10,423",72.52,67.28,77.75,"14,052","13,764","14,340"
DC,2020-09-17,"2,358","2,358","2,358",82.74,82.74,82.74,"2,850","2,850","2,850"
AL,2020-09-18,"10,059","9,881","10,237",70.99,66.68,75.31,"14,169","13,907","14,431"
DC,2020-09-18,"2,374","2,276","2,472",83.47,72.60,94.35,"2,844","2,722","2,966"
AR,2020-08-18,"5,050","4,864","5,236",67.65,61.51,73.78,"7,446","7,359","7,533"
CA,2020-08-18,"43,628","43,199","44,057",71.66,69.33,73.99,"60,881","60,294","61,468"
CT,2020-08-18,"5,815","5,815","5,815",72.03,72.03,72.03,"8,073","8,073","8,073"
GA,2020-08-18,"11,068","10,232","11,904",79.49,75.84,83.15,"13,826","12,725","14,927"
ID,2020-08-18,"1,645","1,618","1,672",47.12,45.95,48.29,"3,491","3,419","3,563"
IN,2020-08-18,"9,708","9,474","9,942",60.64,57.39,63.90,"16,009","15,713","16,305"
KS,2020-08-18,"4,232","4,173","4,291",56.43,53.86,59.01,"7,407","7,271","7,543"
LA,2020-08-18,"9,357","9,346","9,368",67.44,67.10,67.78,"13,464","13,442","13,486"
MD,2020-08-18,"7,810","7,284","8,336",77.98,61.33,94.64,"9,911","9,257","10,565"
MI,2020-08-18,"16,671","16,520","16,822",74.21,71.90,76.52,"22,464","22,237","22,691"
AR,2020-08-19,"5,100","5,065","5,135",67.31,66.20,68.43,"7,555","7,495","7,616"
CA,2020-08-19,"44,894","44,510","45,279",73.38,71.44,75.31,"61,182","60,732","61,631"
CT,2020-08-19,"6,025","6,015","6,035",74.59,74.24,74.95,"8,077","8,067","8,087"
GA,2020-08-19,"10,862","10,063","11,662",80.43,77.62,83.24,"13,417","12,361","14,473"
ID,2020-08-19,"1,733","1,706","1,760",49.51,48.41,50.61,"3,500","3,428","3,572"
IN,2020-08-19,"9,985","9,662","10,308",62.03,56.33,67.73,"16,097","15,663","16,531"
KS,2020-08-19,"4,202","4,092","4,313",56.03,50.25,61.81,"7,410","7,174","7,647"
LA,2020-08-19,"9,385","9,374","9,396",67.61,67.22,67.99,"13,460","13,433","13,487"
MD,2020-08-19,"7,955","7,814","8,096",78.71,74.19,83.24,"10,001","9,799","10,203"
MI,2020-08-19,"17,008","16,865","17,151",75.42,73.23,77.60,"22,552","22,338","22,766"
AR,2020-08-20,"5,116","5,082","5,150",67.81,66.80,68.82,"7,522","7,465","7,578"
CA,2020-08-20,"44,846","44,313","45,380",72.68,69.95,75.41,"61,703","61,041","62,365"
CT,2020-08-20,"6,005","6,005","6,005",74.32,74.32,74.32,"8,080","8,080","8,080"
GA,2020-08-20,"11,326","10,532","12,120",83.37,82.51,84.23,"13,502","12,457","14,548"
ID,2020-08-20,"1,763","1,736","1,790",50.09,49.11,51.06,"3,520","3,449","3,591"
IN,2020-08-20,"9,948","9,699","10,198",61.65,58.02,65.28,"16,137","15,836","16,438"
KS,2020-08-20,"4,183","4,128","4,239",55.81,53.52,58.11,"7,400","7,273","7,526"
LA,2020-08-20,"9,426","9,409","9,442",68.06,67.57,68.56,"13,424","13,392","13,455"
MD,2020-08-20,"7,939","7,795","8,082",78.87,75.08,82.67,"9,974","9,836","10,112"
MI,2020-08-20,"16,669","16,527","16,811",73.82,71.64,76.01,"22,579","22,363","22,795"
AR,2020-08-21,"5,063","5,028","5,098",67.57,66.46,68.68,"7,470","7,411","7,530"
CA,2020-08-21,"44,657","44,446","44,869",72.24,71.21,73.27,"61,818","61,588","62,049"
CT,2020-08-21,"5,960","5,895","6,025",73.83,71.41,76.24,"8,073","8,002","8,144"
GA,2020-08-21,"11,200","10,407","11,994",82.51,80.82,84.20,"13,454","12,406","14,502"
ID,2020-08-21,"1,732","1,707","1,757",49.11,48.49,49.72,"3,527","3,458","3,596"
IN,2020-08-21,"9,771","9,571","9,971",60.63,58.02,63.24,"16,116","15,865","16,367"
KS,2020-08-21,"4,087","4,036","4,139",54.51,52.39,56.64,"7,401","7,284","7,519"
LA,2020-08-21,"9,318","9,310","9,326",67.25,66.91,67.59,"13,425","13,400","13,450"
MD,2020-08-21,"7,905","7,896","7,915",78.90,78.46,79.35,"9,928","9,844","10,012"
MI,2020-08-21,"16,630","16,497","16,763",73.41,71.36,75.46,"22,654","22,450","22,858"
AR,2020-08-22,"4,798","4,606","4,990",64.15,57.41,70.90,"7,455","7,342","7,568"
CA,2020-08-22,"43,352","43,180","43,523",70.78,69.90,71.66,"61,246","61,037","61,455"
CT,2020-08-22,"5,746","5,622","5,870",71.18,66.60,75.77,"8,072","7,939","8,205"
GA,2020-08-22,"10,675","9,883","11,467",78.61,76.14,81.09,"13,445","12,405","14,485"
ID,2020-08-22,"1,652","1,628","1,677",46.92,46.02,47.81,"3,522","3,454","3,590"
IN,2020-08-22,"9,403","9,196","9,610",58.51,55.66,61.37,"16,070","15,811","16,329"
KS,2020-08-22,"3,967","3,637","4,296",52.90,37.74,68.07,"7,396","6,929","7,862"
LA,2020-08-22,"8,862","8,857","8,866",63.84,63.65,64.02,"13,498","13,484","13,512"
MD,2020-08-22,"7,692","7,154","8,230",77.07,59.89,94.25,"9,891","9,216","10,566"
MI,2020-08-22,"16,266","15,969","16,562",71.85,67.48,76.23,"22,637","22,222","23,052"
AR,2020-08-23,"4,613","4,382","4,844",62.28,52.85,71.71,"7,381","7,136","7,626"
CA,2020-08-23,"41,938","41,672","42,203",68.83,67.30,70.35,"60,932","60,526","61,338"
CT,2020-08-23,"5,612","5,488","5,736",69.54,64.95,74.14,"8,070","7,938","8,202"
GA,2020-08-23,"10,426","9,661","11,190",76.74,73.19,80.29,"13,442","12,443","14,441"
ID,2020-08-23,"1,587","1,561","1,612",45.32,45.32,45.32,"3,501","3,435","3,567"
IN,2020-08-23,"9,058","8,860","9,256",56.82,54.06,59.59,"15,941","15,688","16,194"
KS,2020-08-23,"3,876","3,546","4,206",51.81,36.55,67.07,"7,376","6,910","7,842"
LA,2020-08-23,"8,649","8,638","8,660",62.53,62.28,62.79,"13,471","13,458","13,484"
MD,2020-08-23,"7,405","6,868","7,943",74.95,57.62,92.29,"9,880","9,199","10,561"
MI,2020-08-23,"15,837","15,698","15,977",70.00,67.93,72.07,"22,623","22,423","22,824"
AR,2020-08-24,"4,665","4,635","4,695",62.24,61.47,63.00,"7,470","7,422","7,517"
CA,2020-08-24,"41,818","41,353","42,283",68.60,65.73,71.46,"60,962","60,154","61,770"
CT,2020-08-24,"5,595","5,595","5,595",69.33,69.33,69.33,"8,070","8,070","8,070"
GA,2020-08-24,"10,528","9,806","11,250",77.08,73.41,80.75,"13,512","12,563","14,460"
ID,2020-08-24,"1,549","1,526","1,573",44.36,43.59,45.13,"3,493","3,426","3,560"
IN,2020-08-24,"9,374","9,201","9,547",57.78,54.30,61.27,"16,223","16,002","16,444"
KS,2020-08-24,"3,958","3,921","3,994",51.73,49.71,53.75,"7,544","7,455","7,634"
LA,2020-08-24,"8,696","8,606","8,787",63.29,61.15,65.43,"13,386","13,277","13,496"
MD,2020-08-24,"7,558","7,400","7,715",76.17,71.22,81.11,"9,922","9,731","10,114"
MI,2020-08-24,"16,192","16,125","16,260",71.62,70.70,72.55,"22,607","22,519","22,696"
AR,2020-08-25,"4,977","4,892","5,063",65.75,63.02,68.48,"7,542","7,496","7,588"
CA,2020-08-25,"43,607","43,279","43,936",70.79,69.14,72.44,"61,604","61,217","61,991"
CT,2020-08-25,"5,875","5,875","5,875",72.83,72.83,72.83,"8,067","8,067","8,067"
GA,2020-08-25,"10,796","10,080","11,511",78.99,75.16,82.82,"13,497","12,556","14,437"
ID,2020-08-25,"1,684","1,661","1,707",47.63,45.49,49.78,"3,535","3,468","3,602"
IN,2020-08-25,"9,973","9,833","10,113",61.47,58.61,64.33,"16,224","16,034","16,414"
KS,2020-08-25,"4,182","3,993","4,371",54.68,46.01,63.35,"7,549","7,271","7,827"
LA,2020-08-25,"8,940","8,924","8,956",64.38,63.95,64.81,"13,488","13,462","13,514"
MD,2020-08-25,"7,862","7,755","7,970",79.00,75.35,82.65,"9,952","9,800","10,105"
MI,2020-08-25,"16,834","16,759","16,910",73.89,72.82,74.95,"22,784","22,681","22,888"
AR,2020-08-26,"5,247","5,220","5,274",68.30,67.44,69.16,"7,641","7,598","7,684"
CA,2020-08-26,"44,254","44,061","44,447",71.64,70.57,72.70,"61,776","61,496","62,055"
CT,2020-08-26,"6,024","5,959","6,088",74.59,72.21,76.98,"8,075","8,004","8,146"
GA,2020-08-26,"12,011","11,317","12,706",79.41,70.03,88.80,"14,950","14,035","15,864"
ID,2020-08-26,"1,769","1,746","1,792",50.05,47.97,52.14,"3,534","3,468","3,600"
IN,2020-08-26,"10,223","10,072","10,374",62.97,59.92,66.03,"16,234","16,034","16,434"
KS,2020-08-26,"4,258","4,069","4,448",55.59,46.95,64.24,"7,562","7,283","7,840"
LA,2020-08-26,"9,007","9,007","9,007",64.87,64.87,64.87,"13,442","13,420","13,464"
MD,2020-08-26,"7,991","7,468","8,514",79.52,63.14,95.89,"10,050","9,402","10,697"
MI,2020-08-26,"17,079","17,020","17,138",74.54,73.73,75.35,"22,912","22,831","22,993"
AR,2020-08-27,"5,249","5,143","5,355",66.71,61.60,71.82,"7,832","7,643","8,020"
CA,2020-08-27,"44,118","43,522","44,714",71.59,68.22,74.97,"61,622","60,719","62,525"
CT,2020-08-27,"5,974","5,965","5,984",73.98,73.63,74.34,"8,076","8,066","8,085"
GA,2020-08-27,"13,969","13,275","14,664",80.68,67.86,93.50,"17,177","16,267","18,088"
ID,2020-08-27,"1,803","1,782","1,824",50.64,48.71,52.57,"3,560","3,498","3,622"
IN,2020-08-27,"10,203","10,070","10,337",62.74,60.02,65.46,"16,263","16,082","16,444"
KS,2020-08-27,"4,312","4,228","4,395",56.27,52.09,60.46,"7,566","7,412","7,721"
LA,2020-08-27,"8,775","8,768","8,781",63.57,63.29,63.85,"13,386","13,365","13,407"
MD,2020-08-27,"8,027","8,027","8,027",79.93,79.93,79.93,"10,042","9,972","10,112"
MI,2020-08-27,"16,865","16,393","17,337",73.83,67.14,80.51,"22,844","22,226","23,462"
AR,2020-08-28,"5,041","4,975","5,106",65.28,62.58,67.99,"7,684","7,599","7,769"
CA,2020-08-28,"43,852","43,683","44,021",71.24,70.32,72.16,"61,558","61,321","61,795"
CT,2020-08-28,"5,836","5,836","5,836",72.26,72.26,72.26,"8,076","8,076","8,076"
GA,2020-08-28,"13,851","13,179","14,523",80.46,67.97,92.95,"17,076","16,193","17,960"
ID,2020-08-28,"1,743","1,720","1,766",48.94,46.91,50.97,"3,562","3,500","3,624"
IN,2020-08-28,"9,874","9,687","10,060",61.91,58.20,65.62,"15,948","15,722","16,174"
KS,2020-08-28,"4,218","3,855","4,580",55.22,39.17,71.27,"7,540","7,056","8,024"
LA,2020-08-28,"8,849","8,839","8,859",64.04,63.72,64.37,"13,394","13,372","13,416"
MD,2020-08-28,"7,872","7,872","7,872",78.26,78.26,78.26,"10,059","9,995","10,123"
MI,2020-08-28,"16,568","16,535","16,601",73.39,72.95,73.84,"22,574","22,522","22,626"
AR,2020-08-29,"4,937","4,724","5,150",64.58,56.26,72.91,"7,606","7,389","7,824"
CA,2020-08-29,"42,811","42,417","43,206",69.75,67.72,71.77,"61,381","60,897","61,865"
CT,2020-08-29,"5,738","5,614","5,862",71.05,66.47,75.63,"8,076","7,943","8,208"
GA,2020-08-29,"13,578","12,934","14,223",78.39,66.51,90.28,"17,180","16,333","18,027"
ID,2020-08-29,"1,678","1,655","1,700",47.14,45.16,49.12,"3,559","3,498","3,620"
IN,2020-08-29,"9,569","9,230","9,908",59.94,53.06,66.81,"15,965","15,538","16,392"
KS,2020-08-29,"4,126","3,797","4,455",54.22,39.29,69.14,"7,510","7,048","7,971"
LA,2020-08-29,"8,793","8,729","8,858",64.29,63.07,65.51,"13,248","13,234","13,262"
MD,2020-08-29,"7,387","6,859","7,915",74.82,57.98,91.65,"9,873","9,221","10,525"
MI,2020-08-29,"16,209","16,105","16,313",71.66,70.09,73.23,"22,620","22,465","22,775"
AR,2020-08-30,"4,705","4,525","4,886",62.43,56.17,68.69,"7,498","7,425","7,571"
CA,2020-08-30,"41,290","41,011","41,569",67.93,66.41,69.46,"60,780","60,397","61,164"
CT,2020-08-30,"5,518","5,394","5,642",68.46,63.85,73.07,"8,060","7,928","8,193"
GA,2020-08-30,"13,125","12,482","13,769",75.72,63.87,87.57,"17,279","16,435","18,124"
ID,2020-08-30,"1,622","1,588","1,656",45.98,43.01,48.94,"3,528","3,465","3,591"
IN,2020-08-30,"9,449","9,056","9,842",58.32,50.47,66.16,"16,203","15,714","16,692"
KS,2020-08-30,"3,909","3,803","4,016",51.29,45.73,56.86,"7,514","7,305","7,722"
LA,2020-08-30,"8,632","8,555","8,710",63.53,62.05,65.01,"13,202","13,185","13,218"
MD,2020-08-30,"7,505","7,475","7,535",76.14,75.20,77.08,"9,857","9,821","9,893"
MI,2020-08-30,"15,651","15,490","15,811",69.33,67.03,71.63,"22,573","22,361","22,785"
AR,2020-08-31,"4,798","4,774","4,822",62.41,61.46,63.36,"7,648","7,612","7,684"
CA,2020-08-31,"41,095","40,848","41,342",67.54,66.16,68.92,"60,845","60,490","61,199"
CT,2020-08-31,"5,502","5,502","5,502",68.17,68.17,68.17,"8,071","8,071","8,071"
GA,2020-08-31,"13,053","12,460","13,646",76.04,64.99,87.09,"17,115","16,333","17,897"
ID,2020-08-31,"1,607","1,591","1,624",45.42,43.87,46.97,"3,539","3,480","3,598"
IN,2020-08-31,"9,493","9,163","9,823",58.85,52.26,65.43,"16,132","15,726","16,537"
KS,2020-08-31,"4,021","4,005","4,037",52.51,51.40,53.63,"7,546","7,488","7,604"
LA,2020-08-31,"8,910","8,786","9,034",65.38,62.73,68.04,"13,211","13,105","13,316"
MD,2020-08-31,"7,410","7,371","7,448",75.78,73.40,78.16,"9,778","9,654","9,901"
MI,2020-08-31,"15,835","15,809","15,860",69.63,69.28,69.97,"22,742","22,698","22,786"
AR,2020-09-01,"5,158","5,138","5,177",66.06,65.19,66.94,"7,764","7,734","7,795"
CA,2020-09-01,"42,688","42,499","42,878",69.85,68.81,70.89,"61,112","60,847","61,378"
CT,2020-09-01,"5,786","5,777","5,796",71.64,71.28,71.99,"8,078","8,068","8,087"
GA,2020-09-01,"13,717","13,170","14,264",78.73,68.53,88.94,"17,354","16,641","18,067"
ID,2020-09-01,"1,673","1,665","1,681",47.71,46.73,48.68,"3,507","3,453","3,561"
IN,2020-09-01,"9,960","9,862","10,058",61.69,59.82,63.57,"16,144","16,035","16,252"
KS,2020-09-01,"4,288","4,274","4,301",55.87,55.01,56.74,"7,494","7,433","7,555"
