state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-13,"537,948","537,814","538,082",75.74,75.69,75.80,"710,232","710,095","710,369"
CW,2021-01-14,"536,819","536,676","536,961",75.65,75.59,75.71,"709,600","709,448","709,751"
CW,2021-01-15,"535,123","535,037","535,209",75.44,75.41,75.47,"709,331","709,291","709,371"
CW,2021-01-16,"518,751","518,463","519,039",73.43,73.29,73.57,"706,458","706,047","706,869"
CW,2021-01-17,"507,523","507,366","507,679",72.12,72.05,72.20,"703,706","703,481","703,932"
CW,2021-01-18,"510,895","510,684","511,107",72.57,72.48,72.66,"703,975","703,747","704,204"
CW,2021-01-19,"527,520","527,349","527,691",74.60,74.52,74.68,"707,141","706,902","707,380"
CW,2021-01-20,"536,087","535,743","536,430",75.55,75.41,75.69,"709,575","709,225","709,925"
CW,2021-01-21,"533,888","533,687","534,090",75.35,75.25,75.44,"708,569","708,277","708,860"
CW,2021-01-22,"532,281","532,144","532,418",75.18,75.11,75.26,"707,980","707,731","708,230"
CW,2021-01-23,"516,449","516,239","516,660",73.30,73.21,73.39,"704,569","704,319","704,818"
CW,2021-01-24,"504,604","504,450","504,759",71.91,71.88,71.94,"701,324","701,099","701,548"
CW,2021-01-25,"508,565","508,524","508,605",72.34,72.32,72.36,"702,590","702,363","702,816"
CW,2021-01-26,"527,750","527,698","527,803",74.69,74.67,74.71,"706,176","705,947","706,405"
CW,2021-01-27,"532,588","532,344","532,833",75.16,75.06,75.26,"708,350","708,003","708,697"
CW,2021-01-28,"529,841","529,747","529,936",74.90,74.87,74.94,"707,062","706,798","707,326"
CW,2021-01-29,"523,641","523,576","523,706",74.19,74.17,74.21,"705,496","705,244","705,749"
CW,2021-01-30,"504,144","503,991","504,297",71.70,71.63,71.76,"702,865","702,574","703,156"
CW,2021-01-31,"490,412","490,208","490,615",70.16,70.06,70.26,"698,678","698,297","699,059"
CW,2021-02-01,"493,863","493,754","493,972",70.60,70.55,70.64,"699,238","698,951","699,525"
CW,2021-02-02,"514,797","514,750","514,844",73.24,73.23,73.25,"702,582","702,323","702,842"
CW,2021-02-03,"521,663","521,524","521,802",73.97,73.81,74.13,"704,805","704,131","705,478"
CW,2021-02-04,"521,112","521,035","521,189",73.92,73.89,73.95,"704,584","704,320","704,847"
CW,2021-02-05,"517,384","517,255","517,512",73.52,73.48,73.57,"703,284","702,984","703,584"
CW,2021-02-06,"501,816","501,669","501,962",71.63,71.58,71.68,"700,165","699,865","700,465"
CW,2021-02-07,"487,556","487,109","488,002",70.00,69.81,70.19,"696,122","695,569","696,675"
CW,2021-02-08,"490,106","490,000","490,211",70.25,70.21,70.30,"697,196","696,885","697,507"
CW,2021-02-09,"512,319","511,934","512,705",72.98,72.82,73.15,"701,556","701,030","702,082"
CW,2021-02-10,"520,561","520,015","521,107",73.99,73.73,74.25,"703,200","702,382","704,018"
CW,2021-02-11,"518,243","517,106","519,379",73.67,73.16,74.18,"703,076","701,648","704,504"
CW,2021-02-12,"512,409","510,044","514,774",73.30,72.23,74.36,"698,667","695,730","701,604"
AK,2021-01-13,847,847,847,58.41,58.41,58.41,"1,450","1,450","1,450"
AL,2021-01-13,"11,262","11,257","11,267",80.78,80.50,81.06,"13,942","13,921","13,963"
AR,2021-01-13,"5,649","5,646","5,652",73.17,73.17,73.17,"7,720","7,720","7,720"
AZ,2021-01-13,"11,513","11,513","11,513",78.45,78.45,78.45,"14,676","14,676","14,676"
CA,2021-01-13,"53,898","53,898","53,898",82.65,82.65,82.65,"65,212","65,212","65,212"
CO,2021-01-13,"6,642","6,642","6,642",64.99,64.99,64.99,"10,220","10,220","10,220"
CT,2021-01-13,"6,273","6,273","6,273",81.09,81.09,81.09,"7,736","7,736","7,736"
DC,2021-01-13,"2,469","2,469","2,469",82.66,82.66,82.66,"2,987","2,987","2,987"
DE,2021-01-13,"1,897","1,897","1,897",72.77,72.77,72.77,"2,607","2,607","2,607"
FL,2021-01-13,"43,896","43,896","43,896",83.61,83.61,83.61,"52,498","52,498","52,498"
GA,2021-01-13,"16,905","16,905","16,905",87.15,87.15,87.15,"19,398","19,398","19,398"
HI,2021-01-13,"1,788","1,788","1,788",72.42,72.42,72.42,"2,469","2,469","2,469"
IA,2021-01-13,"4,971","4,967","4,975",64.54,64.54,64.54,"7,702","7,702","7,702"
ID,2021-01-13,"1,783","1,783","1,783",57.44,57.44,57.44,"3,104","3,104","3,104"
IL,2021-01-13,"20,279","20,276","20,282",69.76,69.76,69.76,"29,071","29,071","29,071"
IN,2021-01-13,"10,971","10,971","10,971",66.85,66.85,66.85,"16,412","16,412","16,412"
KS,2021-01-13,"4,723","4,723","4,723",60.52,60.52,60.52,"7,804","7,804","7,804"
KY,2021-01-13,"7,433","7,433","7,433",60.56,60.56,60.56,"12,273","12,273","12,273"
LA,2021-01-13,"9,219","9,219","9,219",72.52,72.52,72.52,"12,712","12,712","12,712"
MA,2021-01-13,"12,283","12,283","12,283",80.51,80.51,80.51,"15,256","15,256","15,256"
MD,2021-01-13,"8,169","8,169","8,169",84.66,84.66,84.66,"9,649","9,649","9,649"
ME,2021-01-13,"2,064","2,064","2,064",71.92,71.92,71.92,"2,870","2,870","2,870"
MI,2021-01-13,"15,602","15,602","15,602",75.77,75.77,75.77,"20,590","20,590","20,590"
MN,2021-01-13,"7,168","7,163","7,173",74.03,73.84,74.23,"9,682","9,673","9,691"
MT,2021-01-13,"1,857","1,857","1,857",64.59,64.59,64.59,"2,875","2,875","2,875"
AK,2021-01-14,837,837,837,57.53,57.53,57.53,"1,455","1,455","1,455"
AL,2021-01-14,"11,239","11,239","11,239",80.20,80.20,80.20,"14,013","14,013","14,013"
AR,2021-01-14,"5,589","5,583","5,595",72.54,72.23,72.84,"7,705","7,694","7,716"
AZ,2021-01-14,"11,476","11,476","11,476",77.93,77.93,77.93,"14,726","14,726","14,726"
CA,2021-01-14,"53,584","53,583","53,585",82.39,82.39,82.39,"65,034","65,034","65,034"
CO,2021-01-14,"6,860","6,860","6,860",67.27,67.27,67.27,"10,198","10,198","10,198"
CT,2021-01-14,"6,270","6,270","6,270",80.90,80.90,80.90,"7,750","7,750","7,750"
DC,2021-01-14,"2,470","2,470","2,470",82.66,82.66,82.66,"2,988","2,988","2,988"
DE,2021-01-14,"1,860","1,860","1,860",71.65,71.65,71.65,"2,596","2,596","2,596"
FL,2021-01-14,"43,765","43,676","43,854",83.24,82.74,83.74,"52,576","52,478","52,674"
GA,2021-01-14,"16,802","16,802","16,802",86.55,86.55,86.55,"19,414","19,414","19,414"
HI,2021-01-14,"1,778","1,778","1,778",71.81,71.81,71.81,"2,476","2,476","2,476"
IA,2021-01-14,"4,940","4,940","4,940",64.11,64.11,64.11,"7,706","7,706","7,706"
ID,2021-01-14,"1,755","1,755","1,755",56.52,56.52,56.52,"3,105","3,105","3,105"
IL,2021-01-14,"20,237","20,234","20,240",69.57,69.57,69.57,"29,087","29,087","29,087"
IN,2021-01-14,"10,929","10,929","10,929",66.53,66.53,66.53,"16,426","16,405","16,447"
KS,2021-01-14,"4,758","4,758","4,758",60.94,60.94,60.94,"7,808","7,808","7,808"
KY,2021-01-14,"7,581","7,581","7,581",61.76,61.76,61.76,"12,275","12,275","12,275"
LA,2021-01-14,"9,303","9,303","9,303",73.21,73.21,73.21,"12,708","12,708","12,708"
MA,2021-01-14,"12,304","12,304","12,304",80.39,80.39,80.39,"15,305","15,305","15,305"
MD,2021-01-14,"8,254","8,254","8,254",85.49,85.49,85.49,"9,655","9,655","9,655"
ME,2021-01-14,"2,047","2,047","2,047",71.55,71.55,71.55,"2,861","2,861","2,861"
MI,2021-01-14,"15,479","15,479","15,479",75.11,75.11,75.11,"20,608","20,608","20,608"
MN,2021-01-14,"7,173","7,172","7,174",73.83,73.83,73.83,"9,716","9,716","9,716"
MT,2021-01-14,"1,899","1,899","1,899",66.17,66.17,66.17,"2,870","2,870","2,870"
AK,2021-01-15,808,808,808,55.92,55.92,55.92,"1,445","1,445","1,445"
AL,2021-01-15,"11,170","11,170","11,170",80.01,80.01,80.01,"13,960","13,960","13,960"
AR,2021-01-15,"5,689","5,682","5,696",74.01,73.64,74.38,"7,687","7,673","7,701"
AZ,2021-01-15,"11,472","11,472","11,472",77.01,77.01,77.01,"14,896","14,896","14,896"
CA,2021-01-15,"53,672","53,606","53,739",82.44,82.21,82.66,"65,106","65,105","65,108"
CO,2021-01-15,"6,810","6,810","6,810",66.70,66.70,66.70,"10,210","10,210","10,210"
CT,2021-01-15,"6,279","6,279","6,279",80.94,80.94,80.94,"7,758","7,758","7,758"
DC,2021-01-15,"2,451","2,451","2,451",81.95,81.95,81.95,"2,991","2,991","2,991"
DE,2021-01-15,"1,918","1,918","1,918",73.57,73.57,73.57,"2,607","2,607","2,607"
FL,2021-01-15,"43,339","43,339","43,339",82.51,82.51,82.51,"52,523","52,523","52,523"
GA,2021-01-15,"16,633","16,632","16,634",86.08,86.08,86.08,"19,322","19,322","19,322"
HI,2021-01-15,"1,755","1,755","1,755",70.97,70.97,70.97,"2,473","2,473","2,473"
IA,2021-01-15,"4,902","4,902","4,902",63.69,63.69,63.69,"7,697","7,697","7,697"
ID,2021-01-15,"1,754","1,754","1,754",56.89,56.89,56.89,"3,083","3,083","3,083"
IL,2021-01-15,"20,102","20,102","20,102",69.16,69.16,69.16,"29,068","29,068","29,068"
IN,2021-01-15,"11,027","11,027","11,027",67.18,67.18,67.18,"16,414","16,414","16,414"
KS,2021-01-15,"4,657","4,657","4,657",59.58,59.58,59.58,"7,816","7,816","7,816"
KY,2021-01-15,"7,667","7,667","7,667",62.47,62.47,62.47,"12,274","12,274","12,274"
