state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,7,60,1,8,59,1,2,67,9330,68,5465,68,333,67,34,68,31,67,0,67,9,67,461,68,63,67,51,68,305,67,262,68,28,67,12,67,694,68,0.585744908896034,68,5465,9330,0.062429696287964,67,333,5334,0.036401399212943,67,333,9148,0.095022624434389,67,63,663,0.664265129682997,68,461,694,2021/04/03,POINT (-66.414655 18.215692)
RI,4,9,1,4,9,1,5,13,2549,14,2262,14,193,13,15,14,0,13,0,13,0,13,138,14,24,13,29,14,192,13,158,14,1,13,1,13,174,14,0.887406826206356,14,2262,2549,0.087133182844244,13,193,2215,0.078042862919531,13,193,2473,0.154838709677419,13,24,155,0.793103448275862,14,138,174,2021/04/03,POINT (-71.534637 41.572574)
SC,21,57,2,21,57,2,3,78,11023,80,8299,80,499,78,60,80,46,78,0,78,1,78,932,80,131,78,126,80,494,78,468,80,5,78,3,78,1343,80,0.752880341104962,80,8299,11023,0.060875930218373,78,499,8197,0.045961131067514,78,499,10857,0.100614439324117,78,131,1302,0.693968726731199,80,932,1343,2021/04/03,POINT (-80.864614 33.878572)
SD,1,60,3,2,59,3,26,61,2776,64,1638,64,94,61,12,64,13,61,1,61,0,61,120,64,19,61,15,64,92,61,72,64,2,61,0,61,237,64,0.590057636887608,64,1638,2776,0.058566978193146,61,94,1605,0.034699150978221,61,94,2709,0.084070796460177,61,19,226,0.506329113924051,64,120,237,2021/04/03,POINT (-100.230491 44.43614)
TN,13,86,44,32,67,44,16,99,20413,143,13485,129,826,99,88,99,49,99,1,99,5,99,1754,140,222,99,211,99,772,99,688,99,54,99,46,99,2382,143,0.702416918429003,129,13485,19198,0.071096574281288,99,826,11618,0.050130484918371,99,826,16477,0.107662463627546,99,222,2062,0.754408602150538,140,1754,2325,2021/04/03,POINT (-86.343226 35.842998)
TX,90,496,5,105,481,5,74,586,69970,591,48925,591,3390,586,361,591,542,586,11,586,55,586,5654,591,960,586,905,591,3301,586,2786,591,89,586,49,586,7051,590,0.699228240674575,591,48925,69970,0.070068828672413,586,3390,48381,0.048989147242012,586,3390,69199,0.139697322467986,585,960,6872,0.801872074882995,590,5654,7051,2021/04/03,POINT (-99.317341 31.447238)
UT,0,56,1,0,56,1,0,56,6032,57,3594,57,142,56,24,57,4,56,2,56,0,56,349,57,52,56,51,57,137,56,123,57,5,56,0,56,624,57,0.595822281167109,57,3594,6032,0.040045121263395,56,142,3546,0.023825503355705,56,142,5960,0.085808580858086,56,52,606,0.559294871794872,57,349,624,2021/04/03,POINT (-111.678222 39.323779)
VA,16,73,9,20,69,9,25,95,17691,98,13104,98,1086,95,126,98,202,95,3,95,9,95,1377,98,232,95,219,98,1066,95,884,98,20,95,9,95,1981,98,0.740715618110904,98,13104,17691,0.084016710505957,95,1086,12926,0.062342135476464,95,1086,17420,0.121402407116693,95,232,1911,0.695103483089349,98,1377,1981,2021/04/03,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,81,2,6,2,1,2,0,2,0,2,0,2,12,2,5,2,5,2,6,2,6,2,0,2,0,2,20,2,0.482142857142857,2,81,168,0.074074074074074,2,6,81,0.035714285714286,2,6,168,0.25,2,5,20,0.6,2,12,20,2021/04/03,POINT (-64.840836 18.060868)
VT,2,14,1,1,15,1,0,16,1302,17,886,17,27,16,7,17,7,16,0,16,0,16,75,17,6,16,6,17,27,16,26,17,0,16,0,16,104,17,0.680491551459293,17,886,1302,0.03125,16,27,864,0.021343873517787,16,27,1265,0.061855670103093,16,6,97,0.721153846153846,17,75,104,2021/04/03,POINT (-72.662695 44.075252)
