state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,25,178,6,31,172,6,23,203,29056,209,22573,209,1418,203,89,209,325,203,1,200,16,200,2699,209,297,203,257,209,1381,203,960,209,37,202,23,202,3665,209,0.776879129955947,209,22573,29056,0.063326187924259,203,1418,22392,0.049455915178571,203,1418,28672,0.083473861720067,203,297,3558,0.736425648021828,209,2699,3665,2021/05/28,,1,206,7,205,6,205,10,205,14,205,18,205,11,205,8,205,17,192,5,199,22,199,29,199,35,198,44,198,65,198,53,198,68,198,4,186
PR,0,8,58,0,8,58,15,65,9058,66,5297,66,166,65,14,66,10,65,0,65,7,65,457,66,29,65,25,66,141,65,113,66,25,65,1,65,683,66,0.584786928681828,66,5297,9058,0.031886285055705,65,166,5206,0.018697904933544,65,166,8878,0.044478527607362,65,29,652,0.669106881405564,66,457,683,2021/05/28,,0,66,1,66,4,66,7,66,1,66,1,66,0,66,0,66,0,66,0,64,2,65,1,65,0,65,1,65,3,65,1,65,2,65,0,65
RI,3,10,1,4,9,1,1,13,2494,14,2231,14,97,13,4,14,1,13,1,13,0,13,128,14,11,13,11,14,95,13,54,14,2,13,2,13,165,14,0.894546912590217,14,2231,2494,0.044475011462632,13,97,2181,0.040033016921172,13,97,2423,0.075342465753425,13,11,146,0.775757575757576,14,128,165,2021/05/28,,0,14,0,14,0,14,1,14,3,14,0,14,0,14,0,14,0,14,0,13,0,13,0,13,0,13,0,13,1,13,0,13,0,13,0,13
SC,18,49,2,18,49,2,1,67,9250,69,6682,69,201,67,20,69,24,67,1,67,2,67,730,69,62,67,53,69,197,67,176,69,4,67,2,67,1179,69,0.722378378378378,69,6682,9250,0.030514650068316,67,201,6587,0.022117077464789,67,201,9088,0.054481546572935,67,62,1138,0.619168787107718,69,730,1179,2021/05/28,,0,69,2,69,1,69,3,69,3,69,5,69,5,69,1,69,0,64,0,67,5,67,2,67,4,67,2,67,5,67,0,67,3,67,3,62
SD,1,59,3,1,59,3,1,60,2585,63,1294,63,31,60,4,63,6,60,0,60,0,60,122,63,12,60,9,63,31,60,27,63,0,60,0,60,235,63,0.500580270793037,63,1294,2585,0.024390243902439,60,31,1271,0.01231135822081,60,31,2518,0.053571428571429,60,12,224,0.519148936170213,63,122,235,2021/05/28,,0,63,1,63,0,63,0,63,1,63,1,63,0,63,1,63,0,63,0,60,0,60,0,60,0,60,0,60,1,60,4,60,1,60,0,60
TN,10,91,39,31,70,39,16,101,20349,140,13075,127,526,101,30,101,31,101,0,101,1,101,1647,137,195,101,165,101,517,101,437,101,9,101,9,101,2391,140,0.675710594315246,127,13075,19350,0.042886261720342,101,526,12265,0.029188169357971,101,526,18021,0.084525357607282,101,195,2307,0.699066213921902,137,1647,2356,2021/05/28,,0,101,0,101,1,101,5,101,6,101,8,101,3,101,1,101,6,101,0,101,5,101,6,101,2,101,3,101,2,101,6,101,2,101,5,101
TX,91,486,13,116,461,13,66,585,64868,590,44932,590,2110,585,191,590,360,585,4,585,60,585,5058,590,661,585,586,590,2052,585,1622,590,58,585,35,585,7050,590,0.692668187704261,590,44932,64868,0.047525733720747,585,2110,44397,0.032916803169997,585,2110,64101,0.096117493092918,585,661,6877,0.717446808510638,590,5058,7050,2021/05/28,,1,590,16,590,29,590,24,590,35,590,37,590,22,590,19,590,8,590,1,584,32,584,28,584,40,584,57,585,75,584,73,584,29,585,25,585
UT,1,51,1,4,48,1,0,52,5483,53,2822,53,133,52,26,53,2,52,0,52,0,52,349,53,52,52,52,53,131,52,128,53,2,52,0,52,630,53,0.514681743571038,53,2822,5483,0.047893410154843,52,133,2777,0.024602293747688,52,133,5406,0.084967320261438,52,52,612,0.553968253968254,53,349,630,2021/05/28,,0,53,5,53,6,53,1,53,7,53,2,53,2,53,3,53,0,53,0,52,0,52,0,52,0,52,1,52,0,52,0,52,1,52,0,52
VA,15,70,9,21,64,9,20,91,17040,94,11503,94,504,91,40,94,158,91,0,91,13,91,1209,94,130,91,109,94,496,91,369,94,8,91,5,91,1915,94,0.675058685446009,94,11503,17040,0.044307692307692,91,504,11375,0.030032177332857,91,504,16782,0.06989247311828,91,130,1860,0.631331592689295,94,1209,1915,2021/05/28,,1,94,3,94,6,94,5,94,8,94,6,94,9,94,1,94,1,94,2,91,14,91,17,91,12,91,21,91,32,91,31,91,28,91,1,91
VI,2,0,0,2,0,0,0,2,168,2,75,2,3,2,0,2,0,2,0,2,0,2,7,2,0,2,0,2,3,2,3,2,0,2,0,2,20,2,0.446428571428571,2,75,168,0.04,2,3,75,0.017857142857143,2,3,168,0,2,0,20,0.35,2,7,20,2021/05/28,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
