state,date,new_results_reported_Inconclusive,new_results_reported_Negative,new_results_reported_Positive,total_results_reported_Inconclusive,total_results_reported_Negative,total_results_reported_Positive,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,inpatient_beds_used_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,previous_day_admission_adult_covid_confirmed_coverage,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
WV,2020-10-18,11.0,6778.0,364.0,873.0,753217.0,31489.0,257.0,256.0,210.0,1.0,0.0,76.0,67.0,20.0,20.0,0.0,1.0,59.0,59.0,59.0,63.0,20081.0,19142.0,939.0,280.0,41.0,399.0,,,0.0,0.0
WY,2020-10-18,1.0,2729.0,192.0,183.0,230158.0,8428.0,76.0,76.0,70.0,0.0,0.0,12.0,12.0,31.0,16.0,1.0,1.0,29.0,29.0,29.0,31.0,9025.0,7673.0,1352.0,209.0,15.0,57.0,57.0,0.0,0.0,0.0
AK,2020-10-19,0.0,6396.0,620.0,416.0,725031.0,23467.0,67.0,66.0,39.0,1.0,1.0,18.0,13.0,8.0,10.0,0.0,0.0,23.0,22.0,20.0,23.0,11226.0,,,202.0,0.0,91.0,,,0.0,0.0
AL,2020-10-19,8.0,11018.0,1239.0,4905.0,1865167.0,229006.0,1024.0,1007.0,873.0,17.0,12.0,305.0,271.0,125.0,117.0,1.0,5.0,114.0,114.0,114.0,116.0,183972.0,156617.0,27355.0,1524.0,317.0,4332.0,3724.0,608.0,22.0,8.0
AR,2020-10-19,9.0,5890.0,607.0,1483.0,1125580.0,100392.0,706.0,699.0,584.0,9.0,5.0,213.0,218.0,83.0,138.0,1.0,5.0,96.0,96.0,90.0,98.0,99597.0,,,531.0,97.0,1714.0,,,10.0,0.0
AS,2020-10-19,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
AZ,2020-10-19,16.0,10437.0,805.0,4067.0,2051479.0,238998.0,949.0,826.0,547.0,123.0,115.0,186.0,164.0,69.0,196.0,2.0,5.0,107.0,107.0,102.0,110.0,231897.0,226681.0,5216.0,748.0,29.0,5830.0,5544.0,286.0,3.0,0.0
CA,2020-10-19,122.0,47888.0,1200.0,68404.0,14557898.0,924230.0,3225.0,3092.0,2311.0,35.0,19.0,784.0,670.0,316.0,474.0,4.0,12.0,398.0,383.0,379.0,406.0,870791.0,,,3474.0,0.0,16970.0,,,27.0,0.0
CO,2020-10-19,49.0,13071.0,854.0,2710.0,1507391.0,72184.0,494.0,474.0,371.0,20.0,18.0,146.0,132.0,73.0,73.0,1.0,3.0,95.0,93.0,88.0,99.0,86374.0,80536.0,5838.0,1072.0,28.0,2180.0,1800.0,380.0,4.0,0.0
CT,2020-10-19,21.0,23366.0,553.0,2245.0,1629821.0,77360.0,326.0,319.0,215.0,7.0,5.0,60.0,46.0,23.0,82.0,1.0,1.0,32.0,30.0,30.0,33.0,64021.0,61441.0,2580.0,1191.0,59.0,4554.0,3652.0,902.0,12.0,1.0
DC,2020-10-19,0.0,3398.0,74.0,271.0,500185.0,22094.0,155.0,141.0,105.0,14.0,0.0,32.0,18.0,16.0,58.0,1.0,5.0,13.0,13.0,13.0,14.0,16395.0,,,25.0,0.0,641.0,,,0.0,0.0
DE,2020-10-19,5.0,3902.0,120.0,704.0,552722.0,27844.0,182.0,180.0,134.0,2.0,1.0,25.0,25.0,10.0,26.0,4.0,7.0,14.0,14.0,12.0,15.0,23196.0,22098.0,1098.0,0.0,0.0,666.0,585.0,81.0,0.0,0.0
FL,2020-10-19,100.0,52687.0,3237.0,60829.0,9670943.0,1149130.0,2448.0,2423.0,2238.0,23.0,20.0,600.0,536.0,259.0,357.0,5.0,10.0,261.0,260.0,259.0,268.0,747183.0,,,1691.0,183.0,16021.0,,,54.0,0.0
FSM,2020-10-19,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,2020-10-19,30.0,24250.0,1752.0,4772.0,2944191.0,317895.0,1691.0,1619.0,1307.0,72.0,11.0,454.0,388.0,207.0,117.0,9.0,55.0,153.0,148.0,148.0,157.0,364909.0,340031.0,24878.0,1134.0,372.0,7657.0,7657.0,0.0,19.0,0.0
GU,2020-10-19,0.0,436.0,115.0,1.0,50446.0,5030.0,,,,,,,,,,,,,,,,3886.0,,,348.0,6.0,66.0,,,3.0,0.0
HI,2020-10-19,1.0,2283.0,348.0,534.0,457770.0,17382.0,102.0,99.0,87.0,2.0,2.0,18.0,17.0,7.0,19.0,0.0,0.0,21.0,20.0,19.0,30.0,14024.0,,,35.0,0.0,187.0,,,0.0,0.0
IA,2020-10-19,11.0,5824.0,671.0,3807.0,1354636.0,123252.0,540.0,534.0,500.0,6.0,1.0,132.0,125.0,70.0,19.0,1.0,2.0,121.0,121.0,120.0,123.0,107745.0,,,623.0,58.0,1539.0,,,11.0,0.0
ID,2020-10-19,11.0,3641.0,798.0,1033.0,484954.0,75423.0,226.0,224.0,211.0,2.0,1.0,58.0,54.0,32.0,11.0,0.0,0.0,48.0,48.0,48.0,50.0,53790.0,47770.0,6020.0,698.0,103.0,531.0,488.0,43.0,3.0,1.0
IL,2020-10-19,36.0,50820.0,4184.0,10170.0,5890600.0,399517.0,2479.0,2412.0,1709.0,60.0,37.0,534.0,433.0,288.0,471.0,3.0,27.0,189.0,186.0,174.0,197.0,350748.0,347161.0,3587.0,3113.0,0.0,9496.0,9236.0,260.0,22.0,0.0
IN,2020-10-19,29.0,19677.0,2096.0,5465.0,2768542.0,217235.0,1449.0,1419.0,1059.0,31.0,14.0,382.0,318.0,191.0,173.0,8.0,16.0,143.0,142.0,141.0,148.0,149166.0,,,1584.0,0.0,3960.0,3727.0,233.0,23.0,0.0
KS,2020-10-19,9.0,6641.0,723.0,2164.0,983615.0,90826.0,442.0,438.0,371.0,4.0,1.0,122.0,119.0,54.0,57.0,0.0,2.0,139.0,137.0,125.0,147.0,72968.0,67935.0,5033.0,2113.0,179.0,872.0,,,13.0,0.0
KY,2020-10-19,15.0,9588.0,1179.0,1161.0,1242077.0,130808.0,818.0,803.0,665.0,15.0,1.0,211.0,217.0,168.0,85.0,0.0,8.0,110.0,109.0,110.0,114.0,88247.0,75143.0,13104.0,640.0,97.0,1326.0,1310.0,16.0,9.0,2.0
LA,2020-10-19,17.0,16548.0,822.0,4920.0,2662645.0,279418.0,493.0,486.0,1061.0,7.0,3.0,168.0,161.0,78.0,35.0,3.0,0.0,210.0,210.0,209.0,205.0,179070.0,,,201.0,0.0,5766.0,5566.0,200.0,16.0,0.0
MA,2020-10-19,10.0,45489.0,827.0,5294.0,5128935.0,182360.0,444.0,434.0,286.0,10.0,4.0,93.0,67.0,40.0,132.0,0.0,2.0,84.0,84.0,84.0,85.0,151370.0,141474.0,9896.0,827.0,0.0,9740.0,9532.0,208.0,15.0,0.0
MD,2020-10-19,12.0,15894.0,1119.0,5591.0,3147216.0,236798.0,773.0,712.0,424.0,50.0,5.0,160.0,123.0,48.0,192.0,0.0,3.0,53.0,53.0,53.0,55.0,136744.0,,,590.0,0.0,4050.0,3904.0,146.0,9.0,0.0
