runid,Date,Location,ShortName,LongName,Census2019,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown,Administered_Fed_LTC_Dose2_Residents,Administered_Fed_LTC_Dose2_Staff,Administered_Fed_LTC_Dose2_Unk
2189,2021-10-09,AK,AKA,Alaska,731545,,,,,,,,,,,,,
2189,2021-10-09,AL,ALA,Alabama,4903185,,,,,,,,,,,,,
2189,2021-10-09,AR,ARA,Arkansas,3017804,,,,,,,,,,,,,
2189,2021-10-09,AS,ASA,American Samoa,55689,,,,,,,,,,,,,
2189,2021-10-09,AZ,AZA,Arizona,7278717,,,,,,,,,,,,,
2189,2021-10-09,BP2,BP2,Bureau of Prisons,0,,,,,,,,,,,,,
2189,2021-10-09,CA,CAA,California,39512223,,,,,,,,,,,,,
2189,2021-10-09,CO,COA,Colorado,5758736,,,,,,,,,,,,,
2189,2021-10-09,CT,CTA,Connecticut,3565287,,,,,,,,,,,,,
2189,2021-10-09,DC,DCA,District of Columbia,705749,,,,,,,,,,,,,
2189,2021-10-09,DD2,DD2,Dept of Defense,0,,,,,,,,,,,,,
2189,2021-10-09,DE,DEA,Delaware,973764,,,,,,,,,,,,,
2189,2021-10-09,FL,FLA,Florida,21477737,,,,,,,,,,,,,
2189,2021-10-09,FM,FMA,Federated States of Micronesia,103643,,,,,,,,,,,,,
2189,2021-10-09,GA,GAA,Georgia,10617423,,,,,,,,,,,,,
2189,2021-10-09,GU,GUA,Guam,165768,,,,,,,,,,,,,
2189,2021-10-09,HI,HIA,Hawaii,1415872,,,,,,,,,,,,,
2189,2021-10-09,IA,IAA,Iowa,3155070,,,,,,,,,,,,,
2189,2021-10-09,ID,IDA,Idaho,1787065,,,,,,,,,,,,,
2189,2021-10-09,IH2,IH2,Indian Health Svc,2082813,,,,,,,,,,,,,
2189,2021-10-09,IL,ILA,Illinois,12671821,,,,,,,,,,,,,
2189,2021-10-09,IN,INA,Indiana,6732219,,,,,,,,,,,,,
2189,2021-10-09,KS,KSA,Kansas,2913314,,,,,,,,,,,,,
2189,2021-10-09,KY,KYA,Kentucky,4467673,,,,,,,,,,,,,
2189,2021-10-09,LA,LAA,Louisiana,4648794,,,,,,,,,,,,,
2189,2021-10-09,MA,MAA,Massachusetts,6892503,,,,,,,,,,,,,
2189,2021-10-09,MD,MDA,Maryland,6045680,,,,,,,,,,,,,
2189,2021-10-09,ME,MEA,Maine,1344212,,,,,,,,,,,,,
2189,2021-10-09,MH,MHA,Marshall Islands,58413,,,,,,,,,,,,,
2189,2021-10-09,MI,MIA,Michigan,9986857,,,,,,,,,,,,,
2189,2021-10-09,MN,MNA,Minnesota,5639632,,,,,,,,,,,,,
2189,2021-10-09,MO,MOA,Missouri,6137428,,,,,,,,,,,,,
2189,2021-10-09,MP,MPA,Northern Mariana Islands,56882,,,,,,,,,,,,,
2189,2021-10-09,MS,MSA,Mississippi,2976149,,,,,,,,,,,,,
2189,2021-10-09,MT,MTA,Montana,1068778,,,,,,,,,,,,,
2189,2021-10-09,NC,NCA,North Carolina,10488084,,,,,,,,,,,,,
2189,2021-10-09,ND,NDA,North Dakota,762062,,,,,,,,,,,,,
2189,2021-10-09,NE,NEA,Nebraska,1934408,,,,,,,,,,,,,
2189,2021-10-09,NH,NHA,New Hampshire,1359711,,,,,,,,,,,,,
2189,2021-10-09,NJ,NJA,New Jersey,8882190,,,,,,,,,,,,,
2189,2021-10-09,NM,NMA,New Mexico,2096829,,,,,,,,,,,,,
2189,2021-10-09,NV,NVA,Nevada,3080156,,,,,,,,,,,,,
2189,2021-10-09,NY,NYA,New York State,19453561,,,,,,,,,,,,,
2189,2021-10-09,OH,OHA,Ohio,11689100,,,,,,,,,,,,,
2189,2021-10-09,OK,OKA,Oklahoma,3956971,,,,,,,,,,,,,
2189,2021-10-09,OR,ORA,Oregon,4217737,,,,,,,,,,,,,
2189,2021-10-09,PA,PAA,Pennsylvania,12801989,,,,,,,,,,,,,
2189,2021-10-09,PR,PRA,Puerto Rico,3193694,,,,,,,,,,,,,
2189,2021-10-09,RI,RIA,Rhode Island,1059361,,,,,,,,,,,,,
2189,2021-10-09,RP,RPA,Republic of Palau,17907,,,,,,,,,,,,,
2189,2021-10-09,SC,SCA,South Carolina,5148714,,,,,,,,,,,,,
2189,2021-10-09,SD,SDA,South Dakota,884659,,,,,,,,,,,,,
2189,2021-10-09,TN,TNA,Tennessee,6829174,,,,,,,,,,,,,
2189,2021-10-09,TX,TXA,Texas,28995881,,,,,,,,,,,,,
2189,2021-10-09,US,USA,United States,331996199,,,,,,,,,,,,,
2189,2021-10-09,UT,UTA,Utah,3205958,,,,,,,,,,,,,
2189,2021-10-09,VA,VAA,Virginia,8535519,,,,,,,,,,,,,
2189,2021-10-09,VA2,VA2,Veterans Health,0,,,,,,,,,,,,,
2189,2021-10-09,VI,VIA,Virgin Islands,104680,,,,,,,,,,,,,
2189,2021-10-09,VT,VTA,Vermont,623989,,,,,,,,,,,,,
2189,2021-10-09,WA,WAA,Washington,7614893,,,,,,,,,,,,,
2189,2021-10-09,WI,WIA,Wisconsin,5822434,,,,,,,,,,,,,
2189,2021-10-09,WV,WVA,West Virginia,1792147,,,,,,,,,,,,,
2189,2021-10-09,WY,WYA,Wyoming,578759,,,,,,,,,,,,,
2190,2021-10-12,AK,AKA,Alaska,731545,,,,,,,,,,,,,
2190,2021-10-12,AL,ALA,Alabama,4903185,,,,,,,,,,,,,
2190,2021-10-12,AR,ARA,Arkansas,3017804,,,,,,,,,,,,,
2190,2021-10-12,AS,ASA,American Samoa,55689,,,,,,,,,,,,,
2190,2021-10-12,AZ,AZA,Arizona,7278717,,,,,,,,,,,,,
2190,2021-10-12,BP2,BP2,Bureau of Prisons,0,,,,,,,,,,,,,
2190,2021-10-12,CA,CAA,California,39512223,,,,,,,,,,,,,
2190,2021-10-12,CO,COA,Colorado,5758736,,,,,,,,,,,,,
2190,2021-10-12,CT,CTA,Connecticut,3565287,,,,,,,,,,,,,
2190,2021-10-12,DC,DCA,District of Columbia,705749,,,,,,,,,,,,,
2190,2021-10-12,DD2,DD2,Dept of Defense,0,,,,,,,,,,,,,
2190,2021-10-12,DE,DEA,Delaware,973764,,,,,,,,,,,,,
2190,2021-10-12,FL,FLA,Florida,21477737,,,,,,,,,,,,,
2190,2021-10-12,FM,FMA,Federated States of Micronesia,103643,,,,,,,,,,,,,
2190,2021-10-12,GA,GAA,Georgia,10617423,,,,,,,,,,,,,
2190,2021-10-12,GU,GUA,Guam,165768,,,,,,,,,,,,,
2190,2021-10-12,HI,HIA,Hawaii,1415872,,,,,,,,,,,,,
2190,2021-10-12,IA,IAA,Iowa,3155070,,,,,,,,,,,,,
2190,2021-10-12,ID,IDA,Idaho,1787065,,,,,,,,,,,,,
2190,2021-10-12,IH2,IH2,Indian Health Svc,2082813,,,,,,,,,,,,,
2190,2021-10-12,IL,ILA,Illinois,12671821,,,,,,,,,,,,,
2190,2021-10-12,IN,INA,Indiana,6732219,,,,,,,,,,,,,
2190,2021-10-12,KS,KSA,Kansas,2913314,,,,,,,,,,,,,
2190,2021-10-12,KY,KYA,Kentucky,4467673,,,,,,,,,,,,,
2190,2021-10-12,LA,LAA,Louisiana,4648794,,,,,,,,,,,,,
2190,2021-10-12,MA,MAA,Massachusetts,6892503,,,,,,,,,,,,,
2190,2021-10-12,MD,MDA,Maryland,6045680,,,,,,,,,,,,,
2190,2021-10-12,ME,MEA,Maine,1344212,,,,,,,,,,,,,
2190,2021-10-12,MH,MHA,Marshall Islands,58413,,,,,,,,,,,,,
2190,2021-10-12,MI,MIA,Michigan,9986857,,,,,,,,,,,,,
2190,2021-10-12,MN,MNA,Minnesota,5639632,,,,,,,,,,,,,
2190,2021-10-12,MO,MOA,Missouri,6137428,,,,,,,,,,,,,
2190,2021-10-12,MP,MPA,Northern Mariana Islands,56882,,,,,,,,,,,,,
2190,2021-10-12,MS,MSA,Mississippi,2976149,,,,,,,,,,,,,
2190,2021-10-12,MT,MTA,Montana,1068778,,,,,,,,,,,,,
2190,2021-10-12,NC,NCA,North Carolina,10488084,,,,,,,,,,,,,
2190,2021-10-12,ND,NDA,North Dakota,762062,,,,,,,,,,,,,
2190,2021-10-12,NE,NEA,Nebraska,1934408,,,,,,,,,,,,,
2190,2021-10-12,NH,NHA,New Hampshire,1359711,,,,,,,,,,,,,
2190,2021-10-12,NJ,NJA,New Jersey,8882190,,,,,,,,,,,,,
2190,2021-10-12,NM,NMA,New Mexico,2096829,,,,,,,,,,,,,
2190,2021-10-12,NV,NVA,Nevada,3080156,,,,,,,,,,,,,
2190,2021-10-12,NY,NYA,New York State,19453561,,,,,,,,,,,,,
2190,2021-10-12,OH,OHA,Ohio,11689100,,,,,,,,,,,,,
2190,2021-10-12,OK,OKA,Oklahoma,3956971,,,,,,,,,,,,,
2190,2021-10-12,OR,ORA,Oregon,4217737,,,,,,,,,,,,,
2190,2021-10-12,PA,PAA,Pennsylvania,12801989,,,,,,,,,,,,,
2190,2021-10-12,PR,PRA,Puerto Rico,3193694,,,,,,,,,,,,,
2190,2021-10-12,RI,RIA,Rhode Island,1059361,,,,,,,,,,,,,
2190,2021-10-12,RP,RPA,Republic of Palau,17907,,,,,,,,,,,,,
2190,2021-10-12,SC,SCA,South Carolina,5148714,,,,,,,,,,,,,
2190,2021-10-12,SD,SDA,South Dakota,884659,,,,,,,,,,,,,
2190,2021-10-12,TN,TNA,Tennessee,6829174,,,,,,,,,,,,,
2190,2021-10-12,TX,TXA,Texas,28995881,,,,,,,,,,,,,
2190,2021-10-12,US,USA,United States,331996199,,,,,,,,,,,,,
2190,2021-10-12,UT,UTA,Utah,3205958,,,,,,,,,,,,,
2190,2021-10-12,VA,VAA,Virginia,8535519,,,,,,,,,,,,,
2190,2021-10-12,VA2,VA2,Veterans Health,0,,,,,,,,,,,,,
2190,2021-10-12,VI,VIA,Virgin Islands,104680,,,,,,,,,,,,,
2190,2021-10-12,VT,VTA,Vermont,623989,,,,,,,,,,,,,
2190,2021-10-12,WA,WAA,Washington,7614893,,,,,,,,,,,,,
2190,2021-10-12,WI,WIA,Wisconsin,5822434,,,,,,,,,,,,,
2190,2021-10-12,WV,WVA,West Virginia,1792147,,,,,,,,,,,,,
2190,2021-10-12,WY,WYA,Wyoming,578759,,,,,,,,,,,,,
2189,2021-10-09,AK,AKA,Alaska,731545,,,,,,,,,,,,,
2189,2021-10-09,AL,ALA,Alabama,4903185,,,,,,,,,,,,,
2189,2021-10-09,AR,ARA,Arkansas,3017804,,,,,,,,,,,,,
2189,2021-10-09,AS,ASA,American Samoa,55689,,,,,,,,,,,,,
2189,2021-10-09,AZ,AZA,Arizona,7278717,,,,,,,,,,,,,
2189,2021-10-09,BP2,BP2,Bureau of Prisons,0,,,,,,,,,,,,,
2189,2021-10-09,CA,CAA,California,39512223,,,,,,,,,,,,,
2189,2021-10-09,CO,COA,Colorado,5758736,,,,,,,,,,,,,
2189,2021-10-09,CT,CTA,Connecticut,3565287,,,,,,,,,,,,,
2189,2021-10-09,DC,DCA,District of Columbia,705749,,,,,,,,,,,,,
2189,2021-10-09,DD2,DD2,Dept of Defense,0,,,,,,,,,,,,,
2189,2021-10-09,DE,DEA,Delaware,973764,,,,,,,,,,,,,
2189,2021-10-09,FL,FLA,Florida,21477737,,,,,,,,,,,,,
2189,2021-10-09,FM,FMA,Federated States of Micronesia,103643,,,,,,,,,,,,,
2189,2021-10-09,GA,GAA,Georgia,10617423,,,,,,,,,,,,,
2189,2021-10-09,GU,GUA,Guam,165768,,,,,,,,,,,,,
2189,2021-10-09,HI,HIA,Hawaii,1415872,,,,,,,,,,,,,
2189,2021-10-09,IA,IAA,Iowa,3155070,,,,,,,,,,,,,
2189,2021-10-09,ID,IDA,Idaho,1787065,,,,,,,,,,,,,
2189,2021-10-09,IH2,IH2,Indian Health Svc,2082813,,,,,,,,,,,,,
2189,2021-10-09,IL,ILA,Illinois,12671821,,,,,,,,,,,,,
2189,2021-10-09,IN,INA,Indiana,6732219,,,,,,,,,,,,,
2189,2021-10-09,KS,KSA,Kansas,2913314,,,,,,,,,,,,,
2189,2021-10-09,KY,KYA,Kentucky,4467673,,,,,,,,,,,,,
2189,2021-10-09,LA,LAA,Louisiana,4648794,,,,,,,,,,,,,
2189,2021-10-09,MA,MAA,Massachusetts,6892503,,,,,,,,,,,,,
2189,2021-10-09,MD,MDA,Maryland,6045680,,,,,,,,,,,,,
2189,2021-10-09,ME,MEA,Maine,1344212,,,,,,,,,,,,,
2189,2021-10-09,MH,MHA,Marshall Islands,58413,,,,,,,,,,,,,
2189,2021-10-09,MI,MIA,Michigan,9986857,,,,,,,,,,,,,
2189,2021-10-09,MN,MNA,Minnesota,5639632,,,,,,,,,,,,,
2189,2021-10-09,MO,MOA,Missouri,6137428,,,,,,,,,,,,,
2189,2021-10-09,MP,MPA,Northern Mariana Islands,56882,,,,,,,,,,,,,
2189,2021-10-09,MS,MSA,Mississippi,2976149,,,,,,,,,,,,,
2189,2021-10-09,MT,MTA,Montana,1068778,,,,,,,,,,,,,
2189,2021-10-09,NC,NCA,North Carolina,10488084,,,,,,,,,,,,,
2189,2021-10-09,ND,NDA,North Dakota,762062,,,,,,,,,,,,,
2189,2021-10-09,NE,NEA,Nebraska,1934408,,,,,,,,,,,,,
2189,2021-10-09,NH,NHA,New Hampshire,1359711,,,,,,,,,,,,,
2189,2021-10-09,NJ,NJA,New Jersey,8882190,,,,,,,,,,,,,
2189,2021-10-09,NM,NMA,New Mexico,2096829,,,,,,,,,,,,,
2189,2021-10-09,NV,NVA,Nevada,3080156,,,,,,,,,,,,,
2189,2021-10-09,NY,NYA,New York State,19453561,,,,,,,,,,,,,
2189,2021-10-09,OH,OHA,Ohio,11689100,,,,,,,,,,,,,
2189,2021-10-09,OK,OKA,Oklahoma,3956971,,,,,,,,,,,,,
2189,2021-10-09,OR,ORA,Oregon,4217737,,,,,,,,,,,,,
2189,2021-10-09,PA,PAA,Pennsylvania,12801989,,,,,,,,,,,,,
2189,2021-10-09,PR,PRA,Puerto Rico,3193694,,,,,,,,,,,,,
2189,2021-10-09,RI,RIA,Rhode Island,1059361,,,,,,,,,,,,,
2189,2021-10-09,RP,RPA,Republic of Palau,17907,,,,,,,,,,,,,
2189,2021-10-09,SC,SCA,South Carolina,5148714,,,,,,,,,,,,,
2189,2021-10-09,SD,SDA,South Dakota,884659,,,,,,,,,,,,,
2189,2021-10-09,TN,TNA,Tennessee,6829174,,,,,,,,,,,,,
2189,2021-10-09,TX,TXA,Texas,28995881,,,,,,,,,,,,,
2189,2021-10-09,US,USA,United States,331996199,,,,,,,,,,,,,
2189,2021-10-09,UT,UTA,Utah,3205958,,,,,,,,,,,,,
2189,2021-10-09,VA,VAA,Virginia,8535519,,,,,,,,,,,,,
2189,2021-10-09,VA2,VA2,Veterans Health,0,,,,,,,,,,,,,
2189,2021-10-09,VI,VIA,Virgin Islands,104680,,,,,,,,,,,,,
2189,2021-10-09,VT,VTA,Vermont,623989,,,,,,,,,,,,,
2189,2021-10-09,WA,WAA,Washington,7614893,,,,,,,,,,,,,
2189,2021-10-09,WI,WIA,Wisconsin,5822434,,,,,,,,,,,,,
2189,2021-10-09,WV,WVA,West Virginia,1792147,,,,,,,,,,,,,
2189,2021-10-09,WY,WYA,Wyoming,578759,,,,,,,,,,,,,
2190,2021-10-12,AK,AKA,Alaska,731545,,,,,,,,,,,,,
2190,2021-10-12,AL,ALA,Alabama,4903185,,,,,,,,,,,,,
2190,2021-10-12,AR,ARA,Arkansas,3017804,,,,,,,,,,,,,
2190,2021-10-12,AS,ASA,American Samoa,55689,,,,,,,,,,,,,
2190,2021-10-12,AZ,AZA,Arizona,7278717,,,,,,,,,,,,,
2190,2021-10-12,BP2,BP2,Bureau of Prisons,0,,,,,,,,,,,,,
2190,2021-10-12,CA,CAA,California,39512223,,,,,,,,,,,,,
2190,2021-10-12,CO,COA,Colorado,5758736,,,,,,,,,,,,,
2190,2021-10-12,CT,CTA,Connecticut,3565287,,,,,,,,,,,,,
2190,2021-10-12,DC,DCA,District of Columbia,705749,,,,,,,,,,,,,
2190,2021-10-12,DD2,DD2,Dept of Defense,0,,,,,,,,,,,,,
2190,2021-10-12,DE,DEA,Delaware,973764,,,,,,,,,,,,,
2190,2021-10-12,FL,FLA,Florida,21477737,,,,,,,,,,,,,
2190,2021-10-12,FM,FMA,Federated States of Micronesia,103643,,,,,,,,,,,,,
2190,2021-10-12,GA,GAA,Georgia,10617423,,,,,,,,,,,,,
2190,2021-10-12,GU,GUA,Guam,165768,,,,,,,,,,,,,
2190,2021-10-12,HI,HIA,Hawaii,1415872,,,,,,,,,,,,,
2190,2021-10-12,IA,IAA,Iowa,3155070,,,,,,,,,,,,,
2190,2021-10-12,ID,IDA,Idaho,1787065,,,,,,,,,,,,,
2190,2021-10-12,IH2,IH2,Indian Health Svc,2082813,,,,,,,,,,,,,
2190,2021-10-12,IL,ILA,Illinois,12671821,,,,,,,,,,,,,
2190,2021-10-12,IN,INA,Indiana,6732219,,,,,,,,,,,,,
2190,2021-10-12,KS,KSA,Kansas,2913314,,,,,,,,,,,,,
2190,2021-10-12,KY,KYA,Kentucky,4467673,,,,,,,,,,,,,
2190,2021-10-12,LA,LAA,Louisiana,4648794,,,,,,,,,,,,,
2190,2021-10-12,MA,MAA,Massachusetts,6892503,,,,,,,,,,,,,
2190,2021-10-12,MD,MDA,Maryland,6045680,,,,,,,,,,,,,
2190,2021-10-12,ME,MEA,Maine,1344212,,,,,,,,,,,,,
2190,2021-10-12,MH,MHA,Marshall Islands,58413,,,,,,,,,,,,,
2190,2021-10-12,MI,MIA,Michigan,9986857,,,,,,,,,,,,,
2190,2021-10-12,MN,MNA,Minnesota,5639632,,,,,,,,,,,,,
2190,2021-10-12,MO,MOA,Missouri,6137428,,,,,,,,,,,,,
2190,2021-10-12,MP,MPA,Northern Mariana Islands,56882,,,,,,,,,,,,,
2190,2021-10-12,MS,MSA,Mississippi,2976149,,,,,,,,,,,,,
2190,2021-10-12,MT,MTA,Montana,1068778,,,,,,,,,,,,,
2190,2021-10-12,NC,NCA,North Carolina,10488084,,,,,,,,,,,,,
2190,2021-10-12,ND,NDA,North Dakota,762062,,,,,,,,,,,,,
2190,2021-10-12,NE,NEA,Nebraska,1934408,,,,,,,,,,,,,
2190,2021-10-12,NH,NHA,New Hampshire,1359711,,,,,,,,,,,,,
2190,2021-10-12,NJ,NJA,New Jersey,8882190,,,,,,,,,,,,,
2190,2021-10-12,NM,NMA,New Mexico,2096829,,,,,,,,,,,,,
2190,2021-10-12,NV,NVA,Nevada,3080156,,,,,,,,,,,,,
2190,2021-10-12,NY,NYA,New York State,19453561,,,,,,,,,,,,,
2190,2021-10-12,OH,OHA,Ohio,11689100,,,,,,,,,,,,,
2190,2021-10-12,OK,OKA,Oklahoma,3956971,,,,,,,,,,,,,
2190,2021-10-12,OR,ORA,Oregon,4217737,,,,,,,,,,,,,
2190,2021-10-12,PA,PAA,Pennsylvania,12801989,,,,,,,,,,,,,
2190,2021-10-12,PR,PRA,Puerto Rico,3193694,,,,,,,,,,,,,
2190,2021-10-12,RI,RIA,Rhode Island,1059361,,,,,,,,,,,,,
2190,2021-10-12,RP,RPA,Republic of Palau,17907,,,,,,,,,,,,,
